17-Jul-2024 9:8:32 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	4.3891446e-01	2.9696789e+00
7.0144377e+03	4.4379200e-01	3.3585826e+00
8.3081492e+03	4.4771680e-01	3.8137450e+00
9.8404672e+03	4.5092264e-01	4.0915764e+00
1.1655399e+04	4.5306620e-01	4.3166282e+00
1.3805069e+04	4.6020029e-01	4.5484850e+00
1.6351214e+04	4.6833401e-01	4.7411145e+00
1.9366959e+04	4.7282578e-01	4.9970453e+00
2.2938914e+04	4.7958629e-01	5.0000766e+00
2.7169665e+04	4.8818150e-01	4.9837546e+00
3.2180717e+04	4.9425470e-01	4.9485928e+00
3.8115985e+04	5.0045954e-01	4.8294829e+00
4.5145927e+04	5.0672383e-01	4.4932455e+00
5.3472440e+04	5.1633649e-01	4.1754423e+00
6.3334658e+04	5.2040794e-01	3.7679158e+00
7.5015820e+04	5.2898586e-01	3.2826789e+00
8.8851402e+04	5.3213233e-01	2.8137291e+00
1.0523876e+05	5.3386072e-01	2.3162329e+00
1.2464853e+05	5.3728638e-01	1.8037875e+00
1.4763814e+05	5.3520448e-01	1.3387588e+00
1.7486786e+05	5.4388667e-01	7.5973030e-01
2.0711971e+05	5.3516314e-01	3.2612487e-01
2.4531994e+05	5.3497298e-01	-1.2149282e-01
2.9056566e+05	5.4891346e-01	-6.6232699e-01
3.4415629e+05	5.4249902e-01	-1.5051983e+00
4.0763094e+05	5.3831065e-01	-1.7761185e+00
4.8281257e+05	5.3566625e-01	-2.3215629e+00
5.7186037e+05	5.3176158e-01	-2.8298836e+00
6.7733174e+05	5.3222400e-01	-3.4529176e+00
8.0225578e+05	5.2953730e-01	-4.0229380e+00
9.5022026e+05	5.3101663e-01	-4.6241664e+00
1.1254746e+06	5.2980213e-01	-5.3524039e+00
1.3330522e+06	5.2431272e-01	-6.1419022e+00
1.5789143e+06	5.1863807e-01	-7.0140172e+00
1.8701223e+06	5.1067148e-01	-7.8957800e+00
2.2150393e+06	5.0713009e-01	-8.8866946e+00
2.6235712e+06	5.0254732e-01	-1.0033130e+01
3.1074510e+06	4.9249091e-01	-1.1260912e+01
3.6805753e+06	4.8721476e-01	-1.2693422e+01
4.3594042e+06	4.7630853e-01	-1.4141869e+01
5.1634333e+06	4.7143087e-01	-1.5671934e+01
6.1157538e+06	4.5948571e-01	-1.7582346e+01
7.2437162e+06	4.4343600e-01	-1.9681920e+01
8.5797148e+06	4.3157295e-01	-2.1787583e+01
1.0162119e+07	4.2187562e-01	-2.4155728e+01
1.2036375e+07	4.0327133e-01	-2.6718061e+01
1.4256310e+07	3.8456689e-01	-2.9525443e+01
1.6885680e+07	3.6953592e-01	-3.2477948e+01
2.0000000e+07	3.5006630e-01	-3.5787681e+01
