17-Jul-2024 9:7:11 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	4.4665065e-01	3.0980893e+00
7.0144377e+03	4.5019264e-01	3.3918864e+00
8.3081492e+03	4.4587088e-01	3.7516050e+00
9.8404672e+03	4.5074904e-01	4.0642516e+00
1.1655399e+04	4.5481201e-01	4.3188255e+00
1.3805069e+04	4.6289133e-01	4.5313932e+00
1.6351214e+04	4.7124971e-01	4.8064739e+00
1.9366959e+04	4.7525140e-01	4.9201729e+00
2.2938914e+04	4.8753665e-01	5.0039512e+00
2.7169665e+04	4.9207364e-01	4.9979633e+00
3.2180717e+04	4.9860379e-01	4.9388582e+00
3.8115985e+04	5.0480317e-01	4.8315668e+00
4.5145927e+04	5.0970676e-01	4.5558757e+00
5.3472440e+04	5.1477629e-01	4.2600298e+00
6.3334658e+04	5.2094461e-01	3.8135795e+00
7.5015820e+04	5.2861761e-01	3.3663904e+00
8.8851402e+04	5.3210968e-01	2.8693916e+00
1.0523876e+05	5.3478723e-01	2.3478219e+00
1.2464853e+05	5.3365111e-01	1.8572988e+00
1.4763814e+05	5.4115006e-01	1.3157741e+00
1.7486786e+05	5.3745419e-01	8.0205030e-01
2.0711971e+05	5.3810516e-01	2.8919186e-01
2.4531994e+05	5.4010535e-01	-2.4071895e-01
2.9056566e+05	5.3893692e-01	-7.4237317e-01
3.4415629e+05	5.3610454e-01	-1.2526143e+00
4.0763094e+05	5.3396788e-01	-1.8052013e+00
4.8281257e+05	5.3090473e-01	-2.3100244e+00
5.7186037e+05	5.3699706e-01	-2.7998035e+00
6.7733174e+05	5.3371074e-01	-3.3104534e+00
8.0225578e+05	5.3859641e-01	-4.0249994e+00
9.5022026e+05	5.3127381e-01	-4.6267665e+00
1.1254746e+06	5.1520130e-01	-5.2895061e+00
1.3330522e+06	5.1225952e-01	-6.0951442e+00
1.5789143e+06	5.0935197e-01	-6.9595371e+00
1.8701223e+06	5.0817131e-01	-7.8991763e+00
2.2150393e+06	5.0452331e-01	-8.8249779e+00
2.6235712e+06	4.9373791e-01	-9.9924016e+00
3.1074510e+06	4.9514082e-01	-1.1186602e+01
3.6805753e+06	4.8895787e-01	-1.2561818e+01
4.3594042e+06	4.8255020e-01	-1.4111850e+01
5.1634333e+06	4.7254651e-01	-1.5657143e+01
6.1157538e+06	4.5673683e-01	-1.7491424e+01
7.2437162e+06	4.5052626e-01	-1.9584616e+01
8.5797148e+06	4.3984228e-01	-2.1732174e+01
1.0162119e+07	4.2171357e-01	-2.4142318e+01
1.2036375e+07	4.0901533e-01	-2.6769431e+01
1.4256310e+07	3.8998473e-01	-2.9723514e+01
1.6885680e+07	3.6795210e-01	-3.2783759e+01
2.0000000e+07	3.5164405e-01	-3.6029889e+01
