17-Jul-2024 9:8:43 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	4.4530940e-01	3.1653309e+00
7.0144377e+03	4.4636327e-01	3.5023978e+00
8.3081492e+03	4.5723052e-01	3.6935685e+00
9.8404672e+03	4.5718181e-01	4.1132792e+00
1.1655399e+04	4.6796160e-01	4.3279602e+00
1.3805069e+04	4.6862551e-01	4.5898631e+00
1.6351214e+04	4.7198357e-01	4.8026241e+00
1.9366959e+04	4.7346013e-01	4.9642928e+00
2.2938914e+04	4.8315616e-01	4.9774540e+00
2.7169665e+04	4.8845938e-01	5.0602753e+00
3.2180717e+04	4.9552736e-01	4.8834269e+00
3.8115985e+04	5.0320597e-01	4.7705175e+00
4.5145927e+04	5.1311737e-01	4.4421399e+00
5.3472440e+04	5.2291375e-01	4.1065320e+00
6.3334658e+04	5.2407644e-01	3.7155789e+00
7.5015820e+04	5.2782573e-01	3.2471118e+00
8.8851402e+04	5.3589608e-01	2.7261566e+00
1.0523876e+05	5.3564217e-01	2.2551590e+00
1.2464853e+05	5.3984934e-01	1.7395783e+00
1.4763814e+05	5.3903328e-01	1.2617955e+00
1.7486786e+05	5.4223495e-01	7.0480352e-01
2.0711971e+05	5.4018046e-01	2.1692439e-01
2.4531994e+05	5.4321609e-01	-2.0445743e-01
2.9056566e+05	5.4225225e-01	-8.5016179e-01
3.4415629e+05	5.4098719e-01	-1.3067359e+00
4.0763094e+05	5.4496547e-01	-1.8500080e+00
4.8281257e+05	5.4368644e-01	-2.3300931e+00
5.7186037e+05	5.4326671e-01	-2.9209181e+00
6.7733174e+05	5.3696072e-01	-3.4968708e+00
8.0225578e+05	5.3142681e-01	-4.0451520e+00
9.5022026e+05	5.2943219e-01	-4.7022419e+00
1.1254746e+06	5.3134323e-01	-5.4385509e+00
1.3330522e+06	5.2074359e-01	-6.1805887e+00
1.5789143e+06	5.1707445e-01	-6.9991390e+00
1.8701223e+06	5.1494440e-01	-7.9217943e+00
2.2150393e+06	5.0981183e-01	-8.9025455e+00
2.6235712e+06	5.0620036e-01	-1.0068133e+01
3.1074510e+06	4.9983938e-01	-1.1361175e+01
3.6805753e+06	4.9014924e-01	-1.2671130e+01
4.3594042e+06	4.7995223e-01	-1.4225322e+01
5.1634333e+06	4.6807207e-01	-1.5810592e+01
6.1157538e+06	4.5877635e-01	-1.7650281e+01
7.2437162e+06	4.4921107e-01	-1.9646578e+01
8.5797148e+06	4.3876855e-01	-2.1935892e+01
1.0162119e+07	4.2255095e-01	-2.4368503e+01
1.2036375e+07	4.0715709e-01	-2.6943705e+01
1.4256310e+07	3.9040419e-01	-2.9651208e+01
1.6885680e+07	3.7556622e-01	-3.2655512e+01
2.0000000e+07	3.4930270e-01	-3.6061878e+01
