21-Sep-2023 18:50:16 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-7.8105105e+00	5.3567614e-02	-2.1204328e+01	4.9337111e-02	-2.8227553e+01	4.4057255e-02	-3.6507919e+01	3.8528584e-02	-4.7774384e+01	3.1644573e-02	-6.3937879e+01	1.4395828e-03	-6.9068210e+01
-7.5105105e+00	5.6448835e-02	-2.0006738e+01	5.1874350e-02	-2.6731085e+01	4.6549873e-02	-3.6280782e+01	4.1043223e-02	-4.6349186e+01	3.3142403e-02	-6.0559306e+01	9.6821852e-04	-1.1450218e+01
-7.2105105e+00	6.2350479e-02	-1.9437084e+01	5.7638966e-02	-2.4496790e+01	5.3060458e-02	-3.2979945e+01	4.6294101e-02	-4.3130600e+01	3.7481212e-02	-5.7472934e+01	4.4599429e-03	-1.6578995e+02
-6.9105105e+00	6.5164163e-02	-1.8452276e+01	6.0489607e-02	-2.4081247e+01	5.5222065e-02	-3.1658869e+01	4.7871512e-02	-4.3499004e+01	4.1613518e-02	-5.5610265e+01	5.6117854e-03	-1.5620081e+02
-6.6105105e+00	6.8708858e-02	-1.7791506e+01	6.4357662e-02	-2.3413332e+01	5.8471816e-02	-3.0570261e+01	5.0879823e-02	-4.1551449e+01	4.3332747e-02	-5.5240889e+01	6.4017193e-03	-1.6036587e+02
-6.3105105e+00	7.5248454e-02	-1.6679784e+01	7.0744256e-02	-2.1628055e+01	6.5837410e-02	-2.9161803e+01	5.7460237e-02	-3.8197231e+01	4.9169317e-02	-5.0813974e+01	3.6986285e-03	-1.6877238e+02
-6.0105105e+00	8.2913202e-02	-1.5780699e+01	7.7955312e-02	-2.0522359e+01	7.1932382e-02	-2.7106673e+01	6.5559026e-02	-3.5982555e+01	5.4869524e-02	-4.7810734e+01	6.9031960e-03	-1.3378926e+02
-5.7105105e+00	9.2910934e-02	-1.4474453e+01	8.7738702e-02	-1.8618113e+01	8.0539141e-02	-2.4774857e+01	7.3677119e-02	-3.3051351e+01	6.4420904e-02	-4.4118050e+01	1.0197144e-02	-1.2331857e+02
-5.4105105e+00	1.0093251e-01	-1.3319672e+01	9.5635542e-02	-1.7794597e+01	8.9513221e-02	-2.3225822e+01	8.1296543e-02	-3.0980348e+01	7.0634202e-02	-4.1276935e+01	1.1085708e-02	-1.1669218e+02
-5.1105105e+00	1.1136754e-01	-1.2524496e+01	1.0571810e-01	-1.6572679e+01	9.9104717e-02	-2.1751207e+01	9.1134128e-02	-2.8753520e+01	8.0486147e-02	-3.8427312e+01	1.5127772e-02	-9.7343462e+01
-4.8105105e+00	1.2307480e-01	-1.1402349e+01	1.1728239e-01	-1.5320359e+01	1.1022897e-01	-1.9982329e+01	1.0172624e-01	-2.6566802e+01	9.0745092e-02	-3.5654062e+01	2.0622323e-02	-9.6436007e+01
-4.5105105e+00	1.3779402e-01	-1.0485896e+01	1.3230495e-01	-1.3953454e+01	1.2516489e-01	-1.8865238e+01	1.1613612e-01	-2.4126802e+01	1.0365185e-01	-3.2638190e+01	2.4927991e-02	-9.1506109e+01
-4.2105105e+00	1.5817123e-01	-9.4950405e+00	1.5201416e-01	-1.2424740e+01	1.4593362e-01	-1.6362428e+01	1.3616818e-01	-2.2107903e+01	1.2324896e-01	-3.0228871e+01	3.4065749e-02	-8.0332277e+01
-3.9105105e+00	1.8591083e-01	-8.4019368e+00	1.7987163e-01	-1.1109655e+01	1.7278137e-01	-1.5092840e+01	1.6210663e-01	-1.9814979e+01	1.4885957e-01	-2.6770566e+01	4.9257696e-02	-7.3007831e+01
-3.6105105e+00	1.9958822e-01	-7.9993412e+00	1.9394486e-01	-1.0399450e+01	1.8634484e-01	-1.4113202e+01	1.7590149e-01	-1.9053974e+01	1.6218966e-01	-2.5521339e+01	5.6483138e-02	-7.1086782e+01
-3.3105105e+00	2.2960711e-01	-7.0471501e+00	2.2293087e-01	-9.5530659e+00	2.1478485e-01	-1.2987496e+01	2.0437159e-01	-1.7116165e+01	1.9092274e-01	-2.3113048e+01	7.2396254e-02	-6.8590564e+01
-3.0105105e+00	2.6661068e-01	-6.4458247e+00	2.6034252e-01	-8.6511296e+00	2.5181505e-01	-1.1601989e+01	2.4089874e-01	-1.5614231e+01	2.2710975e-01	-2.1395353e+01	9.5296071e-02	-6.3915768e+01
-2.7105105e+00	3.0061846e-01	-5.9081922e+00	2.9382384e-01	-7.8784717e+00	2.8495152e-01	-1.0717453e+01	2.7432048e-01	-1.4516163e+01	2.5844068e-01	-1.9604548e+01	1.1576971e-01	-6.1791978e+01
-2.4105105e+00	3.4636518e-01	-5.2520926e+00	3.3945420e-01	-7.1529187e+00	3.3136311e-01	-9.7770443e+00	3.1969506e-01	-1.3110058e+01	3.0365279e-01	-1.8263269e+01	1.4414406e-01	-6.0035568e+01
-2.1105105e+00	3.9271715e-01	-4.7975013e+00	3.8620660e-01	-6.6613905e+00	3.7650638e-01	-9.1163269e+00	3.6631036e-01	-1.2276949e+01	3.4841843e-01	-1.7255051e+01	1.7270908e-01	-5.7604553e+01
-1.8105105e+00	4.3391845e-01	-4.5229420e+00	4.2664154e-01	-6.1934186e+00	4.1758201e-01	-8.4530583e+00	4.0707787e-01	-1.1665021e+01	3.8867957e-01	-1.6158843e+01	1.9760432e-01	-5.6955333e+01
-1.5105105e+00	4.6336042e-01	-4.3681070e+00	4.5586027e-01	-5.9926577e+00	4.4674397e-01	-8.1486953e+00	4.3531732e-01	-1.1381621e+01	4.1714672e-01	-1.5828619e+01	2.1923970e-01	-5.6192948e+01
-1.2105105e+00	5.0484189e-01	-4.1016600e+00	4.9740457e-01	-5.5912009e+00	4.8909202e-01	-7.7802504e+00	4.7642947e-01	-1.0748895e+01	4.5744507e-01	-1.5129708e+01	2.4491931e-01	-5.5096660e+01
-9.1051051e-01	5.1953925e-01	-4.0135927e+00	5.1196626e-01	-5.5206179e+00	5.0315315e-01	-7.6652183e+00	4.9148300e-01	-1.0561307e+01	4.7215510e-01	-1.4829972e+01	2.5705406e-01	-5.4840232e+01
