21-Sep-2023 18:1:41 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4983483e+01	2.4552300e-02	-5.3833039e+01	1.9405123e-02	-6.7962127e+01	1.4516414e-02	-8.7219185e+01	9.2883492e-03	-1.1187785e+02	5.1446903e-03	-1.4986227e+02	1.2766349e-03	-1.7815984e+01
-1.4683483e+01	2.5822450e-02	-5.2888975e+01	2.0200831e-02	-6.8402429e+01	1.5883340e-02	-8.7363585e+01	1.0289449e-02	-1.1139570e+02	6.5417544e-03	-1.4490670e+02	1.4328850e-03	-7.3920838e+01
-1.4383483e+01	2.6013930e-02	-5.1814051e+01	2.1101387e-02	-6.6089987e+01	1.6062011e-02	-8.2275672e+01	1.0086121e-02	-1.0869207e+02	7.1331399e-03	-1.4666039e+02	1.2104098e-03	-9.2036137e+01
-1.4083483e+01	2.7336906e-02	-4.9997792e+01	2.2480391e-02	-6.4611998e+01	1.6951856e-02	-8.3870047e+01	1.1068166e-02	-1.0763237e+02	7.3321569e-03	-1.4159141e+02	5.8182252e-04	-4.9256681e+00
-1.3783483e+01	2.8341786e-02	-4.9483998e+01	2.2677794e-02	-6.3802930e+01	1.5908915e-02	-8.2442684e+01	1.1511162e-02	-1.0669548e+02	8.1722899e-03	-1.3751498e+02	9.6008077e-04	-5.9742182e+01
-1.3483483e+01	2.9247231e-02	-4.8557988e+01	2.3696878e-02	-6.2868541e+01	1.7568416e-02	-8.0873560e+01	1.2422589e-02	-1.0343564e+02	8.3499987e-03	-1.3493130e+02	1.7778170e-03	-1.0085840e+02
-1.3183483e+01	3.0911780e-02	-4.6856783e+01	2.5514720e-02	-6.2228901e+01	1.9333494e-02	-7.9028297e+01	1.3357734e-02	-1.0145997e+02	8.9834393e-03	-1.3625861e+02	1.3846495e-03	-4.9946215e+01
-1.2883483e+01	3.2462578e-02	-4.6452387e+01	2.6427958e-02	-6.0318869e+01	1.9590998e-02	-7.6469301e+01	1.4691782e-02	-9.9805779e+01	9.2825642e-03	-1.2814826e+02	2.0122376e-04	-1.3952890e+02
-1.2583483e+01	3.3288836e-02	-4.5975159e+01	2.7284761e-02	-5.9528132e+01	2.0128950e-02	-7.6629549e+01	1.4465416e-02	-9.9009662e+01	9.8099274e-03	-1.2968686e+02	2.3997770e-03	9.2301033e+00
-1.2283483e+01	3.5028707e-02	-4.4328679e+01	2.8801712e-02	-5.7154408e+01	2.2317010e-02	-7.2747786e+01	1.6343543e-02	-9.3663854e+01	1.1569592e-02	-1.2301151e+02	4.4740157e-04	-3.9034439e+01
-1.1983483e+01	3.5990935e-02	-4.3756779e+01	2.9668530e-02	-5.5816164e+01	2.3249923e-02	-7.0851347e+01	1.6732957e-02	-9.4902571e+01	9.9677777e-03	-1.1751810e+02	1.9909135e-03	-4.8226076e+01
-1.1683483e+01	3.7666497e-02	-4.2727408e+01	3.1408248e-02	-5.5473429e+01	2.4840696e-02	-7.1346904e+01	1.7678305e-02	-8.9945181e+01	1.2069040e-02	-1.2017873e+02	2.4479100e-03	-2.5663367e+01
-1.1383483e+01	3.9409352e-02	-4.1458203e+01	3.2927057e-02	-5.3910380e+01	2.6263195e-02	-6.9171692e+01	1.8600594e-02	-8.8940199e+01	1.2500509e-02	-1.1658881e+02	9.2102954e-04	-2.1306254e+01
-1.1083483e+01	4.1051269e-02	-4.0531575e+01	3.5246983e-02	-5.2324948e+01	2.8017778e-02	-6.8021198e+01	2.0478628e-02	-8.8102204e+01	1.3662063e-02	-1.1460291e+02	1.4127971e-03	-6.1864982e+01
-1.0783483e+01	4.2265456e-02	-3.9937080e+01	3.6369223e-02	-5.1003115e+01	2.9524377e-02	-6.5141838e+01	2.1546706e-02	-8.5791454e+01	1.4875525e-02	-1.0943761e+02	1.4324826e-03	-1.2435799e+02
-1.0483483e+01	4.4482251e-02	-3.8830615e+01	3.7701679e-02	-4.9728232e+01	3.0325137e-02	-6.4421694e+01	2.1973117e-02	-8.4320473e+01	1.5824515e-02	-1.0960155e+02	4.8141133e-04	-6.7543286e+01
-1.0183483e+01	4.6691165e-02	-3.7884662e+01	3.9649051e-02	-4.8556620e+01	3.1553322e-02	-6.2764025e+01	2.4278521e-02	-8.1891812e+01	1.6490031e-02	-1.0445984e+02	2.1958144e-03	-4.7648316e-01
-9.8834835e+00	4.8632120e-02	-3.6893594e+01	4.1591193e-02	-4.7883283e+01	3.3940643e-02	-6.2430339e+01	2.5159640e-02	-8.0063782e+01	1.8680787e-02	-1.0182625e+02	8.5827586e-04	-9.1174276e+01
-9.5834835e+00	5.1373712e-02	-3.6000667e+01	4.4509068e-02	-4.5485260e+01	3.5985606e-02	-5.9307606e+01	2.7839042e-02	-7.8192258e+01	2.0421144e-02	-9.9818968e+01	8.9118888e-04	-9.5056727e+01
-9.2834835e+00	5.3982480e-02	-3.4650364e+01	4.6553296e-02	-4.4616519e+01	3.8979616e-02	-5.6454876e+01	2.9798230e-02	-7.2980242e+01	2.1087707e-02	-9.6072443e+01	1.0875283e-03	-1.6870215e+02
-8.9834835e+00	5.6190425e-02	-3.3672834e+01	4.8571069e-02	-4.4050144e+01	3.9794468e-02	-5.7176810e+01	3.1563346e-02	-7.1290253e+01	2.2650012e-02	-9.3607080e+01	7.5144077e-04	-2.1454019e+01
-8.6834835e+00	6.0591183e-02	-3.2223387e+01	5.2659843e-02	-4.1692447e+01	4.3407668e-02	-5.4414079e+01	3.5572558e-02	-7.0247262e+01	2.4556586e-02	-9.2269298e+01	1.4814534e-03	-4.0984347e+01
-8.3834835e+00	6.5095084e-02	-3.1235664e+01	5.6797531e-02	-4.0315941e+01	4.7829719e-02	-5.1416341e+01	3.7509654e-02	-6.6955425e+01	2.8320328e-02	-8.6876714e+01	1.1678322e-03	-7.7606850e+01
-8.0834835e+00	6.8344809e-02	-3.0060532e+01	5.9656284e-02	-3.8597514e+01	4.9984286e-02	-5.0968673e+01	4.1299031e-02	-6.4799106e+01	3.0687112e-02	-8.4301924e+01	1.7744098e-03	-7.2560669e+01
-7.7834835e+00	7.2591281e-02	-2.9221913e+01	6.3854012e-02	-3.7075102e+01	5.4471592e-02	-4.7769526e+01	4.3871266e-02	-6.3113252e+01	3.4207557e-02	-8.2002435e+01	2.7547064e-03	-4.1054464e+01
-7.4834835e+00	7.7707502e-02	-2.7774699e+01	6.9251883e-02	-3.5760976e+01	5.9104479e-02	-4.6453184e+01	4.8092020e-02	-5.9953522e+01	3.6807346e-02	-7.9005620e+01	1.9778650e-03	-5.9941062e+01
-7.1834835e+00	8.2178232e-02	-2.6563058e+01	7.3115232e-02	-3.4509935e+01	6.3417664e-02	-4.4750780e+01	5.1944827e-02	-5.7703777e+01	3.9951636e-02	-7.5128225e+01	3.1087627e-03	-1.4633289e+02
-6.8834835e+00	8.7625861e-02	-2.5533223e+01	7.8467808e-02	-3.3001666e+01	6.7662224e-02	-4.3134899e+01	5.6959629e-02	-5.5388452e+01	4.4052872e-02	-7.2373943e+01	3.4565316e-03	-1.1928974e+02
-6.5834835e+00	9.5356515e-02	-2.3924423e+01	8.5672321e-02	-3.1182486e+01	7.4850169e-02	-4.0579303e+01	6.2570913e-02	-5.2534533e+01	4.9020183e-02	-6.6936012e+01	3.1428891e-03	-1.6931710e+02
-6.2834835e+00	1.0278076e-01	-2.2813881e+01	9.3383012e-02	-2.9573006e+01	8.2361907e-02	-3.8180770e+01	6.9724862e-02	-5.0273832e+01	5.4348638e-02	-6.3951044e+01	3.3688485e-03	-1.2198341e+02
-5.9834835e+00	1.1255694e-01	-2.1550482e+01	1.0301457e-01	-2.7608140e+01	9.0938767e-02	-3.6016399e+01	7.7403172e-02	-4.6032964e+01	6.2740562e-02	-5.9942076e+01	4.3719913e-03	-1.3825865e+02
-5.6834835e+00	1.2174170e-01	-2.0254904e+01	1.1251491e-01	-2.6146172e+01	9.9821754e-02	-3.3684952e+01	8.5936718e-02	-4.3294949e+01	7.0228551e-02	-5.6593506e+01	6.4695210e-03	-1.2851067e+02
-5.3834835e+00	1.3531625e-01	-1.8611347e+01	1.2526392e-01	-2.4218658e+01	1.1229180e-01	-3.1447650e+01	9.7283604e-02	-4.0651474e+01	8.0162712e-02	-5.2219149e+01	1.0917767e-02	-1.1458850e+02
-5.0834835e+00	1.5031696e-01	-1.7205968e+01	1.3942511e-01	-2.2581590e+01	1.2582986e-01	-2.8700367e+01	1.1111025e-01	-3.7419703e+01	9.1934848e-02	-4.8166881e+01	1.3646503e-02	-1.0616520e+02
