21-Sep-2023 19:26:50 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4983483e+01	1.8487045e-02	-3.2814724e+01	1.6194666e-02	-4.3198037e+01	1.3911606e-02	-5.6584046e+01	1.0953263e-02	-7.6248892e+01	7.3659557e-03	-1.0125722e+02	1.6052552e-03	-1.3483446e+01
-1.4683483e+01	1.8975299e-02	-3.2986728e+01	1.7050503e-02	-4.2015972e+01	1.3607712e-02	-5.0453419e+01	1.1916194e-02	-7.2003561e+01	8.7109383e-03	-9.8381846e+01	2.1614609e-03	-8.6946339e+01
-1.4383483e+01	1.9374947e-02	-3.0955325e+01	1.7285692e-02	-4.2587298e+01	1.5527781e-02	-5.4666865e+01	1.0743305e-02	-7.1711234e+01	8.2276270e-03	-8.8184590e+01	7.9977069e-04	-9.6161494e+01
-1.4083483e+01	2.0273008e-02	-3.0937554e+01	1.7885708e-02	-4.0111838e+01	1.4864295e-02	-5.5787646e+01	1.2252088e-02	-7.3578741e+01	9.4527418e-03	-9.4849305e+01	9.2524560e-04	-5.3835269e+01
-1.3783483e+01	2.0847364e-02	-3.1337502e+01	1.8090374e-02	-4.1612707e+01	1.5821382e-02	-5.6054902e+01	1.1682321e-02	-7.1910891e+01	9.1627445e-03	-9.7581805e+01	1.0860192e-03	-1.5279952e+02
-1.3483483e+01	2.1629257e-02	-3.0502650e+01	1.9278179e-02	-3.9921797e+01	1.6357684e-02	-5.1186871e+01	1.3888447e-02	-6.7557534e+01	9.7000334e-03	-9.2199714e+01	3.7516706e-04	-1.5132718e+02
-1.3183483e+01	2.2093158e-02	-2.9474608e+01	1.9044986e-02	-3.8162938e+01	1.7237443e-02	-5.0734024e+01	1.3876824e-02	-6.7334403e+01	1.0273543e-02	-9.0625004e+01	6.2874211e-04	-1.8330325e+01
-1.2883483e+01	2.3175108e-02	-2.8972061e+01	2.0278969e-02	-3.8804114e+01	1.7638670e-02	-5.0526466e+01	1.5162503e-02	-6.5372548e+01	1.0448528e-02	-8.6112746e+01	1.9503619e-03	-1.3863134e+02
-1.2583483e+01	2.4221210e-02	-2.8503847e+01	2.1486781e-02	-3.7242884e+01	1.8906060e-02	-4.7260400e+01	1.5105812e-02	-6.4693423e+01	1.1189673e-02	-8.4693854e+01	2.0082022e-03	-4.5625593e+01
-1.2283483e+01	2.5392025e-02	-2.7243603e+01	2.2098083e-02	-3.6184841e+01	1.9675781e-02	-4.6232525e+01	1.5919505e-02	-6.6306855e+01	1.2039598e-02	-7.7746710e+01	2.1602550e-03	-7.2612408e+01
-1.1983483e+01	2.6385136e-02	-2.7018148e+01	2.3920940e-02	-3.6152130e+01	1.9932913e-02	-4.6604134e+01	1.5914527e-02	-6.0471411e+01	1.3785877e-02	-8.1033290e+01	7.9337304e-04	-1.4797206e+02
-1.1683483e+01	2.7078093e-02	-2.7101896e+01	2.4035203e-02	-3.4029801e+01	2.1075674e-02	-4.2283534e+01	1.7095646e-02	-6.0144110e+01	1.2333282e-02	-8.0730288e+01	2.8245867e-03	1.3560590e+01
-1.1383483e+01	2.7670967e-02	-2.6708246e+01	2.5053406e-02	-3.4752079e+01	2.2745552e-02	-4.4758778e+01	1.8704067e-02	-5.8396262e+01	1.4703418e-02	-7.9037122e+01	1.2336771e-03	-6.0846299e+01
-1.1083483e+01	2.9117433e-02	-2.5135224e+01	2.5895144e-02	-3.4437008e+01	2.2241196e-02	-4.6064083e+01	1.8461070e-02	-5.7263284e+01	1.4987365e-02	-7.6639472e+01	6.4963994e-04	1.1004838e+01
-1.0783483e+01	3.0682538e-02	-2.5601907e+01	2.7246444e-02	-3.2942342e+01	2.3479599e-02	-4.2894084e+01	1.9614914e-02	-5.5969821e+01	1.6491610e-02	-7.9175481e+01	1.8193950e-03	-1.1415782e+02
-1.0483483e+01	3.1569811e-02	-2.4486453e+01	2.8560997e-02	-3.1553655e+01	2.5233639e-02	-4.3215459e+01	2.1641568e-02	-5.4825855e+01	1.5966034e-02	-7.6686824e+01	7.1176595e-04	-1.3429165e+02
-1.0183483e+01	3.2100372e-02	-2.3804234e+01	2.8614718e-02	-3.1120899e+01	2.5651584e-02	-4.3211351e+01	2.0861450e-02	-5.3282217e+01	1.7025730e-02	-7.5121240e+01	1.2969158e-03	-1.2678073e+01
-9.8834835e+00	3.3336053e-02	-2.3392287e+01	3.0216431e-02	-3.0815746e+01	2.6727255e-02	-4.1437735e+01	2.3355280e-02	-5.4478227e+01	1.8670539e-02	-7.1436319e+01	9.0103133e-04	-3.2938446e+01
-9.5834835e+00	3.5206008e-02	-2.2628598e+01	3.2263268e-02	-2.9349557e+01	2.8928243e-02	-4.0225252e+01	2.4230857e-02	-5.1752311e+01	1.9499984e-02	-6.9726923e+01	1.5485419e-03	-4.0423756e+01
-9.2834835e+00	3.7562942e-02	-2.2104156e+01	3.4534799e-02	-2.9056402e+01	3.1206300e-02	-3.8344855e+01	2.5519674e-02	-5.0547308e+01	2.1326642e-02	-6.5152977e+01	1.1213352e-03	-4.4294192e+01
-8.9834835e+00	3.9029765e-02	-2.1296923e+01	3.5977961e-02	-2.7777776e+01	3.2118615e-02	-3.7975752e+01	2.7568982e-02	-4.8441646e+01	2.3237406e-02	-6.4979837e+01	1.7939343e-03	-7.7203821e+00
-8.6834835e+00	4.1742235e-02	-2.0370797e+01	3.8013542e-02	-2.7529465e+01	3.4168116e-02	-3.3792244e+01	2.9343301e-02	-4.6905327e+01	2.5051504e-02	-6.1112588e+01	2.6330743e-03	-1.6555026e+02
