21-Sep-2023 18:55:51 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.7206591e-01	-6.0169448e-01
6.3852298e+04	5.7307852e-01	-7.1187139e-01
7.2157221e+04	5.6804988e-01	-7.9569210e-01
8.1542320e+04	5.7475425e-01	-8.4231239e-01
9.2148088e+04	5.7602215e-01	-8.7813624e-01
1.0413329e+05	5.7547206e-01	-9.3289955e-01
1.1767734e+05	5.7327800e-01	-1.0081554e+00
1.3298300e+05	5.6847954e-01	-1.0734694e+00
1.5027938e+05	5.6873243e-01	-1.1401659e+00
1.6982540e+05	5.6732596e-01	-1.2365982e+00
1.9191367e+05	5.6943755e-01	-1.3353462e+00
2.1687485e+05	5.7030276e-01	-1.4474882e+00
2.4508258e+05	5.6984551e-01	-1.5506219e+00
2.7695915e+05	5.6821580e-01	-1.6559277e+00
3.1298173e+05	5.6430352e-01	-1.8129168e+00
3.5368956e+05	5.6276758e-01	-1.9399486e+00
3.9969205e+05	5.6464127e-01	-2.0537996e+00
4.5167783e+05	5.6432370e-01	-2.2576619e+00
5.1042512e+05	5.6618631e-01	-2.4279617e+00
5.7681335e+05	5.6540815e-01	-2.6398684e+00
6.5183634e+05	5.6337299e-01	-2.8643452e+00
7.3661717e+05	5.5954069e-01	-3.1238378e+00
8.3242498e+05	5.6088890e-01	-3.3589784e+00
9.4069399e+05	5.5708911e-01	-3.6970446e+00
1.0630450e+06	5.5613681e-01	-3.9647958e+00
1.2013095e+06	5.5045057e-01	-4.3658289e+00
1.3575573e+06	5.5138219e-01	-4.7419439e+00
1.5341274e+06	5.5418521e-01	-5.1577482e+00
1.7336631e+06	5.4972189e-01	-5.6160360e+00
1.9591512e+06	5.4652924e-01	-6.1535630e+00
2.2139674e+06	5.4280875e-01	-6.7101220e+00
2.5019262e+06	5.4307646e-01	-7.2745465e+00
2.8273382e+06	5.3785718e-01	-7.9663820e+00
3.1950747e+06	5.2902909e-01	-8.7614154e+00
3.6106408e+06	5.3019774e-01	-9.4472234e+00
4.0802573e+06	5.2403518e-01	-1.0339418e+01
4.6109543e+06	5.2275455e-01	-1.1454171e+01
5.2106761e+06	5.2058065e-01	-1.2680396e+01
5.8884005e+06	5.1515236e-01	-1.3765104e+01
6.6542729e+06	5.0978602e-01	-1.4936726e+01
7.5197582e+06	5.0486665e-01	-1.6371828e+01
8.4978124e+06	4.9227864e-01	-1.7910897e+01
9.6030769e+06	4.8698636e-01	-1.9568340e+01
1.0852097e+07	4.7642744e-01	-2.1300260e+01
1.2263571e+07	4.6157650e-01	-2.3221164e+01
1.3858627e+07	4.4914786e-01	-2.5110347e+01
1.5661143e+07	4.3253643e-01	-2.7268796e+01
