21-Sep-2023 20:4:12 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	8.2493714e-01	-1.5113862e+00
6.3852298e+04	8.1603383e-01	-1.5624464e+00
7.2157221e+04	8.1405585e-01	-1.6809953e+00
8.1542320e+04	8.1746636e-01	-1.7541584e+00
9.2148088e+04	8.1579838e-01	-1.8332779e+00
1.0413329e+05	8.1110608e-01	-1.9741698e+00
1.1767734e+05	8.0805264e-01	-2.0875528e+00
1.3298300e+05	8.1113308e-01	-2.2303045e+00
1.5027938e+05	8.0911604e-01	-2.3458757e+00
1.6982540e+05	8.0103840e-01	-2.4814113e+00
1.9191367e+05	7.9144178e-01	-2.6661655e+00
2.1687485e+05	7.9360104e-01	-2.8013943e+00
2.4508258e+05	7.9661926e-01	-3.0033523e+00
2.7695915e+05	7.9329722e-01	-3.1658385e+00
3.1298173e+05	7.8978310e-01	-3.3954365e+00
3.5368956e+05	7.9262022e-01	-3.4313892e+00
3.9969205e+05	7.8525524e-01	-3.7932686e+00
4.5167783e+05	7.8539975e-01	-4.0950627e+00
5.1042512e+05	7.8070709e-01	-4.3933847e+00
5.7681335e+05	7.7291413e-01	-4.7012157e+00
6.5183634e+05	7.7482391e-01	-5.0573068e+00
7.3661717e+05	7.6822149e-01	-5.4190581e+00
8.3242498e+05	7.7321249e-01	-5.7846205e+00
9.4069399e+05	7.6836061e-01	-6.2118672e+00
1.0630450e+06	7.6427455e-01	-6.7284407e+00
1.2013095e+06	7.5926110e-01	-7.2231056e+00
1.3575573e+06	7.5387939e-01	-7.7870919e+00
1.5341274e+06	7.4910266e-01	-8.3673724e+00
1.7336631e+06	7.3881147e-01	-9.0162478e+00
1.9591512e+06	7.3430122e-01	-9.7431067e+00
2.2139674e+06	7.3046405e-01	-1.0477623e+01
2.5019262e+06	7.1848541e-01	-1.1334449e+01
2.8273382e+06	7.1496009e-01	-1.2147051e+01
3.1950747e+06	7.0205640e-01	-1.3154373e+01
3.6106408e+06	6.8877135e-01	-1.4159270e+01
4.0802573e+06	6.8714586e-01	-1.5221620e+01
4.6109543e+06	6.7377493e-01	-1.6362924e+01
5.2106761e+06	6.6189891e-01	-1.7561675e+01
5.8884005e+06	6.4458214e-01	-1.9042667e+01
6.6542729e+06	6.3448490e-01	-2.0309466e+01
7.5197582e+06	6.2337205e-01	-2.1851822e+01
8.4978124e+06	6.0854742e-01	-2.3511000e+01
9.6030769e+06	5.9191449e-01	-2.5273995e+01
1.0852097e+07	5.7286837e-01	-2.7171270e+01
1.2263571e+07	5.5972374e-01	-2.9016765e+01
1.3858627e+07	5.3665536e-01	-3.1178915e+01
1.5661143e+07	5.1889547e-01	-3.3152702e+01
