21-Sep-2023 20:4:25 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	8.1388448e-01	-1.4841300e+00
6.3852298e+04	8.0548543e-01	-1.5265618e+00
7.2157221e+04	8.1033951e-01	-1.6508580e+00
8.1542320e+04	8.0992363e-01	-1.7594809e+00
9.2148088e+04	8.0695093e-01	-1.8565891e+00
1.0413329e+05	8.0478577e-01	-1.9772764e+00
1.1767734e+05	8.0226141e-01	-2.0873585e+00
1.3298300e+05	8.0671717e-01	-2.2216441e+00
1.5027938e+05	8.0538978e-01	-2.3436014e+00
1.6982540e+05	7.9619923e-01	-2.4898712e+00
1.9191367e+05	7.9803624e-01	-2.6271274e+00
2.1687485e+05	7.9436078e-01	-2.8047902e+00
2.4508258e+05	7.9330342e-01	-2.9668237e+00
2.7695915e+05	7.9830989e-01	-3.1819597e+00
3.1298173e+05	7.8677367e-01	-3.3771053e+00
3.5368956e+05	7.8743605e-01	-3.6104156e+00
3.9969205e+05	7.8257039e-01	-3.8435850e+00
4.5167783e+05	7.7985028e-01	-4.1189969e+00
5.1042512e+05	7.7846207e-01	-4.3920856e+00
5.7681335e+05	7.7766731e-01	-4.6678238e+00
6.5183634e+05	7.7637874e-01	-5.0221509e+00
7.3661717e+05	7.7050461e-01	-5.4098727e+00
8.3242498e+05	7.7004865e-01	-5.7964873e+00
9.4069399e+05	7.7166603e-01	-6.1901392e+00
1.0630450e+06	7.6318645e-01	-6.6885690e+00
1.2013095e+06	7.5658344e-01	-7.1758134e+00
1.3575573e+06	7.4778198e-01	-7.7546446e+00
1.5341274e+06	7.4702406e-01	-8.3022499e+00
1.7336631e+06	7.3871526e-01	-8.9738083e+00
1.9591512e+06	7.3575354e-01	-9.7223443e+00
2.2139674e+06	7.2561177e-01	-1.0415782e+01
2.5019262e+06	7.1574512e-01	-1.1289646e+01
2.8273382e+06	7.0777577e-01	-1.2124692e+01
3.1950747e+06	6.9722075e-01	-1.3103665e+01
3.6106408e+06	6.9551877e-01	-1.4048140e+01
4.0802573e+06	6.8407290e-01	-1.5114782e+01
4.6109543e+06	6.7289480e-01	-1.6378434e+01
5.2106761e+06	6.6452948e-01	-1.7641767e+01
5.8884005e+06	6.4897451e-01	-1.8991078e+01
6.6542729e+06	6.3711586e-01	-2.0345390e+01
7.5197582e+06	6.2367838e-01	-2.2018348e+01
8.4978124e+06	6.1241898e-01	-2.3539614e+01
9.6030769e+06	5.9647195e-01	-2.5376250e+01
1.0852097e+07	5.7976037e-01	-2.7241728e+01
1.2263571e+07	5.6125323e-01	-2.9120779e+01
1.3858627e+07	5.3461509e-01	-3.1367748e+01
1.5661143e+07	5.1880441e-01	-3.3409232e+01
