21-Sep-2023 19:14:13 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.3220872e-01	-6.0456341e-01
6.3852298e+04	5.3522236e-01	-7.2350657e-01
7.2157221e+04	5.3688023e-01	-7.3980335e-01
8.1542320e+04	5.3432670e-01	-7.7460024e-01
9.2148088e+04	5.3574715e-01	-8.2708042e-01
1.0413329e+05	5.3343202e-01	-9.2739782e-01
1.1767734e+05	5.3286540e-01	-9.4082153e-01
1.3298300e+05	5.3173930e-01	-9.6969975e-01
1.5027938e+05	5.2669270e-01	-1.0337954e+00
1.6982540e+05	5.3146495e-01	-1.1200979e+00
1.9191367e+05	5.2797682e-01	-1.1968653e+00
2.1687485e+05	5.2927022e-01	-1.2704491e+00
2.4508258e+05	5.2768700e-01	-1.3360696e+00
2.7695915e+05	5.2991227e-01	-1.4229913e+00
3.1298173e+05	5.3177876e-01	-1.5249030e+00
3.5368956e+05	5.2631057e-01	-1.7029794e+00
3.9969205e+05	5.2321158e-01	-1.8318446e+00
4.5167783e+05	5.2729758e-01	-1.9790800e+00
5.1042512e+05	5.2731617e-01	-2.0996468e+00
5.7681335e+05	5.2625158e-01	-2.2665918e+00
6.5183634e+05	5.2192423e-01	-2.5299122e+00
7.3661717e+05	5.2100873e-01	-2.7083500e+00
8.3242498e+05	5.2083572e-01	-2.9067436e+00
9.4069399e+05	5.1694486e-01	-3.1813554e+00
1.0630450e+06	5.1636948e-01	-3.4436082e+00
1.2013095e+06	5.1701093e-01	-3.7651342e+00
1.3575573e+06	5.1100799e-01	-4.1674924e+00
1.5341274e+06	5.1259766e-01	-4.5550102e+00
1.7336631e+06	5.1013103e-01	-5.0128678e+00
1.9591512e+06	5.0522561e-01	-5.4921878e+00
2.2139674e+06	5.1039877e-01	-6.0024524e+00
2.5019262e+06	5.0570058e-01	-6.5825095e+00
2.8273382e+06	5.0473710e-01	-7.2169354e+00
3.1950747e+06	5.0281871e-01	-7.8329050e+00
3.6106408e+06	4.9979796e-01	-8.5169407e+00
4.0802573e+06	4.9867657e-01	-9.3200207e+00
4.6109543e+06	4.9510162e-01	-1.0452291e+01
5.2106761e+06	4.9144199e-01	-1.1717499e+01
5.8884005e+06	4.8725021e-01	-1.2687382e+01
6.6542729e+06	4.7974749e-01	-1.3798716e+01
7.5197582e+06	4.7426596e-01	-1.5112952e+01
8.4978124e+06	4.6872283e-01	-1.6656796e+01
9.6030769e+06	4.5911865e-01	-1.8256430e+01
1.0852097e+07	4.5250157e-01	-1.9911970e+01
1.2263571e+07	4.4789961e-01	-2.1752927e+01
1.3858627e+07	4.3905007e-01	-2.3760555e+01
1.5661143e+07	4.2516192e-01	-2.5945484e+01
