21-Sep-2023 20:16:45 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4959459e+01	2.5771618e-02	-6.6160984e+01	1.9611176e-02	-8.5093516e+01	1.2356296e-02	-1.1000764e+02	8.4100817e-03	-1.3515415e+02	4.2932035e-03	-1.7411164e+02	1.7762422e-03	-6.2756753e+01
-1.4659459e+01	2.7267150e-02	-6.5581739e+01	2.0601557e-02	-8.3621898e+01	1.3906600e-02	-1.0454836e+02	9.8130792e-03	-1.3850238e+02	3.5794941e-03	-1.6256788e+02	2.1970414e-03	-2.0377795e+01
-1.4359459e+01	2.7934158e-02	-6.3496289e+01	2.1701627e-02	-8.1987224e+01	1.4403301e-02	-1.0670919e+02	9.8360438e-03	-1.3369246e+02	5.7148293e-03	-6.0888377e-01	1.7925026e-03	-8.3205705e+01
-1.4059459e+01	2.8868188e-02	-6.2960489e+01	2.1566362e-02	-8.0959871e+01	1.5176980e-02	-1.0467277e+02	9.9800362e-03	-1.3112163e+02	5.4148215e-03	-1.6110519e+02	1.2251681e-03	-4.0598654e+01
-1.3759459e+01	3.0104733e-02	-6.2404216e+01	2.2933987e-02	-7.8565626e+01	1.5069040e-02	-1.0485252e+02	9.9402061e-03	-1.2799211e+02	6.8417192e-03	-1.6206713e+02	1.1179424e-03	-1.5649574e+01
-1.3459459e+01	3.1766360e-02	-6.0237386e+01	2.4464670e-02	-7.7348873e+01	1.7156982e-02	-1.0141958e+02	1.1464162e-02	-1.2299514e+02	6.6015773e-03	-1.6381305e+02	1.1184280e-03	1.9914299e+01
-1.3159459e+01	3.3144138e-02	-5.9737223e+01	2.5608250e-02	-7.5740445e+01	1.7584536e-02	-9.5779723e+01	1.1507409e-02	-1.2457439e+02	6.8765304e-03	-1.5670729e+02	9.5779767e-04	-9.4919721e+01
-1.2859459e+01	3.4935914e-02	-5.7977537e+01	2.6966231e-02	-7.4615262e+01	1.9469207e-02	-9.4712458e+01	1.3192433e-02	-1.1690899e+02	7.3949451e-03	-1.5547001e+02	1.1831940e-03	-1.1861663e+02
-1.2559459e+01	3.6439422e-02	-5.6710686e+01	2.8027868e-02	-7.2062650e+01	2.0485219e-02	-9.2849901e+01	1.4085082e-02	-1.1839008e+02	7.8654662e-03	-1.4926520e+02	8.1628276e-04	-1.2474538e+02
-1.2259459e+01	3.8519828e-02	-5.5350493e+01	3.0242470e-02	-7.0843207e+01	2.1897656e-02	-8.9959649e+01	1.5308333e-02	-1.1817554e+02	7.9302301e-03	-1.5389954e+02	1.0680658e-03	-1.3006556e+02
-1.1959459e+01	3.9902196e-02	-5.4101318e+01	3.1565998e-02	-6.9477264e+01	2.2120316e-02	-8.7802669e+01	1.5874503e-02	-1.1290830e+02	9.5018111e-03	-1.4857308e+02	1.7169666e-03	-9.7473577e+01
-1.1659459e+01	4.1559292e-02	-5.3373845e+01	3.3150164e-02	-6.8487275e+01	2.4513722e-02	-8.6231652e+01	1.6938883e-02	-1.1194740e+02	1.0183279e-02	-1.4349062e+02	7.6915657e-04	-2.8561862e+01
-1.1359459e+01	4.3618072e-02	-5.1823149e+01	3.4806916e-02	-6.6557545e+01	2.5708289e-02	-8.6720643e+01	1.8234024e-02	-1.0916778e+02	1.1107752e-02	-1.3708436e+02	1.4053608e-03	-6.4249361e+01
-1.1059459e+01	4.5322453e-02	-5.1099646e+01	3.6204480e-02	-6.4864111e+01	2.7499437e-02	-8.2323267e+01	1.9103645e-02	-1.0630855e+02	1.1255714e-02	-1.3529127e+02	2.2078879e-03	-9.4943151e+01
-1.0759459e+01	4.5990962e-02	-5.1172006e+01	3.7061799e-02	-6.4369340e+01	2.7115354e-02	-8.4368587e+01	1.9305029e-02	-1.0652416e+02	1.1557662e-02	-1.3839721e+02	1.2735829e-03	-1.5889311e+02
-1.0459459e+01	5.0753241e-02	-4.7788584e+01	4.1305095e-02	-6.1669519e+01	3.1221543e-02	-7.9463635e+01	2.1867147e-02	-1.0049949e+02	1.4270680e-02	-1.2656843e+02	1.1236547e-03	-1.3553796e+02
-1.0159459e+01	5.3806923e-02	-4.6717070e+01	4.3791942e-02	-5.9634847e+01	3.2974163e-02	-7.8608008e+01	2.4366850e-02	-9.8410821e+01	1.5866465e-02	-1.2504888e+02	1.0224913e-03	-1.5669805e+02
-9.8594595e+00	5.6032893e-02	-4.5472133e+01	4.5698538e-02	-5.8380861e+01	3.6052669e-02	-7.3521463e+01	2.5673218e-02	-9.6230365e+01	1.6833376e-02	-1.2561080e+02	1.8991552e-03	-6.0653204e+00
-9.5594595e+00	5.7568233e-02	-4.4278032e+01	4.8062225e-02	-5.7209584e+01	3.7531464e-02	-7.4683324e+01	2.6804780e-02	-9.3519413e+01	1.8764238e-02	-1.2032669e+02	8.2142188e-04	-5.2265461e+01
-9.2594595e+00	6.2607863e-02	-4.2307974e+01	5.2148765e-02	-5.4593492e+01	4.0418023e-02	-7.0633661e+01	2.9925306e-02	-8.9347505e+01	2.0684978e-02	-1.1467159e+02	1.5849100e-03	1.8564292e+01
-8.9594595e+00	6.4972103e-02	-4.2167069e+01	5.4572427e-02	-5.3457005e+01	4.2846926e-02	-6.8675029e+01	3.1550529e-02	-8.7274780e+01	2.1890821e-02	-1.1296814e+02	8.9647090e-04	-5.5042247e+01
-8.6594595e+00	7.0136700e-02	-4.0292658e+01	5.8554076e-02	-5.1535766e+01	4.8041875e-02	-6.6220497e+01	3.5226482e-02	-8.4903006e+01	2.4366582e-02	-1.0996748e+02	1.5363280e-03	-8.4260246e+01
-8.3594595e+00	7.3821144e-02	-3.8981818e+01	6.2190185e-02	-4.9480526e+01	4.9780826e-02	-6.3710314e+01	3.8144630e-02	-8.1293524e+01	2.6543740e-02	-1.0543293e+02	3.9206723e-04	-1.0249193e+02
-8.0594595e+00	7.9707869e-02	-3.7367721e+01	6.7401665e-02	-4.7516001e+01	5.5717874e-02	-6.1243824e+01	4.2250996e-02	-7.8288962e+01	2.9702320e-02	-1.0159505e+02	6.6134276e-04	-7.7918479e+01
-7.7594595e+00	8.2677149e-02	-3.6069936e+01	7.0575689e-02	-4.6293365e+01	5.7255957e-02	-6.0377364e+01	4.4649943e-02	-7.7138882e+01	3.1597081e-02	-9.9041928e+01	8.6849159e-04	-1.6079695e+02
-7.4594595e+00	8.8680520e-02	-3.4791758e+01	7.5995200e-02	-4.4646370e+01	6.2252350e-02	-5.7534982e+01	4.8386973e-02	-7.3140388e+01	3.4628413e-02	-9.3814993e+01	2.1569997e-03	-7.0285481e+01
-7.1594595e+00	9.8629278e-02	-3.2523040e+01	8.5777975e-02	-4.1544024e+01	7.1174270e-02	-5.2578423e+01	5.7301289e-02	-6.7452749e+01	4.1142968e-02	-8.8791384e+01	2.4190238e-03	-4.1360086e+01
-6.8594595e+00	1.0605047e-01	-3.0995714e+01	9.2256723e-02	-3.9503750e+01	7.6906590e-02	-5.0845427e+01	6.1280031e-02	-6.5633442e+01	4.5343947e-02	-8.3654602e+01	2.3727539e-03	-3.8982029e+01
-6.5594595e+00	1.1388871e-01	-2.9458204e+01	1.0038113e-01	-3.7771250e+01	8.4476723e-02	-4.8172752e+01	6.7718852e-02	-6.2197431e+01	5.1040948e-02	-7.8221439e+01	1.8355049e-03	-1.6376336e+02
-6.2594595e+00	1.2166291e-01	-2.8120769e+01	1.0777519e-01	-3.6185398e+01	9.2074046e-02	-4.5794272e+01	7.3371080e-02	-5.9240554e+01	5.6399382e-02	-7.4448837e+01	2.1929426e-04	-9.9794114e+01
-5.9594595e+00	1.4037715e-01	-2.5674230e+01	1.2464445e-01	-3.2849343e+01	1.0751340e-01	-4.1463293e+01	8.8474206e-02	-5.2996658e+01	6.8509898e-02	-6.8348613e+01	4.1405047e-03	-1.1018293e+02
-5.6594595e+00	1.4932120e-01	-2.4353651e+01	1.3370533e-01	-3.1171238e+01	1.1662148e-01	-4.0129719e+01	9.6048552e-02	-5.1109006e+01	7.4848240e-02	-6.4651685e+01	6.6074074e-03	-1.2225277e+02
-5.3594595e+00	1.6499882e-01	-2.2767518e+01	1.4865015e-01	-2.8807407e+01	1.3059754e-01	-3.7159083e+01	1.0974324e-01	-4.7262810e+01	8.6819976e-02	-5.9916180e+01	5.5170790e-03	-9.6950757e+01
-5.0594595e+00	1.7884649e-01	-2.1252478e+01	1.6284644e-01	-2.7111271e+01	1.4326625e-01	-3.4625879e+01	1.2246123e-01	-4.4156191e+01	9.7495727e-02	-5.5786411e+01	1.1857003e-02	-1.0056443e+02
-4.7594595e+00	1.9912691e-01	-1.9681419e+01	1.8244089e-01	-2.5122285e+01	1.6286858e-01	-3.1945629e+01	1.3943442e-01	-4.0642380e+01	1.1323874e-01	-5.1317666e+01	1.6211755e-02	-8.5937553e+01
-4.4594595e+00	2.2334366e-01	-1.8168341e+01	2.0580709e-01	-2.2996755e+01	1.8492925e-01	-2.9536578e+01	1.6074841e-01	-3.7401611e+01	1.3326912e-01	-4.6880593e+01	2.2531330e-02	-8.7817311e+01
-4.1594595e+00	2.5930080e-01	-1.6209770e+01	2.4095953e-01	-2.0793605e+01	2.1853524e-01	-2.6349963e+01	1.9283262e-01	-3.3480331e+01	1.6299663e-01	-4.2270247e+01	3.5648552e-02	-8.0897514e+01
-3.8594595e+00	2.9907294e-01	-1.4705648e+01	2.7989306e-01	-1.8775437e+01	2.5650011e-01	-2.3879628e+01	2.2830514e-01	-3.0513698e+01	1.9678205e-01	-3.8386943e+01	4.9321187e-02	-7.7208748e+01
-3.5594595e+00	3.2995282e-01	-1.3577953e+01	3.1043694e-01	-1.7410846e+01	2.8662858e-01	-2.2320987e+01	2.5758441e-01	-2.8276994e+01	2.2351427e-01	-3.5533248e+01	6.1574309e-02	-7.3701518e+01
-3.2594595e+00	3.7112057e-01	-1.2429571e+01	3.5114084e-01	-1.5964494e+01	3.2650088e-01	-2.0537906e+01	2.9705573e-01	-2.5886317e+01	2.6101176e-01	-3.2875708e+01	7.9060323e-02	-6.9420529e+01
-2.9594595e+00	4.1237586e-01	-1.1529629e+01	3.9188305e-01	-1.4830402e+01	3.6649439e-01	-1.8952157e+01	3.3654021e-01	-2.4367849e+01	2.9819903e-01	-3.0885072e+01	9.7378034e-02	-6.8894386e+01
-2.6594595e+00	4.7508931e-01	-1.0374716e+01	4.5412485e-01	-1.3335969e+01	4.2709578e-01	-1.7251474e+01	3.9525097e-01	-2.1980889e+01	3.5541262e-01	-2.8018537e+01	1.2866394e-01	-6.6150605e+01
-2.3594595e+00	5.3433482e-01	-9.5046459e+00	5.1232149e-01	-1.2316637e+01	4.8520450e-01	-1.5918901e+01	4.5166511e-01	-2.0447278e+01	4.0997218e-01	-2.6122207e+01	1.5780513e-01	-6.5132010e+01
-2.0594595e+00	5.7451897e-01	-9.0232190e+00	5.5206282e-01	-1.1687171e+01	5.2507756e-01	-1.5155394e+01	4.9119245e-01	-1.9382295e+01	4.4909235e-01	-2.5166195e+01	1.7740475e-01	-6.3810836e+01
-1.7594595e+00	6.2765875e-01	-8.4997052e+00	6.0543325e-01	-1.0979976e+01	5.7753540e-01	-1.4128989e+01	5.4233587e-01	-1.8464731e+01	4.9787778e-01	-2.3837603e+01	2.0665106e-01	-6.2137160e+01
-1.4594595e+00	6.6908424e-01	-8.0953872e+00	6.4635992e-01	-1.0510359e+01	6.1835308e-01	-1.3691508e+01	5.8246372e-01	-1.7756500e+01	5.3553959e-01	-2.3094475e+01	2.2892187e-01	-6.1790142e+01
-1.1594595e+00	7.1359004e-01	-7.7766661e+00	6.9123409e-01	-1.0134436e+01	6.6107816e-01	-1.3272743e+01	6.2536180e-01	-1.7214868e+01	5.7802518e-01	-2.2366077e+01	2.5166018e-01	-6.0205596e+01
-8.5945946e-01	7.5488924e-01	-7.4874765e+00	7.3200316e-01	-9.7792677e+00	7.0261525e-01	-1.2711713e+01	6.6497374e-01	-1.6759801e+01	6.1738536e-01	-2.1726607e+01	2.7481299e-01	-5.9728175e+01
-5.5945946e-01	7.9811043e-01	-7.2135194e+00	7.7498957e-01	-9.4457967e+00	7.4432383e-01	-1.2376296e+01	7.0679674e-01	-1.6209234e+01	6.5857340e-01	-2.1120229e+01	2.9951456e-01	-5.9402122e+01
-2.5945946e-01	8.0366194e-01	-7.1526628e+00	7.8029277e-01	-9.3325395e+00	7.5027257e-01	-1.2283501e+01	7.1138079e-01	-1.6011665e+01	6.6413921e-01	-2.1013614e+01	3.0114859e-01	-5.8936862e+01
4.0540541e-02	8.0869617e-01	-7.1396276e+00	7.8497070e-01	-9.3096317e+00	7.5615045e-01	-1.2230557e+01	7.1770304e-01	-1.6003542e+01	6.6811418e-01	-2.0901297e+01	3.0652566e-01	-5.9390626e+01
3.4054054e-01	7.9759491e-01	-7.1648222e+00	7.7500300e-01	-9.3785193e+00	7.4503022e-01	-1.2286417e+01	7.0704738e-01	-1.6167449e+01	6.5884653e-01	-2.1034192e+01	2.9848566e-01	-5.9626256e+01
6.4054054e-01	7.8355088e-01	-7.2640431e+00	7.6024197e-01	-9.4732667e+00	7.3136573e-01	-1.2415663e+01	6.9317064e-01	-1.6298792e+01	6.4492655e-01	-2.1328502e+01	2.9181629e-01	-5.9804955e+01
9.4054054e-01	7.5150249e-01	-7.5625861e+00	7.2816326e-01	-9.8170095e+00	6.9869717e-01	-1.2818547e+01	6.6098441e-01	-1.6850346e+01	6.1321056e-01	-2.1808781e+01	2.7499501e-01	-6.0279094e+01
1.2405405e+00	6.9926485e-01	-7.8576637e+00	6.7548143e-01	-1.0254597e+01	6.4657029e-01	-1.3488455e+01	6.0975716e-01	-1.7479813e+01	5.6370597e-01	-2.2701206e+01	2.4317094e-01	-6.1245207e+01
1.5405405e+00	6.5510793e-01	-8.3410275e+00	6.3310876e-01	-1.0809409e+01	6.0411120e-01	-1.4030773e+01	5.6790324e-01	-1.8205506e+01	5.2289419e-01	-2.3726213e+01	2.1763072e-01	-6.1687329e+01
1.8405405e+00	6.4395320e-01	-8.4274300e+00	6.2130150e-01	-1.0884225e+01	5.9343529e-01	-1.4186053e+01	5.5658212e-01	-1.8432548e+01	5.1231471e-01	-2.3844379e+01	2.1257796e-01	-6.2026569e+01
2.1405405e+00	5.8326928e-01	-9.0118794e+00	5.6070443e-01	-1.1693043e+01	5.3353979e-01	-1.5153001e+01	4.9851809e-01	-1.9659479e+01	4.5568964e-01	-2.5367551e+01	1.7930165e-01	-6.4251352e+01
2.4405405e+00	5.2846583e-01	-9.7453369e+00	5.0638016e-01	-1.2511083e+01	4.8046222e-01	-1.6131208e+01	4.4548802e-01	-2.1011994e+01	4.0426629e-01	-2.6793767e+01	1.4906437e-01	-6.5204562e+01
2.7405405e+00	4.7316613e-01	-1.0524828e+01	4.5198494e-01	-1.3577059e+01	4.2621160e-01	-1.7465639e+01	3.9287506e-01	-2.2413380e+01	3.5226922e-01	-2.8699256e+01	1.2254964e-01	-6.7088996e+01
3.0405405e+00	4.1795572e-01	-1.1473429e+01	3.9712355e-01	-1.4816802e+01	3.7176602e-01	-1.8972246e+01	3.4031196e-01	-2.4263806e+01	3.0335261e-01	-3.0925592e+01	9.5301538e-02	-6.9642507e+01
3.3405405e+00	3.6172168e-01	-1.2796259e+01	3.4178485e-01	-1.6402967e+01	3.1722805e-01	-2.1165487e+01	2.8710992e-01	-2.6995736e+01	2.5204298e-01	-3.4084419e+01	7.1925837e-02	-7.3594597e+01
3.6405405e+00	3.3112855e-01	-1.3750661e+01	3.1164806e-01	-1.7549872e+01	2.8776736e-01	-2.2414723e+01	2.5781376e-01	-2.8635271e+01	2.2458297e-01	-3.6155638e+01	6.0417527e-02	-7.7065462e+01
3.9405405e+00	2.8946494e-01	-1.5186626e+01	2.7010434e-01	-1.9425610e+01	2.4835178e-01	-2.4813670e+01	2.2067158e-01	-3.1454243e+01	1.8834831e-01	-3.9973962e+01	4.2641004e-02	-7.8715844e+01
4.2405405e+00	2.5156198e-01	-1.6883135e+01	2.3316421e-01	-2.1586116e+01	2.1221038e-01	-2.7571535e+01	1.8587233e-01	-3.5165372e+01	1.5602245e-01	-4.4394286e+01	2.9215725e-02	-8.8621549e+01
4.5405405e+00	2.3038379e-01	-1.7936090e+01	2.1212827e-01	-2.3082939e+01	1.9008605e-01	-2.9361030e+01	1.6649516e-01	-3.7276961e+01	1.3787653e-01	-4.7355348e+01	2.3224026e-02	-9.0734523e+01
4.8405405e+00	2.0651084e-01	-1.9498726e+01	1.8930247e-01	-2.5035174e+01	1.6831462e-01	-3.2027338e+01	1.4487613e-01	-4.0726186e+01	1.1840968e-01	-5.1290702e+01	1.6246607e-02	-9.6200461e+01
5.1405405e+00	1.8724803e-01	-2.0909865e+01	1.7079215e-01	-2.6766939e+01	1.5099465e-01	-3.4282849e+01	1.2864280e-01	-4.3894241e+01	1.0352647e-01	-5.5383456e+01	1.0887152e-02	-9.6819906e+01
