21-Sep-2023 20:4:48 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	8.1939370e-01	-1.3723969e+00
6.3852298e+04	8.1935013e-01	-1.5096043e+00
7.2157221e+04	8.1904244e-01	-1.5962863e+00
8.1542320e+04	8.2020483e-01	-1.6995995e+00
9.2148088e+04	8.1480729e-01	-1.7960804e+00
1.0413329e+05	8.1392484e-01	-1.9067982e+00
1.1767734e+05	8.0890252e-01	-2.0269083e+00
1.3298300e+05	8.0234154e-01	-2.1833105e+00
1.5027938e+05	8.0182843e-01	-2.3043692e+00
1.6982540e+05	8.0109877e-01	-2.4471864e+00
1.9191367e+05	8.0202919e-01	-2.6146151e+00
2.1687485e+05	8.0872805e-01	-2.7374944e+00
2.4508258e+05	7.9647291e-01	-2.9585813e+00
2.7695915e+05	8.0024604e-01	-3.0549792e+00
3.1298173e+05	7.9622510e-01	-3.2448842e+00
3.5368956e+05	7.9709362e-01	-3.3855935e+00
3.9969205e+05	7.9308025e-01	-3.7559794e+00
4.5167783e+05	7.8759023e-01	-4.0401356e+00
5.1042512e+05	7.8591686e-01	-4.3471367e+00
5.7681335e+05	7.8125248e-01	-4.6715729e+00
6.5183634e+05	7.7427122e-01	-5.0284904e+00
7.3661717e+05	7.7057810e-01	-5.4432959e+00
8.3242498e+05	7.7190464e-01	-5.8071110e+00
9.4069399e+05	7.6850551e-01	-6.2227343e+00
1.0630450e+06	7.6220937e-01	-6.7354775e+00
1.2013095e+06	7.5905807e-01	-7.2126218e+00
1.3575573e+06	7.4921263e-01	-7.8416741e+00
1.5341274e+06	7.4188279e-01	-8.4125566e+00
1.7336631e+06	7.3882502e-01	-9.0130683e+00
1.9591512e+06	7.3169740e-01	-9.7865931e+00
2.2139674e+06	7.2657356e-01	-1.0506455e+01
2.5019262e+06	7.2013452e-01	-1.1358023e+01
2.8273382e+06	7.1730977e-01	-1.2133640e+01
3.1950747e+06	7.0594195e-01	-1.3151155e+01
3.6106408e+06	7.0207781e-01	-1.4093584e+01
4.0802573e+06	6.8654073e-01	-1.5216922e+01
4.6109543e+06	6.7640038e-01	-1.6485490e+01
5.2106761e+06	6.6584757e-01	-1.7742942e+01
5.8884005e+06	6.4564034e-01	-1.9240699e+01
6.6542729e+06	6.3506825e-01	-2.0495741e+01
7.5197582e+06	6.2562801e-01	-2.2070818e+01
8.4978124e+06	6.0606496e-01	-2.3773750e+01
9.6030769e+06	5.9255664e-01	-2.5454880e+01
1.0852097e+07	5.7737636e-01	-2.7318583e+01
1.2263571e+07	5.6185433e-01	-2.9200291e+01
1.3858627e+07	5.4468474e-01	-3.1232009e+01
1.5661143e+07	5.2692262e-01	-3.3232572e+01
