21-Sep-2023 18:6:16 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.5088589e+01	2.4744636e-02	-5.3678020e+01	1.9926127e-02	-6.9324042e+01	1.4845623e-02	-9.0778163e+01	9.3988175e-03	-1.1299045e+02	5.5451003e-03	-1.4458345e+02	3.3484814e-04	-1.2829555e+02
-1.4788589e+01	2.5513419e-02	-5.3501272e+01	2.0139793e-02	-6.7908046e+01	1.4850491e-02	-8.9111137e+01	1.0199076e-02	-1.1090992e+02	5.5981671e-03	-1.4549210e+02	5.5581753e-04	-1.9491157e+01
-1.4488589e+01	2.6580419e-02	-5.1946024e+01	2.0933519e-02	-6.6246695e+01	1.5521818e-02	-8.6018631e+01	1.0603092e-02	-1.0678658e+02	6.4861775e-03	-1.4492554e+02	1.4453600e-03	-1.4217008e+02
-1.4188589e+01	2.7423984e-02	-5.0854219e+01	2.1445095e-02	-6.5747942e+01	1.6605157e-02	-8.5272175e+01	1.1270762e-02	-1.0969007e+02	7.0654648e-03	-1.3521073e+02	1.9538258e-03	1.8947055e+01
-1.3888589e+01	2.8221021e-02	-5.0290082e+01	2.2359489e-02	-6.4275999e+01	1.7022644e-02	-8.2201527e+01	1.1839801e-02	-1.0489156e+02	7.5946815e-03	-1.3666476e+02	2.1474857e-03	-5.8800828e+01
-1.3588589e+01	2.9490539e-02	-4.9366218e+01	2.3734576e-02	-6.4125626e+01	1.8018474e-02	-7.8952644e+01	1.2342187e-02	-1.0444150e+02	7.8393516e-03	-1.3346996e+02	9.9203032e-04	-1.5034392e+02
-1.3288589e+01	2.9989570e-02	-4.7909381e+01	2.4389204e-02	-6.2969238e+01	1.8980059e-02	-8.1089551e+01	1.2491561e-02	-1.0403667e+02	8.7601869e-03	-1.3031276e+02	1.3903421e-03	-6.6460996e+01
-1.2988589e+01	3.1800066e-02	-4.7298816e+01	2.5873806e-02	-5.9993651e+01	1.8674509e-02	-8.0048062e+01	1.4560840e-02	-9.7112524e+01	9.2066933e-03	-1.2534051e+02	1.2800614e-03	-2.4851043e+01
-1.2688589e+01	3.3119731e-02	-4.6272870e+01	2.6451766e-02	-5.9957432e+01	2.0013713e-02	-7.7459140e+01	1.4277706e-02	-9.8515227e+01	8.6390871e-03	-1.2603222e+02	5.0859791e-04	-1.1380676e+02
-1.2388589e+01	3.3985392e-02	-4.5394548e+01	2.7681933e-02	-5.8023706e+01	2.1645896e-02	-7.6737909e+01	1.6018255e-02	-9.9414558e+01	1.0038745e-02	-1.2175068e+02	2.1995764e-03	-7.2774392e+01
-1.2088589e+01	3.5657729e-02	-4.4163853e+01	2.9333182e-02	-5.7498063e+01	2.3024834e-02	-7.2330386e+01	1.7044103e-02	-9.5474687e+01	1.1230250e-02	-1.1699906e+02	4.0658744e-04	-1.4677388e+02
-1.1788589e+01	3.6981630e-02	-4.3164972e+01	3.0623600e-02	-5.5810073e+01	2.4076075e-02	-7.1883352e+01	1.8137624e-02	-9.3885969e+01	1.1477363e-02	-1.1537990e+02	2.2027849e-03	-2.3047200e+01
-1.1488589e+01	3.8882670e-02	-4.1263015e+01	3.2871944e-02	-5.3582221e+01	2.5487745e-02	-6.9343458e+01	1.8276345e-02	-9.1766806e+01	1.2291353e-02	-1.1706491e+02	1.7055474e-03	-8.4323703e+01
-1.1188589e+01	4.1130149e-02	-4.0424155e+01	3.4537594e-02	-5.2324187e+01	2.7502120e-02	-6.7516253e+01	1.9812310e-02	-8.5778989e+01	1.3616291e-02	-1.1319650e+02	6.8542042e-04	-1.3138205e+02
-1.0888589e+01	4.2608657e-02	-3.9976452e+01	3.5460219e-02	-5.1646144e+01	2.8936342e-02	-6.6181491e+01	2.1328505e-02	-8.5943626e+01	1.4408859e-02	-1.0795886e+02	8.8327707e-04	4.5991721e+00
-1.0588589e+01	4.5376020e-02	-3.8721854e+01	3.8068095e-02	-5.0287800e+01	3.1604621e-02	-6.5185811e+01	2.3258294e-02	-8.3159430e+01	1.5777404e-02	-1.0578929e+02	1.2935643e-03	-2.8645416e+01
-1.0288589e+01	4.6385192e-02	-3.8282012e+01	3.9374996e-02	-4.8686896e+01	3.2078173e-02	-6.2964288e+01	2.4112697e-02	-8.2450652e+01	1.6950196e-02	-1.0693342e+02	2.1232489e-03	-9.2352655e+01
-9.9885886e+00	4.9412504e-02	-3.6795135e+01	4.2097860e-02	-4.6475983e+01	3.3771856e-02	-6.1668446e+01	2.6194129e-02	-7.7738514e+01	1.8926529e-02	-1.0047074e+02	1.2241524e-03	-9.9198388e+01
-9.6885886e+00	5.2322575e-02	-3.5501978e+01	4.5259431e-02	-4.5254253e+01	3.7406693e-02	-5.9051233e+01	2.8156970e-02	-7.4090784e+01	2.0124369e-02	-9.8168879e+01	7.3108726e-04	-2.3702156e+01
-9.3885886e+00	5.4300241e-02	-3.4990336e+01	4.6669583e-02	-4.4624951e+01	3.8740454e-02	-5.8288575e+01	2.9748985e-02	-7.4969914e+01	2.1940829e-02	-9.6065041e+01	1.9824958e-03	-7.3162350e+01
-9.0885886e+00	5.7695188e-02	-3.3221213e+01	4.9725931e-02	-4.3063956e+01	4.1400593e-02	-5.5148916e+01	3.2023444e-02	-7.1532587e+01	2.4216404e-02	-9.1848044e+01	1.2507154e-03	-1.3831597e+02
-8.7885886e+00	6.1691056e-02	-3.2430666e+01	5.3678546e-02	-4.1730787e+01	4.4895222e-02	-5.2993364e+01	3.5052545e-02	-6.7552763e+01	2.6355664e-02	-8.7540520e+01	2.1344122e-03	-1.3139829e+02
-8.4885886e+00	6.4826447e-02	-3.0826288e+01	5.6460906e-02	-4.0401850e+01	4.7239596e-02	-5.1663340e+01	3.7662413e-02	-6.6063601e+01	2.8292681e-02	-8.6037397e+01	1.7494766e-03	-8.1916066e+01
-8.1885886e+00	7.0157900e-02	-2.9580502e+01	6.1816926e-02	-3.8204785e+01	5.1746025e-02	-5.0844600e+01	4.3186405e-02	-6.2481787e+01	3.1621411e-02	-8.3004954e+01	2.6953770e-03	-1.7700976e+02
-7.8885886e+00	7.2645964e-02	-2.8766770e+01	6.4202465e-02	-3.7047410e+01	5.4724861e-02	-4.8378167e+01	4.4777958e-02	-6.2090293e+01	3.2778140e-02	-8.0751520e+01	1.2109300e-03	-4.5724501e+00
-7.5885886e+00	7.8901303e-02	-2.7348672e+01	6.9980176e-02	-3.5660617e+01	5.9804753e-02	-4.5342471e+01	4.8386331e-02	-5.8920318e+01	3.6493359e-02	-7.6558721e+01	1.9371145e-03	-1.2686685e+01
-7.2885886e+00	8.5151684e-02	-2.5853744e+01	7.5815052e-02	-3.3578169e+01	6.6354941e-02	-4.3660565e+01	5.4594495e-02	-5.5701960e+01	4.2692253e-02	-7.3026110e+01	3.0006571e-03	-3.4690266e+01
-6.9885886e+00	9.0667425e-02	-2.4899919e+01	8.1119699e-02	-3.2229802e+01	7.0307143e-02	-4.1072184e+01	5.9163971e-02	-5.3796292e+01	4.5322665e-02	-7.0919096e+01	8.6748267e-04	-1.4855419e+02
-6.6885886e+00	9.7270639e-02	-2.3544362e+01	8.8041727e-02	-3.1081934e+01	7.7148567e-02	-3.9918979e+01	6.4194018e-02	-5.1596178e+01	4.9711662e-02	-6.6634839e+01	4.6322249e-03	-1.5019752e+02
-6.3885886e+00	1.0622838e-01	-2.2274839e+01	9.6520358e-02	-2.9039098e+01	8.5620506e-02	-3.7726661e+01	7.2409579e-02	-4.8226010e+01	5.7466595e-02	-6.2792165e+01	4.3541144e-03	-1.0609225e+02
-6.0885886e+00	1.1761231e-01	-2.1087752e+01	1.0795351e-01	-2.6908357e+01	9.5817443e-02	-3.5075112e+01	8.1402268e-02	-4.5041313e+01	6.6528020e-02	-5.8082691e+01	7.3763944e-03	-1.2831717e+02
-5.7885886e+00	1.3087706e-01	-1.9287512e+01	1.2016924e-01	-2.5039421e+01	1.0767305e-01	-3.2252451e+01	9.3314907e-02	-4.1572413e+01	7.6407929e-02	-5.3805444e+01	6.6156068e-03	-1.2230588e+02
-5.4885886e+00	1.3859618e-01	-1.8567939e+01	1.2774186e-01	-2.3860706e+01	1.1464106e-01	-3.1063922e+01	1.0086502e-01	-4.0459739e+01	8.3321702e-02	-5.1409637e+01	8.3803115e-03	-1.0303227e+02
-5.1885886e+00	1.5711574e-01	-1.6907770e+01	1.4609299e-01	-2.1866656e+01	1.3245323e-01	-2.8409310e+01	1.1739818e-01	-3.6225353e+01	9.8455214e-02	-4.6997892e+01	1.4332143e-02	-9.6919103e+01
-4.8885886e+00	1.7424480e-01	-1.5605379e+01	1.6266495e-01	-2.0344873e+01	1.4872687e-01	-2.6115947e+01	1.3204623e-01	-3.3981866e+01	1.1291273e-01	-4.3716290e+01	1.9918885e-02	-8.5527149e+01
