21-Sep-2023 20:25:13 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	8.8244749e-01	-1.5179227e+00
6.3852298e+04	8.7885262e-01	-1.7400328e+00
7.2157221e+04	8.7904572e-01	-1.8501472e+00
8.1542320e+04	8.7890473e-01	-1.9358876e+00
9.2148088e+04	8.7115167e-01	-2.0672698e+00
1.0413329e+05	8.6532873e-01	-2.2244766e+00
1.1767734e+05	8.7136875e-01	-2.3481378e+00
1.3298300e+05	8.6860124e-01	-2.4627328e+00
1.5027938e+05	8.5943507e-01	-2.6211462e+00
1.6982540e+05	8.5851734e-01	-2.7850770e+00
1.9191367e+05	8.5550595e-01	-2.9872479e+00
2.1687485e+05	8.4907891e-01	-3.1560782e+00
2.4508258e+05	8.5146117e-01	-3.3339826e+00
2.7695915e+05	8.4531889e-01	-3.6291350e+00
3.1298173e+05	8.4095247e-01	-3.8764836e+00
3.5368956e+05	8.4467229e-01	-4.2248670e+00
3.9969205e+05	8.3242735e-01	-4.3829193e+00
4.5167783e+05	8.3193317e-01	-4.6317136e+00
5.1042512e+05	8.3042298e-01	-4.9237659e+00
5.7681335e+05	8.2186724e-01	-5.2641009e+00
6.5183634e+05	8.2226197e-01	-5.6236193e+00
7.3661717e+05	8.2114080e-01	-5.9715335e+00
8.3242498e+05	8.0788312e-01	-6.4593062e+00
9.4069399e+05	8.0403702e-01	-6.9024773e+00
1.0630450e+06	8.0032901e-01	-7.3660654e+00
1.2013095e+06	7.9765323e-01	-7.9196119e+00
1.3575573e+06	7.9087571e-01	-8.4985949e+00
1.5341274e+06	7.8611893e-01	-9.1150139e+00
1.7336631e+06	7.8016783e-01	-9.8268064e+00
1.9591512e+06	7.7399700e-01	-1.0547967e+01
2.2139674e+06	7.6320719e-01	-1.1371522e+01
2.5019262e+06	7.4976278e-01	-1.2276932e+01
2.8273382e+06	7.4988396e-01	-1.3150675e+01
3.1950747e+06	7.3959035e-01	-1.4115601e+01
3.6106408e+06	7.2953462e-01	-1.5155435e+01
4.0802573e+06	7.1809272e-01	-1.6330890e+01
4.6109543e+06	7.0492145e-01	-1.7564608e+01
5.2106761e+06	6.9379062e-01	-1.8846695e+01
5.8884005e+06	6.7823496e-01	-2.0259671e+01
6.6542729e+06	6.6216621e-01	-2.1775708e+01
7.5197582e+06	6.4664112e-01	-2.3323908e+01
8.4978124e+06	6.3293633e-01	-2.4916348e+01
9.6030769e+06	6.1309438e-01	-2.6735344e+01
1.0852097e+07	5.9527912e-01	-2.8580299e+01
1.2263571e+07	5.7875985e-01	-3.0514648e+01
1.3858627e+07	5.5921344e-01	-3.2423269e+01
1.5661143e+07	5.4046317e-01	-3.4448114e+01
