21-Sep-2023 20:3:39 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	8.0657527e-01	-1.5453245e+00
6.3852298e+04	8.0778342e-01	-1.5904463e+00
7.2157221e+04	8.0291067e-01	-1.6976036e+00
8.1542320e+04	7.9987904e-01	-1.8143036e+00
9.2148088e+04	7.9801422e-01	-1.8872313e+00
1.0413329e+05	7.9505670e-01	-2.0387960e+00
1.1767734e+05	7.9732982e-01	-2.1398013e+00
1.3298300e+05	7.9345570e-01	-2.2596858e+00
1.5027938e+05	7.9480059e-01	-2.3777649e+00
1.6982540e+05	7.9390062e-01	-2.5183842e+00
1.9191367e+05	7.9160764e-01	-2.6648590e+00
2.1687485e+05	7.8719305e-01	-2.8419499e+00
2.4508258e+05	7.8725983e-01	-3.0153783e+00
2.7695915e+05	7.8763985e-01	-3.1252120e+00
3.1298173e+05	7.8346073e-01	-3.3042474e+00
3.5368956e+05	7.8032329e-01	-3.4499968e+00
3.9969205e+05	7.7984568e-01	-3.7973935e+00
4.5167783e+05	7.7392274e-01	-4.0742382e+00
5.1042512e+05	7.7012996e-01	-4.4111967e+00
5.7681335e+05	7.6681417e-01	-4.7221593e+00
6.5183634e+05	7.6471022e-01	-5.0726276e+00
7.3661717e+05	7.6226076e-01	-5.4163710e+00
8.3242498e+05	7.5906814e-01	-5.8283790e+00
9.4069399e+05	7.5527189e-01	-6.2433151e+00
1.0630450e+06	7.4893840e-01	-6.7169886e+00
1.2013095e+06	7.3400432e-01	-7.2864276e+00
1.3575573e+06	7.3523618e-01	-7.8017370e+00
1.5341274e+06	7.3161064e-01	-8.3417893e+00
1.7336631e+06	7.2875653e-01	-8.9831678e+00
1.9591512e+06	7.2027053e-01	-9.6773657e+00
2.2139674e+06	7.1157832e-01	-1.0421727e+01
2.5019262e+06	7.0487435e-01	-1.1236106e+01
2.8273382e+06	6.9655015e-01	-1.2107822e+01
3.1950747e+06	6.8578582e-01	-1.3072284e+01
3.6106408e+06	6.7548897e-01	-1.4106626e+01
4.0802573e+06	6.7003951e-01	-1.5191301e+01
4.6109543e+06	6.6064452e-01	-1.6355937e+01
5.2106761e+06	6.5247578e-01	-1.7549309e+01
5.8884005e+06	6.3252348e-01	-1.9062061e+01
6.6542729e+06	6.1933633e-01	-2.0325004e+01
7.5197582e+06	6.0784767e-01	-2.1982671e+01
8.4978124e+06	5.9385695e-01	-2.3654627e+01
9.6030769e+06	5.8548240e-01	-2.5183188e+01
1.0852097e+07	5.6994187e-01	-2.7154727e+01
1.2263571e+07	5.4872805e-01	-2.9122877e+01
1.3858627e+07	5.2733166e-01	-3.1271460e+01
1.5661143e+07	5.0986680e-01	-3.3298499e+01
