21-Sep-2023 18:6:57 PM	
Frequency (Hz)	R (volts rms)	Theta (degree)
5.0000000e+04	2.1400925e-02	-1.7057756e+02
5.6503229e+04	2.0017248e-02	1.7870968e+02
6.3852298e+04	2.0038981e-02	1.7843480e+02
7.2157221e+04	2.0055712e-02	1.7817858e+02
8.1542320e+04	2.0077422e-02	1.7790769e+02
9.2148088e+04	2.0090084e-02	1.7764955e+02
1.0413329e+05	2.0101201e-02	1.7737201e+02
1.1767734e+05	2.0108764e-02	1.7707244e+02
1.3298300e+05	2.0120555e-02	1.7676376e+02
1.5027938e+05	2.0130004e-02	1.7641687e+02
1.6982540e+05	2.0129247e-02	1.7603034e+02
1.9191367e+05	2.0120547e-02	1.7554891e+02
2.1687485e+05	2.0107161e-02	1.7546013e+02
2.4508258e+05	2.0089905e-02	1.7501750e+02
2.7695915e+05	2.0080895e-02	1.7476914e+02
3.1298173e+05	2.0063976e-02	1.7414450e+02
3.5368956e+05	2.0038350e-02	1.7350131e+02
3.9969205e+05	2.0015382e-02	1.7282127e+02
4.5167783e+05	1.9980368e-02	1.7213345e+02
5.1042512e+05	1.9940197e-02	1.7141346e+02
5.7681335e+05	1.9886959e-02	1.7064038e+02
6.5183634e+05	1.9828267e-02	1.6985819e+02
7.3661717e+05	1.9765533e-02	1.6905074e+02
8.3242498e+05	1.9691240e-02	1.6813334e+02
9.4069399e+05	1.9599831e-02	1.6707746e+02
1.0630450e+06	1.9493089e-02	1.6597826e+02
1.2013095e+06	1.9357122e-02	1.6479185e+02
1.3575573e+06	1.9234718e-02	1.6349433e+02
1.5341274e+06	1.9142628e-02	1.6197807e+02
1.7336631e+06	1.9048443e-02	1.6005103e+02
1.9591512e+06	1.8954434e-02	1.5772226e+02
2.2139674e+06	1.8866329e-02	1.5501244e+02
2.5019262e+06	1.8774464e-02	1.5200439e+02
2.8273382e+06	1.8703209e-02	1.4865206e+02
3.1950747e+06	1.8635664e-02	1.4490131e+02
3.6106408e+06	1.8580806e-02	1.4065328e+02
4.0802573e+06	1.8517685e-02	1.3582137e+02
4.6109543e+06	1.8446313e-02	1.3019688e+02
5.2106761e+06	1.8187856e-02	1.2366996e+02
5.8884005e+06	1.7797573e-02	1.1735190e+02
6.6542729e+06	1.7744241e-02	1.1118917e+02
7.5197582e+06	1.7737472e-02	1.0386678e+02
8.4978124e+06	1.7722208e-02	9.5169399e+01
9.6030769e+06	1.7701002e-02	8.4952682e+01
1.0852097e+07	1.7611931e-02	7.3131504e+01
1.2263571e+07	1.7512405e-02	5.9298900e+01
1.3858627e+07	1.7366020e-02	4.2445532e+01
1.5661143e+07	1.7068174e-02	2.1894908e+01
1.7698103e+07	1.6622333e-02	-3.0910091e+00
2.0000000e+07	1.6086942e-02	-3.3344616e+01
