21-Sep-2023 19:12:24 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.4529465e-01	-6.3044806e-01
6.3852298e+04	5.4557326e-01	-6.6308088e-01
7.2157221e+04	5.4112206e-01	-7.3484122e-01
8.1542320e+04	5.4309469e-01	-7.7376281e-01
9.2148088e+04	5.4307720e-01	-8.2878750e-01
1.0413329e+05	5.4560548e-01	-8.6355613e-01
1.1767734e+05	5.4780879e-01	-9.1472044e-01
1.3298300e+05	5.4349013e-01	-9.8031748e-01
1.5027938e+05	5.4560800e-01	-1.0116123e+00
1.6982540e+05	5.4899529e-01	-1.0992402e+00
1.9191367e+05	5.4328315e-01	-1.1495694e+00
2.1687485e+05	5.4058690e-01	-1.2644083e+00
2.4508258e+05	5.4189790e-01	-1.3555771e+00
2.7695915e+05	5.4010777e-01	-1.4346445e+00
3.1298173e+05	5.3217339e-01	-1.5768979e+00
3.5368956e+05	5.3126632e-01	-1.6996292e+00
3.9969205e+05	5.3405952e-01	-1.7676349e+00
4.5167783e+05	5.3380057e-01	-1.9564622e+00
5.1042512e+05	5.3280078e-01	-2.0807366e+00
5.7681335e+05	5.3396333e-01	-2.2594233e+00
6.5183634e+05	5.3090142e-01	-2.4479244e+00
7.3661717e+05	5.3284038e-01	-2.6474463e+00
8.3242498e+05	5.2309037e-01	-2.9621804e+00
9.4069399e+05	5.2388596e-01	-3.2259494e+00
1.0630450e+06	5.2810080e-01	-3.4959953e+00
1.2013095e+06	5.3050635e-01	-3.8019616e+00
1.3575573e+06	5.2865071e-01	-4.1479614e+00
1.5341274e+06	5.2758806e-01	-4.5951802e+00
1.7336631e+06	5.2328315e-01	-5.0503717e+00
1.9591512e+06	5.1703075e-01	-5.5447388e+00
2.2139674e+06	5.1939607e-01	-6.0831079e+00
2.5019262e+06	5.1910399e-01	-6.6291527e+00
2.8273382e+06	5.1400369e-01	-7.2600726e+00
3.1950747e+06	5.1036162e-01	-7.9423357e+00
3.6106408e+06	5.0911703e-01	-8.6770057e+00
4.0802573e+06	5.0612833e-01	-9.4348833e+00
4.6109543e+06	4.9940211e-01	-1.0597070e+01
5.2106761e+06	4.9805391e-01	-1.1821268e+01
5.8884005e+06	4.8952922e-01	-1.2943115e+01
6.6542729e+06	4.8341491e-01	-1.4056409e+01
7.5197582e+06	4.8134903e-01	-1.5407293e+01
8.4978124e+06	4.7894806e-01	-1.6877575e+01
9.6030769e+06	4.7250931e-01	-1.8458408e+01
1.0852097e+07	4.6222470e-01	-2.0221829e+01
1.2263571e+07	4.5196196e-01	-2.2117397e+01
1.3858627e+07	4.4030675e-01	-2.4054247e+01
1.5661143e+07	4.2464681e-01	-2.6219319e+01
1.7698103e+07	4.1794641e-01	-2.8589585e+01
2.0000000e+07	4.1024244e-01	-3.1137227e+01
