21-Sep-2023 20:23:43 PM	
Frequency (Hz)	R (volts rms)	Theta (degree)
5.0000000e+04	2.1340081e-02	1.4962628e+02
5.6503229e+04	1.9967251e-02	1.7874840e+02
6.3852298e+04	2.0002562e-02	1.7858138e+02
7.2157221e+04	2.0025198e-02	1.7834098e+02
8.1542320e+04	2.0054838e-02	1.7807535e+02
9.2148088e+04	2.0070641e-02	1.7782052e+02
1.0413329e+05	2.0094431e-02	1.7754257e+02
1.1767734e+05	2.0110419e-02	1.7725535e+02
1.3298300e+05	2.0126973e-02	1.7692589e+02
1.5027938e+05	2.0148414e-02	1.7657815e+02
1.6982540e+05	2.0152155e-02	1.7619488e+02
1.9191367e+05	2.0152967e-02	1.7570555e+02
2.1687485e+05	2.0143779e-02	1.7558466e+02
2.4508258e+05	2.0129507e-02	1.7510050e+02
2.7695915e+05	2.0117692e-02	1.7491041e+02
3.1298173e+05	2.0106268e-02	1.7427213e+02
3.5368956e+05	2.0092777e-02	1.7360040e+02
3.9969205e+05	2.0074352e-02	1.7289678e+02
4.5167783e+05	2.0044331e-02	1.7220441e+02
5.1042512e+05	2.0007581e-02	1.7144911e+02
5.7681335e+05	1.9954485e-02	1.7065137e+02
6.5183634e+05	1.9898658e-02	1.6986910e+02
7.3661717e+05	1.9836748e-02	1.6904750e+02
8.3242498e+05	1.9760848e-02	1.6811271e+02
9.4069399e+05	1.9668237e-02	1.6704363e+02
1.0630450e+06	1.9559231e-02	1.6593199e+02
1.2013095e+06	1.9426425e-02	1.6475526e+02
1.3575573e+06	1.9302227e-02	1.6345834e+02
1.5341274e+06	1.9199748e-02	1.6194076e+02
1.7336631e+06	1.9106184e-02	1.6001575e+02
1.9591512e+06	1.9015249e-02	1.5768563e+02
2.2139674e+06	1.8919375e-02	1.5497285e+02
2.5019262e+06	1.8822438e-02	1.5195579e+02
2.8273382e+06	1.8744701e-02	1.4862387e+02
3.1950747e+06	1.8680770e-02	1.4488271e+02
3.6106408e+06	1.8625558e-02	1.4062410e+02
4.0802573e+06	1.8562266e-02	1.3579579e+02
4.6109543e+06	1.8485217e-02	1.3016176e+02
5.2106761e+06	1.8225404e-02	1.2366297e+02
5.8884005e+06	1.7831736e-02	1.1734507e+02
6.6542729e+06	1.7773120e-02	1.1116572e+02
7.5197582e+06	1.7766652e-02	1.0383636e+02
8.4978124e+06	1.7753092e-02	9.5144973e+01
9.6030769e+06	1.7728941e-02	8.4932140e+01
1.0852097e+07	1.7636324e-02	7.3113500e+01
1.2263571e+07	1.7530593e-02	5.9273506e+01
1.3858627e+07	1.7383480e-02	4.2428771e+01
1.5661143e+07	1.7081501e-02	2.1869801e+01
1.7698103e+07	1.6624249e-02	-3.1391632e+00
     NaN	     NaN	     NaN
