21-Sep-2023 18:7:19 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	7.4851303e-01	-1.3340732e+00
6.3852298e+04	7.4753374e-01	-1.3013060e+00
7.2157221e+04	7.4673963e-01	-1.3779133e+00
8.1542320e+04	7.4330202e-01	-1.4626287e+00
9.2148088e+04	7.4267346e-01	-1.5337524e+00
1.0413329e+05	7.4398702e-01	-1.6227855e+00
1.1767734e+05	7.4119450e-01	-1.7455469e+00
1.3298300e+05	7.3937546e-01	-1.8425143e+00
1.5027938e+05	7.3794999e-01	-1.9710446e+00
1.6982540e+05	7.3754747e-01	-2.0629808e+00
1.9191367e+05	7.3534215e-01	-2.1946519e+00
2.1687485e+05	7.3621569e-01	-2.3442789e+00
2.4508258e+05	7.3367065e-01	-2.5385489e+00
2.7695915e+05	7.2984485e-01	-2.6241068e+00
3.1298173e+05	7.2560778e-01	-2.8356641e+00
3.5368956e+05	7.2147600e-01	-3.0280764e+00
3.9969205e+05	7.2005260e-01	-3.2269570e+00
4.5167783e+05	7.1907938e-01	-3.4742675e+00
5.1042512e+05	7.1852046e-01	-3.7265751e+00
5.7681335e+05	7.1377524e-01	-4.0008935e+00
6.5183634e+05	7.1416196e-01	-4.3186946e+00
7.3661717e+05	7.0975170e-01	-4.6200458e+00
8.3242498e+05	7.0641159e-01	-4.9970374e+00
9.4069399e+05	7.0186807e-01	-5.3801902e+00
1.0630450e+06	6.9783282e-01	-5.8002892e+00
1.2013095e+06	6.9406300e-01	-6.2328556e+00
1.3575573e+06	6.8979930e-01	-6.7758168e+00
1.5341274e+06	6.8393630e-01	-7.2942102e+00
1.7336631e+06	6.7731267e-01	-7.8764223e+00
1.9591512e+06	6.7471063e-01	-8.4922348e+00
2.2139674e+06	6.7075970e-01	-9.2235862e+00
2.5019262e+06	6.6458256e-01	-9.9912617e+00
2.8273382e+06	6.6108129e-01	-1.0818372e+01
3.1950747e+06	6.5264243e-01	-1.1693450e+01
3.6106408e+06	6.4687670e-01	-1.2610961e+01
4.0802573e+06	6.4090422e-01	-1.3637541e+01
4.6109543e+06	6.3306420e-01	-1.4788525e+01
5.2106761e+06	6.2474909e-01	-1.6006982e+01
5.8884005e+06	6.1754101e-01	-1.7327271e+01
6.6542729e+06	6.0730900e-01	-1.8642298e+01
7.5197582e+06	5.9693261e-01	-2.0193763e+01
8.4978124e+06	5.8562373e-01	-2.1796461e+01
9.6030769e+06	5.6573263e-01	-2.3524567e+01
1.0852097e+07	5.4871868e-01	-2.5485251e+01
1.2263571e+07	5.4035713e-01	-2.7331398e+01
1.3858627e+07	5.2260604e-01	-2.9390702e+01
1.5661143e+07	5.0496083e-01	-3.1509410e+01
1.7698103e+07	4.8539564e-01	-3.3826052e+01
2.0000000e+07	4.6892884e-01	-3.6219978e+01
