21-Sep-2023 18:5:30 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-7.7294294e+00	7.4191278e-02	-2.8514583e+01	6.6155660e-02	-3.6817874e+01	5.6597411e-02	-4.7568105e+01	4.5423187e-02	-6.1900586e+01	3.4827057e-02	-7.9115309e+01	8.8429805e-04	-5.2902054e+01
-7.4294294e+00	8.0610672e-02	-2.7034961e+01	7.1352109e-02	-3.4642807e+01	6.2214561e-02	-4.5574787e+01	5.0056107e-02	-5.8338027e+01	3.9384450e-02	-7.5698020e+01	2.1673752e-03	-1.6425860e+02
-7.1294294e+00	8.8536576e-02	-2.5335444e+01	7.9372934e-02	-3.2794082e+01	6.9110880e-02	-4.2539664e+01	5.6602683e-02	-5.5316680e+01	4.4583155e-02	-6.9963735e+01	1.6680555e-03	-3.1382485e+01
-6.8294294e+00	9.1796525e-02	-2.4728700e+01	8.2183552e-02	-3.2550046e+01	7.1086322e-02	-4.1291178e+01	5.9123919e-02	-5.3968464e+01	4.6596703e-02	-6.9618991e+01	1.6267797e-03	-1.0919878e+01
-6.5294294e+00	9.8857652e-02	-2.3497301e+01	8.9147548e-02	-3.0653912e+01	7.8771595e-02	-3.9700678e+01	6.5148561e-02	-5.1718211e+01	5.1137418e-02	-6.6720828e+01	2.5291932e-03	-1.3480082e+02
-6.2294294e+00	1.1006322e-01	-2.1782819e+01	1.0047906e-01	-2.8397549e+01	8.8778197e-02	-3.6259597e+01	7.4968033e-02	-4.7435558e+01	6.0485578e-02	-6.1522519e+01	4.2419339e-03	-1.3261559e+02
-5.9294294e+00	1.2154914e-01	-2.0546684e+01	1.1041106e-01	-2.6678733e+01	9.8765549e-02	-3.4480932e+01	8.4411720e-02	-4.5059610e+01	6.8348784e-02	-5.7305661e+01	5.4029213e-03	-1.2414284e+02
-5.6294294e+00	1.3022857e-01	-1.9551298e+01	1.1943966e-01	-2.5302900e+01	1.0679360e-01	-3.2384714e+01	9.2429432e-02	-4.1948644e+01	7.6339725e-02	-5.4696784e+01	5.9088004e-03	-1.0171151e+02
-5.3294294e+00	1.4222638e-01	-1.8209803e+01	1.3114010e-01	-2.3687894e+01	1.1789012e-01	-3.0859477e+01	1.0286459e-01	-3.9472534e+01	8.4803915e-02	-5.0562340e+01	9.1591728e-03	-9.0129805e+01
-5.0294294e+00	1.5787777e-01	-1.6943398e+01	1.4699712e-01	-2.1963114e+01	1.3302457e-01	-2.8334170e+01	1.1804729e-01	-3.6641056e+01	9.9171980e-02	-4.6814167e+01	1.5190126e-02	-9.8797307e+01
-4.7294294e+00	1.7958872e-01	-1.5403927e+01	1.6825808e-01	-1.9889996e+01	1.5321392e-01	-2.6184352e+01	1.3647235e-01	-3.3465488e+01	1.1625637e-01	-4.2893682e+01	2.1487438e-02	-8.4026206e+01
-4.4294294e+00	1.9928289e-01	-1.4028453e+01	1.8724727e-01	-1.8351472e+01	1.7220698e-01	-2.3963348e+01	1.5499115e-01	-3.0903300e+01	1.3287861e-01	-3.9993939e+01	2.8470625e-02	-8.1733378e+01
-4.1294294e+00	2.2304359e-01	-1.3103340e+01	2.1054867e-01	-1.7028323e+01	1.9462997e-01	-2.2098853e+01	1.7640916e-01	-2.8616564e+01	1.5445789e-01	-3.6621197e+01	3.5348740e-02	-7.8334103e+01
