21-Sep-2023 19:13:1 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.3437638e-01	-6.6522371e-01
6.3852298e+04	5.3673698e-01	-7.3632021e-01
7.2157221e+04	5.3398310e-01	-7.5554575e-01
8.1542320e+04	5.2953130e-01	-7.8983015e-01
9.2148088e+04	5.2914545e-01	-8.3206363e-01
1.0413329e+05	5.3189581e-01	-9.0779890e-01
1.1767734e+05	5.2397678e-01	-9.3587477e-01
1.3298300e+05	5.2667102e-01	-1.0116214e+00
1.5027938e+05	5.3047998e-01	-1.0312162e+00
1.6982540e+05	5.3479698e-01	-1.1096566e+00
1.9191367e+05	5.2840944e-01	-1.1900710e+00
2.1687485e+05	5.2738932e-01	-1.2852145e+00
2.4508258e+05	5.3075235e-01	-1.3631275e+00
2.7695915e+05	5.2507049e-01	-1.4914520e+00
3.1298173e+05	5.2177182e-01	-1.5769735e+00
3.5368956e+05	5.3091652e-01	-1.6749634e+00
3.9969205e+05	5.2680436e-01	-1.7735818e+00
4.5167783e+05	5.2096657e-01	-1.9237377e+00
5.1042512e+05	5.2896629e-01	-2.0865063e+00
5.7681335e+05	5.2365851e-01	-2.2489696e+00
6.5183634e+05	5.2447148e-01	-2.4481652e+00
7.3661717e+05	5.1684003e-01	-2.7063696e+00
8.3242498e+05	5.2163504e-01	-2.9202030e+00
9.4069399e+05	5.2056913e-01	-3.1833436e+00
1.0630450e+06	5.1953309e-01	-3.4905730e+00
1.2013095e+06	5.2113674e-01	-3.8057308e+00
1.3575573e+06	5.1569647e-01	-4.1615120e+00
1.5341274e+06	5.1430419e-01	-4.5443527e+00
1.7336631e+06	5.1248088e-01	-4.9535702e+00
1.9591512e+06	5.1234387e-01	-5.4275510e+00
2.2139674e+06	5.0825804e-01	-5.9598569e+00
2.5019262e+06	5.0873122e-01	-6.5363184e+00
2.8273382e+06	4.9967072e-01	-7.1485064e+00
3.1950747e+06	4.9982121e-01	-7.7810804e+00
3.6106408e+06	4.9924214e-01	-8.4586940e+00
4.0802573e+06	4.9475358e-01	-9.3427492e+00
4.6109543e+06	4.9425829e-01	-1.0413355e+01
5.2106761e+06	4.8811645e-01	-1.1681713e+01
5.8884005e+06	4.8339541e-01	-1.2736413e+01
6.6542729e+06	4.8127140e-01	-1.3848222e+01
7.5197582e+06	4.7493425e-01	-1.5203481e+01
8.4978124e+06	4.6899337e-01	-1.6686281e+01
9.6030769e+06	4.5966841e-01	-1.8327872e+01
1.0852097e+07	4.4982299e-01	-2.0095742e+01
1.2263571e+07	4.4351585e-01	-2.1927623e+01
1.3858627e+07	4.3931764e-01	-2.3800177e+01
1.5661143e+07	4.2643480e-01	-2.5956435e+01
1.7698103e+07	4.1919224e-01	-2.8192814e+01
2.0000000e+07	4.0708582e-01	-3.0763674e+01
