21-Sep-2023 18:39:34 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	6.4629213e-01	-9.4080808e-01
6.3852298e+04	6.4626703e-01	-9.7451865e-01
7.2157221e+04	6.4092905e-01	-1.0602376e+00
8.1542320e+04	6.4297185e-01	-1.1104366e+00
9.2148088e+04	6.4605195e-01	-1.1659053e+00
1.0413329e+05	6.4463303e-01	-1.2383574e+00
1.1767734e+05	6.4284236e-01	-1.2930125e+00
1.3298300e+05	6.3864026e-01	-1.3626623e+00
1.5027938e+05	6.3601145e-01	-1.4659596e+00
1.6982540e+05	6.3755105e-01	-1.5392249e+00
1.9191367e+05	6.3477305e-01	-1.6199884e+00
2.1687485e+05	6.3614861e-01	-1.7675520e+00
2.4508258e+05	6.3471433e-01	-1.8786780e+00
2.7695915e+05	6.3157458e-01	-1.9821099e+00
3.1298173e+05	6.2855670e-01	-2.0611885e+00
3.5368956e+05	6.2760240e-01	-2.0671581e+00
3.9969205e+05	6.2677549e-01	-2.4030198e+00
4.5167783e+05	6.2376537e-01	-2.5806488e+00
5.1042512e+05	6.2170273e-01	-2.7923884e+00
5.7681335e+05	6.2086471e-01	-3.0189398e+00
6.5183634e+05	6.2025806e-01	-3.3063649e+00
7.3661717e+05	6.0739566e-01	-3.5949040e+00
8.3242498e+05	6.1210819e-01	-3.8450713e+00
9.4069399e+05	6.2025656e-01	-4.1948798e+00
1.0630450e+06	6.1608817e-01	-4.5202783e+00
1.2013095e+06	6.0949077e-01	-4.9187142e+00
1.3575573e+06	6.1008073e-01	-5.3726876e+00
1.5341274e+06	6.0887373e-01	-5.8444371e+00
1.7336631e+06	6.0788663e-01	-6.3743773e+00
1.9591512e+06	6.0714692e-01	-6.8838751e+00
2.2139674e+06	5.9690553e-01	-7.5052112e+00
2.5019262e+06	5.9537080e-01	-8.1530921e+00
2.8273382e+06	5.8970812e-01	-8.9086536e+00
3.1950747e+06	5.8838364e-01	-9.6492621e+00
3.6106408e+06	5.8204983e-01	-1.0458170e+01
4.0802573e+06	5.7521221e-01	-1.1453162e+01
4.6109543e+06	5.6727627e-01	-1.2547813e+01
5.2106761e+06	5.5889105e-01	-1.3776701e+01
5.8884005e+06	5.4687930e-01	-1.5040236e+01
6.6542729e+06	5.4401349e-01	-1.6114504e+01
7.5197582e+06	5.3946034e-01	-1.7592053e+01
8.4978124e+06	5.3217794e-01	-1.9132445e+01
9.6030769e+06	5.2123131e-01	-2.0852841e+01
1.0852097e+07	5.1532589e-01	-2.2684993e+01
1.2263571e+07	5.0240854e-01	-2.4653709e+01
1.3858627e+07	4.9024174e-01	-2.6501505e+01
1.5661143e+07	4.7593470e-01	-2.8611214e+01
