21-Sep-2023 19:12:13 PM	
Frequency (Hz)	R (volts rms)	Theta (degree)
5.0000000e+04	2.1419166e-02	-1.7498425e+02
5.6503229e+04	2.0040970e-02	1.7869768e+02
6.3852298e+04	2.0063640e-02	1.7842239e+02
7.2157221e+04	2.0083836e-02	1.7817969e+02
8.1542320e+04	2.0099587e-02	1.7790830e+02
9.2148088e+04	2.0118492e-02	1.7763842e+02
1.0413329e+05	2.0136172e-02	1.7736590e+02
1.1767734e+05	2.0145691e-02	1.7707619e+02
1.3298300e+05	2.0154648e-02	1.7676017e+02
1.5027938e+05	2.0165796e-02	1.7639897e+02
1.6982540e+05	2.0155926e-02	1.7603496e+02
1.9191367e+05	2.0148472e-02	1.7554846e+02
2.1687485e+05	2.0137380e-02	1.7546023e+02
2.4508258e+05	2.0117526e-02	1.7497013e+02
2.7695915e+05	2.0098975e-02	1.7478361e+02
3.1298173e+05	2.0083438e-02	1.7415299e+02
3.5368956e+05	2.0066423e-02	1.7350317e+02
3.9969205e+05	2.0038465e-02	1.7283030e+02
4.5167783e+05	2.0004044e-02	1.7214380e+02
5.1042512e+05	1.9959429e-02	1.7140581e+02
5.7681335e+05	1.9910166e-02	1.7063307e+02
6.5183634e+05	1.9848922e-02	1.6985546e+02
7.3661717e+05	1.9786618e-02	1.6905242e+02
8.3242498e+05	1.9712126e-02	1.6812203e+02
9.4069399e+05	1.9616858e-02	1.6706941e+02
1.0630450e+06	1.9511054e-02	1.6595719e+02
1.2013095e+06	1.9380882e-02	1.6477270e+02
1.3575573e+06	1.9255609e-02	1.6347182e+02
1.5341274e+06	1.9160435e-02	1.6196076e+02
1.7336631e+06	1.9068561e-02	1.6003883e+02
1.9591512e+06	1.8977211e-02	1.5769763e+02
2.2139674e+06	1.8882777e-02	1.5499210e+02
2.5019262e+06	1.8794415e-02	1.5198443e+02
2.8273382e+06	1.8718063e-02	1.4862910e+02
3.1950747e+06	1.8656960e-02	1.4488902e+02
3.6106408e+06	1.8603958e-02	1.4063425e+02
4.0802573e+06	1.8541286e-02	1.3578978e+02
4.6109543e+06	1.8465193e-02	1.3016635e+02
5.2106761e+06	1.8203339e-02	1.2365431e+02
5.8884005e+06	1.7815532e-02	1.1734077e+02
6.6542729e+06	1.7771316e-02	1.1121177e+02
7.5197582e+06	1.7752797e-02	1.0386523e+02
8.4978124e+06	1.7742689e-02	9.5160029e+01
9.6030769e+06	1.7719601e-02	8.4925027e+01
1.0852097e+07	1.7627677e-02	7.3105584e+01
1.2263571e+07	1.7526519e-02	5.9279193e+01
1.3858627e+07	1.7379467e-02	4.2490902e+01
1.5661143e+07	1.7098087e-02	2.2047678e+01
1.7698103e+07	1.6678881e-02	-2.8573812e+00
2.0000000e+07	1.6140810e-02	-3.3129428e+01
