21-Sep-2023 18:38:24 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	6.5295429e-01	-9.1731278e-01
6.3852298e+04	6.4837068e-01	-9.6729319e-01
7.2157221e+04	6.5074461e-01	-1.0103562e+00
8.1542320e+04	6.4963033e-01	-1.0699173e+00
9.2148088e+04	6.5215594e-01	-1.1168642e+00
1.0413329e+05	6.5226688e-01	-1.1907538e+00
1.1767734e+05	6.4800568e-01	-1.2597871e+00
1.3298300e+05	6.5139385e-01	-1.3240869e+00
1.5027938e+05	6.4969254e-01	-1.4166993e+00
1.6982540e+05	6.4895729e-01	-1.5395412e+00
1.9191367e+05	6.4109599e-01	-1.6321156e+00
2.1687485e+05	6.4454239e-01	-1.7463157e+00
2.4508258e+05	6.4558783e-01	-1.8429364e+00
2.7695915e+05	6.4166306e-01	-1.9755635e+00
3.1298173e+05	6.3894776e-01	-2.1115858e+00
3.5368956e+05	6.4122653e-01	-2.2757973e+00
3.9969205e+05	6.3869413e-01	-2.4452701e+00
4.5167783e+05	6.3715969e-01	-2.6450545e+00
5.1042512e+05	6.3691748e-01	-2.8137348e+00
5.7681335e+05	6.3264350e-01	-3.0580705e+00
6.5183634e+05	6.3157362e-01	-3.3032162e+00
7.3661717e+05	6.3074703e-01	-3.5796091e+00
8.3242498e+05	6.2691705e-01	-3.8822407e+00
9.4069399e+05	6.2698375e-01	-4.1928622e+00
1.0630450e+06	6.2428233e-01	-4.5615786e+00
1.2013095e+06	6.2310830e-01	-4.9253447e+00
1.3575573e+06	6.1711293e-01	-5.4108861e+00
1.5341274e+06	6.1774276e-01	-5.8373930e+00
1.7336631e+06	6.1323446e-01	-6.4175041e+00
1.9591512e+06	6.1361189e-01	-6.9088675e+00
2.2139674e+06	6.0915498e-01	-7.5273906e+00
2.5019262e+06	6.0349940e-01	-8.2093265e+00
2.8273382e+06	5.9979958e-01	-8.9513922e+00
3.1950747e+06	5.9600025e-01	-9.7439761e+00
3.6106408e+06	5.9179950e-01	-1.0593795e+01
4.0802573e+06	5.8611918e-01	-1.1524983e+01
4.6109543e+06	5.7672825e-01	-1.2683311e+01
5.2106761e+06	5.7362926e-01	-1.3822896e+01
5.8884005e+06	5.6526965e-01	-1.5016940e+01
6.6542729e+06	5.5981045e-01	-1.6265638e+01
7.5197582e+06	5.4890225e-01	-1.7775368e+01
8.4978124e+06	5.4135347e-01	-1.9311515e+01
9.6030769e+06	5.3148188e-01	-2.0932434e+01
1.0852097e+07	5.1604550e-01	-2.2909867e+01
1.2263571e+07	5.0642574e-01	-2.4720567e+01
1.3858627e+07	4.9429890e-01	-2.6798093e+01
1.5661143e+07	4.7880042e-01	-2.8949884e+01
