21-Sep-2023 18:38:59 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	6.2944308e-01	-9.8704176e-01
6.3852298e+04	6.2867175e-01	-1.0044002e+00
7.2157221e+04	6.2731328e-01	-1.0567020e+00
8.1542320e+04	6.2541931e-01	-1.1487735e+00
9.2148088e+04	6.2690351e-01	-1.1620299e+00
1.0413329e+05	6.1785188e-01	-1.2438962e+00
1.1767734e+05	6.2013948e-01	-1.3039040e+00
1.3298300e+05	6.2145971e-01	-1.3515217e+00
1.5027938e+05	6.2253047e-01	-1.4642822e+00
1.6982540e+05	6.2182652e-01	-1.5938476e+00
1.9191367e+05	6.1926104e-01	-1.6669239e+00
2.1687485e+05	6.1876218e-01	-1.7292998e+00
2.4508258e+05	6.1407396e-01	-1.8862492e+00
2.7695915e+05	6.1600936e-01	-1.9320274e+00
3.1298173e+05	6.0890204e-01	-2.0674930e+00
3.5368956e+05	6.1397259e-01	-2.0471536e+00
3.9969205e+05	6.1379241e-01	-2.4130523e+00
4.5167783e+05	6.1236429e-01	-2.6152881e+00
5.1042512e+05	6.1168084e-01	-2.8084846e+00
5.7681335e+05	6.0905740e-01	-3.0148682e+00
6.5183634e+05	6.0701948e-01	-3.3015639e+00
7.3661717e+05	6.0275898e-01	-3.5827733e+00
8.3242498e+05	6.0167375e-01	-3.8533989e+00
9.4069399e+05	5.9914218e-01	-4.2016828e+00
1.0630450e+06	5.9870181e-01	-4.5494147e+00
1.2013095e+06	5.8713686e-01	-4.9925505e+00
1.3575573e+06	5.9437767e-01	-5.4035376e+00
1.5341274e+06	5.9475571e-01	-5.8450118e+00
1.7336631e+06	5.9055297e-01	-6.3419514e+00
1.9591512e+06	5.8503183e-01	-6.9373896e+00
2.2139674e+06	5.8292851e-01	-7.5065686e+00
2.5019262e+06	5.7873511e-01	-8.1582740e+00
2.8273382e+06	5.7518486e-01	-8.9016978e+00
3.1950747e+06	5.6816652e-01	-9.7303085e+00
3.6106408e+06	5.6601084e-01	-1.0557336e+01
4.0802573e+06	5.6038406e-01	-1.1519275e+01
4.6109543e+06	5.5666662e-01	-1.2624099e+01
5.2106761e+06	5.5465033e-01	-1.3757987e+01
5.8884005e+06	5.4727341e-01	-1.5002762e+01
6.6542729e+06	5.4190404e-01	-1.6126566e+01
7.5197582e+06	5.2912827e-01	-1.7580031e+01
8.4978124e+06	5.2168474e-01	-1.9215635e+01
9.6030769e+06	5.0798020e-01	-2.0892384e+01
1.0852097e+07	5.0135052e-01	-2.2624406e+01
1.2263571e+07	4.8891478e-01	-2.4623442e+01
1.3858627e+07	4.7397464e-01	-2.6517553e+01
1.5661143e+07	4.6162043e-01	-2.8598034e+01
