21-Sep-2023 20:18:29 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4968468e+01	2.5631209e-02	-6.6498040e+01	1.9038314e-02	-8.5020835e+01	1.2911757e-02	-1.0708290e+02	8.8562472e-03	-1.3772519e+02	4.8742236e-03	-1.7980055e+02	2.2410429e-04	-1.0636828e+02
-1.4668468e+01	2.5960664e-02	-6.5950949e+01	1.9636646e-02	-8.4511908e+01	1.3598913e-02	-1.0703947e+02	8.7145209e-03	-1.4123244e+02	4.0861100e-03	-1.7686281e+02	1.1011150e-03	-7.4869652e+01
-1.4368468e+01	2.8494945e-02	-6.3850144e+01	2.1284246e-02	-8.1250478e+01	1.4057834e-02	-1.0389659e+02	9.7369217e-03	-1.3672557e+02	4.8481907e-03	-1.7326256e+02	1.6353627e-03	-6.5803355e+01
-1.4068468e+01	2.9179655e-02	-6.3251891e+01	2.1715938e-02	-8.0343920e+01	1.5790712e-02	-1.0388179e+02	9.8378558e-03	-1.3157805e+02	5.2888752e-03	-1.6206922e+02	2.2467223e-03	-1.6543739e+02
-1.3768468e+01	2.9728907e-02	-6.1401613e+01	2.2763385e-02	-7.9478668e+01	1.6047332e-02	-9.9967649e+01	1.1068732e-02	-1.2972075e+02	5.7388937e-03	-1.6230937e+02	1.9106992e-03	-8.8281828e+01
-1.3468468e+01	3.1443910e-02	-6.1046739e+01	2.3744264e-02	-7.7104838e+01	1.7018714e-02	-1.0032872e+02	1.0816082e-02	-1.2602026e+02	6.5969770e-03	-1.6421559e+02	1.0891934e-03	-1.4333187e+02
-1.3168468e+01	3.2249849e-02	-5.9651134e+01	2.5227052e-02	-7.5648231e+01	1.7812062e-02	-9.8843720e+01	1.1726079e-02	-1.2196867e+02	5.9606670e-03	-1.6435614e+02	1.1116337e-03	4.8964914e+00
-1.2868468e+01	3.3972649e-02	-5.8175319e+01	2.6421546e-02	-7.5169127e+01	1.8228409e-02	-9.7191871e+01	1.3016666e-02	-1.1935482e+02	7.7696815e-03	-1.5722448e+02	1.3867052e-03	-5.3533722e+01
-1.2568468e+01	3.5320565e-02	-5.7382378e+01	2.7684356e-02	-7.3836650e+01	1.9922444e-02	-9.3622696e+01	1.2712110e-02	-1.2142417e+02	7.6900332e-03	-1.5719244e+02	1.2606546e-03	-1.7927381e+02
-1.2268468e+01	3.6725010e-02	-5.6025685e+01	2.9153243e-02	-7.1557639e+01	2.0482279e-02	-9.3540964e+01	1.3597346e-02	-1.1693089e+02	7.8648646e-03	-1.5525963e+02	2.4944013e-03	-4.0383151e+01
-1.1968468e+01	3.8918393e-02	-5.4324127e+01	3.0584248e-02	-7.0051132e+01	2.2669161e-02	-8.9523194e+01	1.5416254e-02	-1.1475417e+02	9.1408603e-03	-1.4520600e+02	1.0629433e-03	-9.5417345e+01
-1.1668468e+01	4.0728129e-02	-5.3113786e+01	3.2181379e-02	-6.8462457e+01	2.3856418e-02	-8.6352796e+01	1.5617243e-02	-1.1172273e+02	1.0018414e-02	-1.4522542e+02	6.9838413e-04	-1.5604739e+02
-1.1368468e+01	4.3226294e-02	-5.1858051e+01	3.4297309e-02	-6.6852903e+01	2.6532475e-02	-8.4952176e+01	1.7624216e-02	-1.1083639e+02	1.0292629e-02	-1.4008153e+02	1.5327092e-04	-1.0685064e+02
-1.1068468e+01	4.4130504e-02	-5.1684924e+01	3.5255961e-02	-6.6227956e+01	2.6123967e-02	-8.2800473e+01	1.8455485e-02	-1.0930423e+02	1.0674439e-02	-1.3851764e+02	1.3170038e-03	-2.7341825e+01
-1.0768468e+01	4.6463816e-02	-4.9977045e+01	3.7275045e-02	-6.4039015e+01	2.8691444e-02	-8.1177026e+01	1.9544551e-02	-1.0561431e+02	1.2238443e-02	-1.3436264e+02	3.3342748e-04	-2.8278106e+01
-1.0468468e+01	4.8085890e-02	-4.8946043e+01	3.8672312e-02	-6.2766160e+01	2.9566441e-02	-7.9648611e+01	2.0869912e-02	-1.0389246e+02	1.3558523e-02	-1.3433204e+02	1.3268769e-03	-1.1105378e+02
-1.0168468e+01	5.0819046e-02	-4.7722297e+01	4.1275017e-02	-6.0547249e+01	3.1623387e-02	-7.8662045e+01	2.2238238e-02	-1.0340650e+02	1.4088847e-02	-1.2767443e+02	1.6484505e-03	1.6499017e+00
