21-Sep-2023 18:7:31 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	7.4034165e-01	-1.3276641e+00
6.3852298e+04	7.3927356e-01	-1.3050069e+00
7.2157221e+04	7.3981790e-01	-1.3609581e+00
8.1542320e+04	7.3766562e-01	-1.4676315e+00
9.2148088e+04	7.3681510e-01	-1.5360583e+00
1.0413329e+05	7.3541864e-01	-1.6317504e+00
1.1767734e+05	7.3377202e-01	-1.7292059e+00
1.3298300e+05	7.3254848e-01	-1.8212003e+00
1.5027938e+05	7.3125739e-01	-1.9517465e+00
1.6982540e+05	7.2994558e-01	-2.0556249e+00
1.9191367e+05	7.2883235e-01	-2.1913136e+00
2.1687485e+05	7.2807344e-01	-2.3529324e+00
2.4508258e+05	7.2405706e-01	-2.4773275e+00
2.7695915e+05	7.2298468e-01	-2.6769526e+00
3.1298173e+05	7.1956775e-01	-2.8568875e+00
3.5368956e+05	7.1731347e-01	-3.0700732e+00
3.9969205e+05	7.1910200e-01	-3.3009815e+00
4.5167783e+05	7.1525451e-01	-3.4852610e+00
5.1042512e+05	7.1409802e-01	-3.7620724e+00
5.7681335e+05	7.1118164e-01	-4.0237579e+00
6.5183634e+05	7.0676083e-01	-4.3449648e+00
7.3661717e+05	7.0989723e-01	-4.6798754e+00
8.3242498e+05	7.0580905e-01	-5.0266849e+00
9.4069399e+05	7.0244023e-01	-5.4368058e+00
1.0630450e+06	7.0004148e-01	-5.8418333e+00
1.2013095e+06	6.9600524e-01	-6.2986058e+00
1.3575573e+06	6.9222902e-01	-6.7924678e+00
1.5341274e+06	6.8614433e-01	-7.3509706e+00
1.7336631e+06	6.8005871e-01	-7.9557001e+00
1.9591512e+06	6.7641717e-01	-8.5853624e+00
2.2139674e+06	6.7045297e-01	-9.2609971e+00
2.5019262e+06	6.6452573e-01	-1.0030582e+01
2.8273382e+06	6.5853358e-01	-1.0814700e+01
3.1950747e+06	6.4943964e-01	-1.1703579e+01
3.6106408e+06	6.4476285e-01	-1.2637602e+01
4.0802573e+06	6.3741779e-01	-1.3632089e+01
4.6109543e+06	6.2983989e-01	-1.4801113e+01
5.2106761e+06	6.2213892e-01	-1.6028825e+01
5.8884005e+06	6.1142296e-01	-1.7289320e+01
6.6542729e+06	6.0201736e-01	-1.8636535e+01
7.5197582e+06	5.8861762e-01	-2.0131991e+01
8.4978124e+06	5.7741965e-01	-2.1729639e+01
9.6030769e+06	5.6221933e-01	-2.3508464e+01
1.0852097e+07	5.4678248e-01	-2.5338920e+01
1.2263571e+07	5.3442662e-01	-2.7189796e+01
1.3858627e+07	5.1609337e-01	-2.9180438e+01
1.5661143e+07	5.0174059e-01	-3.1281012e+01
1.7698103e+07	4.8469616e-01	-3.3573128e+01
2.0000000e+07	4.6405442e-01	-3.6015126e+01
