21-Sep-2023 19:21:43 PM	
Frequency (Hz)	R (volts rms)	Theta (degree)
5.0000000e+04	2.1425233e-02	1.6334240e+02
5.6503229e+04	2.0044752e-02	1.7866246e+02
6.3852298e+04	2.0070036e-02	1.7845681e+02
7.2157221e+04	2.0093848e-02	1.7821476e+02
8.1542320e+04	2.0110930e-02	1.7794280e+02
9.2148088e+04	2.0128596e-02	1.7767897e+02
1.0413329e+05	2.0143224e-02	1.7740737e+02
1.1767734e+05	2.0160342e-02	1.7711170e+02
1.3298300e+05	2.0169436e-02	1.7679460e+02
1.5027938e+05	2.0179377e-02	1.7643888e+02
1.6982540e+05	2.0179110e-02	1.7607507e+02
1.9191367e+05	2.0169246e-02	1.7558389e+02
2.1687485e+05	2.0156823e-02	1.7547347e+02
2.4508258e+05	2.0139439e-02	1.7499917e+02
2.7695915e+05	2.0126174e-02	1.7474334e+02
3.1298173e+05	2.0135063e-02	1.7407976e+02
3.5368956e+05	2.0100165e-02	1.7331265e+02
3.9969205e+05	2.0066134e-02	1.7277950e+02
4.5167783e+05	2.0042143e-02	1.7209839e+02
5.1042512e+05	1.9995862e-02	1.7140468e+02
5.7681335e+05	1.9950032e-02	1.7059678e+02
6.5183634e+05	1.9889602e-02	1.6983798e+02
7.3661717e+05	1.9827387e-02	1.6902909e+02
8.3242498e+05	1.9749760e-02	1.6809552e+02
9.4069399e+05	1.9656168e-02	1.6704517e+02
1.0630450e+06	1.9548423e-02	1.6593686e+02
1.2013095e+06	1.9420387e-02	1.6475625e+02
1.3575573e+06	1.9300794e-02	1.6346697e+02
1.5341274e+06	1.9197740e-02	1.6191995e+02
1.7336631e+06	1.9107737e-02	1.6001145e+02
1.9591512e+06	1.9011623e-02	1.5767104e+02
2.2139674e+06	1.8920724e-02	1.5496972e+02
2.5019262e+06	1.8831503e-02	1.5195019e+02
2.8273382e+06	1.8752035e-02	1.4860160e+02
3.1950747e+06	1.8688079e-02	1.4486375e+02
3.6106408e+06	1.8634909e-02	1.4061362e+02
4.0802573e+06	1.8574512e-02	1.3576788e+02
4.6109543e+06	1.8502129e-02	1.3013248e+02
5.2106761e+06	1.8238072e-02	1.2362636e+02
5.8884005e+06	1.7857227e-02	1.1736017e+02
6.6542729e+06	1.7786125e-02	1.1113123e+02
7.5197582e+06	1.7779694e-02	1.0382714e+02
8.4978124e+06	1.7764276e-02	9.5114129e+01
9.6030769e+06	1.7746737e-02	8.4897663e+01
1.0852097e+07	1.7656324e-02	7.3082922e+01
1.2263571e+07	1.7555536e-02	5.9264745e+01
1.3858627e+07	1.7409784e-02	4.2468855e+01
1.5661143e+07	1.7129016e-02	2.2030137e+01
1.7698103e+07	1.6695733e-02	-2.8749156e+00
2.0000000e+07	1.6157995e-02	-3.3126966e+01
