21-Sep-2023 18:24:58 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	6.9221381e-01	-1.0830436e+00
6.3852298e+04	6.9035534e-01	-1.1890133e+00
7.2157221e+04	6.9171983e-01	-1.2757116e+00
8.1542320e+04	6.8704463e-01	-1.3574060e+00
9.2148088e+04	6.9098564e-01	-1.4239582e+00
1.0413329e+05	6.8770786e-01	-1.5067095e+00
1.1767734e+05	6.8754667e-01	-1.5752980e+00
1.3298300e+05	6.8822574e-01	-1.6748757e+00
1.5027938e+05	6.8728286e-01	-1.7566020e+00
1.6982540e+05	6.8282160e-01	-1.8625422e+00
1.9191367e+05	6.8382285e-01	-1.9663730e+00
2.1687485e+05	6.8371765e-01	-2.0967115e+00
2.4508258e+05	6.8051394e-01	-2.2468530e+00
2.7695915e+05	6.8196624e-01	-2.3335076e+00
3.1298173e+05	6.7874696e-01	-2.5077642e+00
3.5368956e+05	6.7293371e-01	-2.7304549e+00
3.9969205e+05	6.7418204e-01	-2.9166350e+00
4.5167783e+05	6.7054767e-01	-3.1469693e+00
5.1042512e+05	6.7147340e-01	-3.3762709e+00
5.7681335e+05	6.6759166e-01	-3.5951761e+00
6.5183634e+05	6.6330983e-01	-3.8719129e+00
7.3661717e+05	6.6141685e-01	-4.1712698e+00
8.3242498e+05	6.6188322e-01	-4.5278308e+00
9.4069399e+05	6.6031503e-01	-4.8307442e+00
1.0630450e+06	6.5676010e-01	-5.2050212e+00
1.2013095e+06	6.5457689e-01	-5.6960260e+00
1.3575573e+06	6.5083723e-01	-6.1703678e+00
1.5341274e+06	6.4530116e-01	-6.6271298e+00
1.7336631e+06	6.4425132e-01	-7.2214750e+00
1.9591512e+06	6.4057520e-01	-7.7968494e+00
2.2139674e+06	6.3219859e-01	-8.4721392e+00
2.5019262e+06	6.2538596e-01	-9.2408610e+00
2.8273382e+06	6.2427553e-01	-9.9723412e+00
3.1950747e+06	6.2030693e-01	-1.0786135e+01
3.6106408e+06	6.1459084e-01	-1.1695698e+01
4.0802573e+06	6.0807363e-01	-1.2674090e+01
4.6109543e+06	6.0375445e-01	-1.3804773e+01
5.2106761e+06	5.9440249e-01	-1.5003151e+01
5.8884005e+06	5.8544237e-01	-1.6288852e+01
6.6542729e+06	5.7592149e-01	-1.7622155e+01
7.5197582e+06	5.6589209e-01	-1.9092109e+01
8.4978124e+06	5.5595656e-01	-2.0674102e+01
9.6030769e+06	5.4169414e-01	-2.2414664e+01
1.0852097e+07	5.2940653e-01	-2.4234871e+01
1.2263571e+07	5.1571164e-01	-2.6150457e+01
1.3858627e+07	4.9999394e-01	-2.8147062e+01
1.5661143e+07	4.8488990e-01	-3.0240318e+01
1.7698103e+07	4.7075107e-01	-3.2483122e+01
