21-Sep-2023 20:3:50 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	8.0259777e-01	-1.4967159e+00
6.3852298e+04	8.0080113e-01	-1.5421036e+00
7.2157221e+04	8.0544394e-01	-1.6165565e+00
8.1542320e+04	8.0421623e-01	-1.7291992e+00
9.2148088e+04	8.0615964e-01	-1.8075797e+00
1.0413329e+05	8.0633282e-01	-1.9318598e+00
1.1767734e+05	7.9546216e-01	-2.0454997e+00
1.3298300e+05	7.8599140e-01	-2.1852845e+00
1.5027938e+05	7.9857394e-01	-2.3023394e+00
1.6982540e+05	7.8922110e-01	-2.4396444e+00
1.9191367e+05	7.9341228e-01	-2.6125802e+00
2.1687485e+05	7.8216032e-01	-2.8031099e+00
2.4508258e+05	7.7604750e-01	-2.9965304e+00
2.7695915e+05	7.7640048e-01	-3.1075191e+00
3.1298173e+05	7.7440196e-01	-3.2991736e+00
3.5368956e+05	7.6812039e-01	-3.4560390e+00
3.9969205e+05	7.6750236e-01	-3.8203002e+00
4.5167783e+05	7.6031342e-01	-4.0900261e+00
5.1042512e+05	7.6851309e-01	-4.4116381e+00
5.7681335e+05	7.6565868e-01	-4.6900512e+00
6.5183634e+05	7.6044290e-01	-5.0908923e+00
7.3661717e+05	7.5556702e-01	-5.4592705e+00
8.3242498e+05	7.5261870e-01	-5.8715051e+00
9.4069399e+05	7.5340646e-01	-6.2539975e+00
1.0630450e+06	7.5247789e-01	-6.7135181e+00
1.2013095e+06	7.4026014e-01	-7.2443216e+00
1.3575573e+06	7.3455876e-01	-7.8342500e+00
1.5341274e+06	7.2680358e-01	-8.4276594e+00
1.7336631e+06	7.2077500e-01	-9.0111798e+00
1.9591512e+06	7.1855312e-01	-9.7715473e+00
2.2139674e+06	7.0691613e-01	-1.0488566e+01
2.5019262e+06	7.0234053e-01	-1.1234918e+01
2.8273382e+06	6.9689969e-01	-1.2125071e+01
3.1950747e+06	6.8931788e-01	-1.3083149e+01
3.6106408e+06	6.7994900e-01	-1.4119062e+01
4.0802573e+06	6.6803840e-01	-1.5248580e+01
4.6109543e+06	6.6102236e-01	-1.6407831e+01
5.2106761e+06	6.5179455e-01	-1.7605353e+01
5.8884005e+06	6.3906618e-01	-1.8998849e+01
6.6542729e+06	6.2480753e-01	-2.0344415e+01
7.5197582e+06	6.1101277e-01	-2.1904076e+01
8.4978124e+06	5.9678144e-01	-2.3565197e+01
9.6030769e+06	5.7699547e-01	-2.5397825e+01
1.0852097e+07	5.6530298e-01	-2.7164115e+01
1.2263571e+07	5.5189146e-01	-2.8961376e+01
1.3858627e+07	5.3291632e-01	-3.1037211e+01
1.5661143e+07	5.1270227e-01	-3.3188039e+01
