21-Sep-2023 19:25:58 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4938438e+01	1.8834487e-02	-3.4099628e+01	1.6259179e-02	-4.4171775e+01	1.3518721e-02	-5.7681593e+01	1.0774913e-02	-7.2030564e+01	7.8021269e-03	-9.2587537e+01	1.0709703e-03	-2.6670099e+01
-1.4638438e+01	1.9603915e-02	-3.3297380e+01	1.7230715e-02	-4.2955721e+01	1.3661816e-02	-5.4676782e+01	1.1463817e-02	-7.3689469e+01	7.9060306e-03	-9.8029508e+01	1.1247439e-03	-6.0650676e+01
-1.4338438e+01	2.0600040e-02	-3.2586239e+01	1.7540805e-02	-4.2372570e+01	1.5106236e-02	-5.4292445e+01	1.2185282e-02	-7.2835945e+01	8.5930030e-03	-9.6593268e+01	1.1262120e-03	-1.5530201e+02
-1.4038438e+01	2.1049147e-02	-3.1586563e+01	1.7974108e-02	-3.9768673e+01	1.5180931e-02	-5.5337181e+01	1.2132273e-02	-7.0700869e+01	9.0417653e-03	-9.5650029e+01	1.4973411e-03	-3.3556325e+01
-1.3738438e+01	2.1280801e-02	-3.0916909e+01	1.8506980e-02	-3.9631396e+01	1.6324595e-02	-5.2379550e+01	1.3673488e-02	-6.8985144e+01	9.4330895e-03	-8.8219696e+01	1.9625705e-03	-1.0614379e+02
-1.3438438e+01	2.2072565e-02	-3.0450388e+01	1.9915131e-02	-3.9159865e+01	1.6059302e-02	-5.3590190e+01	1.2780380e-02	-6.7752328e+01	1.0524836e-02	-8.8307229e+01	4.7610650e-04	-1.3634634e+02
-1.3138438e+01	2.2364079e-02	-2.9056464e+01	2.0123791e-02	-3.7918405e+01	1.6752948e-02	-5.1282110e+01	1.3633885e-02	-6.4137167e+01	1.0524338e-02	-9.3432216e+01	3.3361569e-03	-3.8250359e+01
-1.2838438e+01	2.3282214e-02	-2.9451839e+01	2.0539784e-02	-3.7984317e+01	1.7894419e-02	-5.0397832e+01	1.3918678e-02	-5.8999148e+01	1.0820594e-02	-8.5378347e+01	1.6893831e-03	1.3585586e+01
-1.2538438e+01	2.4091316e-02	-2.7637471e+01	2.1329955e-02	-3.7594442e+01	1.8776672e-02	-4.9012221e+01	1.5233574e-02	-6.3810910e+01	1.1303639e-02	-8.5037586e+01	2.2184134e-03	-1.9624366e+01
-1.2238438e+01	2.5409749e-02	-2.8005721e+01	2.2612341e-02	-3.6149303e+01	1.9273032e-02	-4.5477370e+01	1.6055663e-02	-6.2538326e+01	1.1682727e-02	-8.4802248e+01	2.2344839e-03	-3.9605068e+01
-1.1938438e+01	2.5983371e-02	-2.7034957e+01	2.2941088e-02	-3.5945046e+01	1.9740951e-02	-4.5588524e+01	1.6210380e-02	-6.2611294e+01	1.2613379e-02	-8.4150532e+01	2.7666303e-03	1.0896089e+01
-1.1638438e+01	2.7350058e-02	-2.7133657e+01	2.4372666e-02	-3.4471554e+01	2.1141914e-02	-4.4306243e+01	1.7382333e-02	-5.8739869e+01	1.4199640e-02	-8.2985134e+01	1.5425979e-03	-5.7548596e+01
-1.1338438e+01	2.8060516e-02	-2.5745305e+01	2.5646594e-02	-3.3357453e+01	2.1943099e-02	-4.5515178e+01	1.7784553e-02	-5.6570214e+01	1.5044467e-02	-7.7236922e+01	7.3598217e-04	-1.2422123e+01
-1.1038438e+01	2.9031253e-02	-2.4628861e+01	2.6539888e-02	-3.3664099e+01	2.3873046e-02	-4.3101521e+01	1.9418937e-02	-5.7209609e+01	1.5134415e-02	-7.7216303e+01	1.6252946e-03	-1.4316273e+02
-1.0738438e+01	3.0694522e-02	-2.4999517e+01	2.7446624e-02	-3.2669662e+01	2.3196481e-02	-4.1679988e+01	2.0163584e-02	-5.4579393e+01	1.6430593e-02	-7.5402545e+01	1.7450700e-03	-1.4762873e+02
-1.0438438e+01	3.1198037e-02	-2.3955821e+01	2.8882614e-02	-3.1465787e+01	2.4848201e-02	-4.2440512e+01	2.1100621e-02	-5.6428099e+01	1.8094489e-02	-7.3268606e+01	3.4886178e-03	-1.1723885e+02
-1.0138438e+01	3.3041925e-02	-2.3713609e+01	3.0006508e-02	-3.1477129e+01	2.6360004e-02	-4.1806368e+01	2.2153602e-02	-5.5503228e+01	1.7743949e-02	-7.7088070e+01	1.1390585e-03	-1.3499320e+02
