21-Sep-2023 19:22:44 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.3326123e-01	-5.6277429e-01
6.3852298e+04	5.3431211e-01	-6.0882705e-01
7.2157221e+04	5.3946073e-01	-7.1987211e-01
8.1542320e+04	5.3451607e-01	-7.0734189e-01
9.2148088e+04	5.3389561e-01	-7.8710816e-01
1.0413329e+05	5.3701152e-01	-8.2162499e-01
1.1767734e+05	5.3246968e-01	-8.7793691e-01
1.3298300e+05	5.2562121e-01	-9.2807782e-01
1.5027938e+05	5.3498945e-01	-9.7506636e-01
1.6982540e+05	5.3552258e-01	-1.0774612e+00
1.9191367e+05	5.3710822e-01	-1.1396550e+00
2.1687485e+05	5.2796542e-01	-1.2108484e+00
2.4508258e+05	5.3032222e-01	-1.2882966e+00
2.7695915e+05	5.3331647e-01	-1.4163168e+00
3.1298173e+05	5.3271480e-01	-1.4883872e+00
3.5368956e+05	5.2747874e-01	-1.6648620e+00
3.9969205e+05	5.2705543e-01	-1.7886684e+00
4.5167783e+05	5.2867751e-01	-1.9020010e+00
5.1042512e+05	5.2686320e-01	-2.0644060e+00
5.7681335e+05	5.2707302e-01	-2.2501798e+00
6.5183634e+05	5.2361386e-01	-2.4809555e+00
7.3661717e+05	5.2745129e-01	-2.6794339e+00
8.3242498e+05	5.2423518e-01	-2.9134304e+00
9.4069399e+05	5.2364753e-01	-3.1361826e+00
1.0630450e+06	5.2311152e-01	-3.4475866e+00
1.2013095e+06	5.2007187e-01	-3.7735331e+00
1.3575573e+06	5.1376950e-01	-4.1640920e+00
1.5341274e+06	5.1507693e-01	-4.5443792e+00
1.7336631e+06	5.1911177e-01	-4.9927995e+00
1.9591512e+06	5.1284273e-01	-5.4962784e+00
2.2139674e+06	5.0410941e-01	-6.0401134e+00
2.5019262e+06	5.0716624e-01	-6.5949984e+00
2.8273382e+06	5.0002083e-01	-7.2426485e+00
3.1950747e+06	4.9637890e-01	-7.8861059e+00
3.6106408e+06	4.9523883e-01	-8.6348119e+00
4.0802573e+06	4.9368473e-01	-9.4472316e+00
4.6109543e+06	4.8962100e-01	-1.0517283e+01
5.2106761e+06	4.8790029e-01	-1.1595743e+01
5.8884005e+06	4.7659872e-01	-1.2763559e+01
6.6542729e+06	4.7815041e-01	-1.3890340e+01
7.5197582e+06	4.7050686e-01	-1.5280697e+01
8.4978124e+06	4.6461411e-01	-1.6778922e+01
9.6030769e+06	4.5784949e-01	-1.8345010e+01
1.0852097e+07	4.4818671e-01	-2.0219800e+01
1.2263571e+07	4.4328168e-01	-2.1965305e+01
1.3858627e+07	4.3927853e-01	-2.3771998e+01
1.5661143e+07	4.2987577e-01	-2.6008549e+01
1.7698103e+07	4.1825095e-01	-2.8313906e+01
2.0000000e+07	4.0656084e-01	-3.0868579e+01
