21-Sep-2023 19:59:46 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.5069069e+01	2.5144122e-02	-6.1546889e+01	1.9070957e-02	-7.8570512e+01	1.3532222e-02	-1.0107121e+02	8.7630500e-03	-1.2809913e+02	4.6726590e-03	-1.6740029e+02	7.8448751e-04	-1.7078173e+02
-1.4769069e+01	2.6775726e-02	-5.9917207e+01	2.0100564e-02	-7.6074349e+01	1.4069512e-02	-9.8307491e+01	9.4604847e-03	-1.2508660e+02	5.5691203e-03	-1.5965270e+02	9.0559070e-04	-1.2796371e+02
-1.4469069e+01	2.6872889e-02	-5.8457442e+01	2.1343899e-02	-7.5245852e+01	1.4177977e-02	-9.2474284e+01	1.0277579e-02	-1.2501717e+02	4.8491237e-03	-1.6283067e+02	1.5663219e-03	-3.4861055e+01
-1.4169069e+01	2.8032893e-02	-5.7195103e+01	2.1856348e-02	-7.3686414e+01	1.5535544e-02	-9.2224068e+01	9.7693408e-03	-1.2395461e+02	6.5899291e-03	-1.5088177e+02	2.8778915e-03	1.5725150e+01
-1.3869069e+01	2.8984827e-02	-5.7567566e+01	2.2630800e-02	-7.2621966e+01	1.6830343e-02	-9.2027665e+01	1.0925374e-02	-1.1922322e+02	6.7555756e-03	-1.5682207e+02	6.4854411e-04	-1.0536071e+02
-1.3569069e+01	2.9714207e-02	-5.5776486e+01	2.3613479e-02	-7.0755530e+01	1.6800119e-02	-9.2544738e+01	1.1429146e-02	-1.1856127e+02	6.0975048e-03	-1.5408527e+02	3.7334091e-03	-6.1212203e+01
-1.3269069e+01	3.1887346e-02	-5.3468665e+01	2.5539651e-02	-6.9180403e+01	1.8635604e-02	-8.7880581e+01	1.2775333e-02	-1.1214592e+02	7.0241884e-03	-1.4656097e+02	8.8545660e-04	-3.7336634e+01
-1.2969069e+01	3.3130229e-02	-5.3242748e+01	2.6226163e-02	-6.7150223e+01	1.9070730e-02	-8.5815984e+01	1.3136492e-02	-1.1100199e+02	8.1143329e-03	-1.3639521e+02	8.2934106e-04	-8.4860469e+01
-1.2669069e+01	3.4655956e-02	-5.1727708e+01	2.7906094e-02	-6.5729192e+01	2.0545134e-02	-8.4052594e+01	1.4468447e-02	-1.0959186e+02	7.5078302e-03	-1.4271803e+02	1.3303589e-03	-4.5739537e+01
-1.2369069e+01	3.5871482e-02	-5.0869791e+01	2.8755624e-02	-6.4794601e+01	2.2085069e-02	-8.1417216e+01	1.4938154e-02	-1.0786000e+02	9.4267253e-03	-1.3551001e+02	3.9056412e-04	-1.1436414e+02
-1.2069069e+01	3.7734546e-02	-4.9884737e+01	3.0379875e-02	-6.3692271e+01	2.3241048e-02	-8.2574942e+01	1.5562357e-02	-1.0386780e+02	1.0548397e-02	-1.3150567e+02	8.1297045e-04	-3.7698462e+00
-1.1769069e+01	3.8884955e-02	-4.8390191e+01	3.1980248e-02	-6.2100929e+01	2.4129759e-02	-8.1754608e+01	1.6733564e-02	-1.0242669e+02	1.0579093e-02	-1.3148337e+02	2.8046115e-03	-8.2667176e-01
-1.1469069e+01	4.1835768e-02	-4.7354024e+01	3.4213257e-02	-6.0650628e+01	2.5582308e-02	-7.8287744e+01	1.8955398e-02	-9.9182976e+01	1.2692412e-02	-1.2611843e+02	4.3810657e-04	-6.1455005e+01
-1.1169069e+01	4.3075687e-02	-4.5989053e+01	3.5302856e-02	-5.8901952e+01	2.6601336e-02	-7.7112318e+01	1.9036527e-02	-9.7423358e+01	1.2802061e-02	-1.2468050e+02	9.9100271e-04	-3.8856675e+01
-1.0869069e+01	4.4725241e-02	-4.4913637e+01	3.6889052e-02	-5.8200515e+01	2.8841601e-02	-7.4487315e+01	2.0945198e-02	-9.3922564e+01	1.2526951e-02	-1.2562972e+02	1.4760368e-03	-8.4786794e+01
-1.0569069e+01	4.7851331e-02	-4.4263060e+01	3.9294084e-02	-5.6392362e+01	3.1183272e-02	-7.2693333e+01	2.2138899e-02	-9.1795176e+01	1.4669850e-02	-1.1861754e+02	1.9581470e-03	-8.9290499e+01
-1.0269069e+01	4.9116926e-02	-4.2563258e+01	4.0950067e-02	-5.4745187e+01	3.2257393e-02	-7.1474020e+01	2.3537177e-02	-9.1659496e+01	1.5088299e-02	-1.1555001e+02	1.3735242e-03	-7.7219328e+01
-9.9690691e+00	5.2289341e-02	-4.1906327e+01	4.3244417e-02	-5.3471110e+01	3.3919252e-02	-6.8970577e+01	2.3992782e-02	-8.7633818e+01	1.7229063e-02	-1.1340355e+02	2.4240302e-03	-1.4409928e+01
-9.6690691e+00	5.5694043e-02	-4.0086285e+01	4.7025288e-02	-5.1896475e+01	3.6637539e-02	-6.7114153e+01	2.7340987e-02	-8.6847014e+01	1.9109919e-02	-1.0937852e+02	1.7004266e-03	-1.1872776e+02
-9.3690691e+00	5.8201764e-02	-3.9063525e+01	4.9309655e-02	-5.0495766e+01	3.8790579e-02	-6.5017737e+01	2.9248188e-02	-8.3346342e+01	2.1008746e-02	-1.0454177e+02	2.7203018e-03	-1.3102878e+02
-9.0690691e+00	6.1328431e-02	-3.8021343e+01	5.2051801e-02	-4.8701864e+01	4.1853305e-02	-6.4145085e+01	3.1081827e-02	-7.9086711e+01	2.2577595e-02	-1.0401443e+02	1.7462709e-03	-1.1456561e+02
-8.7690691e+00	6.5304733e-02	-3.6646055e+01	5.5828110e-02	-4.6740574e+01	4.5489444e-02	-5.9602500e+01	3.4821211e-02	-7.6228032e+01	2.4678442e-02	-9.9964763e+01	3.5173461e-04	-1.7357578e+01
-8.4690691e+00	6.9911289e-02	-3.4994519e+01	5.9830804e-02	-4.4606197e+01	4.9644163e-02	-5.7822894e+01	3.9115463e-02	-7.4318048e+01	2.6077618e-02	-9.5093003e+01	3.1218611e-03	-1.2690167e+02
-8.1690691e+00	7.3822170e-02	-3.3935691e+01	6.4109035e-02	-4.3453285e+01	5.3343455e-02	-5.5752948e+01	4.1627214e-02	-7.1308469e+01	2.9457536e-02	-9.0775103e+01	1.4176706e-03	-9.9275257e+00
-7.8690691e+00	7.7502408e-02	-3.3079668e+01	6.7594630e-02	-4.2189638e+01	5.5438552e-02	-5.3857520e+01	4.4067689e-02	-6.9989856e+01	3.2002994e-02	-8.8993546e+01	1.0446593e-03	-1.7168544e+02
-7.5690691e+00	8.3425101e-02	-3.1518027e+01	7.2760693e-02	-4.0497825e+01	6.0977141e-02	-5.1774759e+01	4.8038858e-02	-6.6632607e+01	3.4698098e-02	-8.5458310e+01	2.7355471e-03	-1.6329568e+02
