21-Sep-2023 18:55:6 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.7848903e-01	-7.8566218e-01
6.3852298e+04	5.7890282e-01	-7.8797869e-01
7.2157221e+04	5.7292255e-01	-8.2770336e-01
8.1542320e+04	5.7772938e-01	-8.9096321e-01
9.2148088e+04	5.7921087e-01	-9.5461940e-01
1.0413329e+05	5.7988214e-01	-1.0021302e+00
1.1767734e+05	5.7623268e-01	-1.0438518e+00
1.3298300e+05	5.7672268e-01	-1.1269783e+00
1.5027938e+05	5.7383816e-01	-1.2167570e+00
1.6982540e+05	5.7176053e-01	-1.3048401e+00
1.9191367e+05	5.7138042e-01	-1.3700311e+00
2.1687485e+05	5.7139130e-01	-1.4654641e+00
2.4508258e+05	5.7294796e-01	-1.5524603e+00
2.7695915e+05	5.7682894e-01	-1.6684582e+00
3.1298173e+05	5.7531194e-01	-1.8096241e+00
3.5368956e+05	5.7050034e-01	-1.9465268e+00
3.9969205e+05	5.6491989e-01	-2.1182019e+00
4.5167783e+05	5.6824725e-01	-2.2731647e+00
5.1042512e+05	5.6480852e-01	-2.4506765e+00
5.7681335e+05	5.6382270e-01	-2.6650644e+00
6.5183634e+05	5.6495788e-01	-2.8493893e+00
7.3661717e+05	5.5973247e-01	-3.0990510e+00
8.3242498e+05	5.5902045e-01	-3.3687592e+00
9.4069399e+05	5.5837020e-01	-3.6821120e+00
1.0630450e+06	5.5450772e-01	-3.9845721e+00
1.2013095e+06	5.5383526e-01	-4.3438103e+00
1.3575573e+06	5.5283024e-01	-4.7547782e+00
1.5341274e+06	5.5445398e-01	-5.2050889e+00
1.7336631e+06	5.5239152e-01	-5.6376230e+00
1.9591512e+06	5.4743553e-01	-6.1441030e+00
2.2139674e+06	5.4458876e-01	-6.7286639e+00
2.5019262e+06	5.4103347e-01	-7.3683049e+00
2.8273382e+06	5.4058528e-01	-8.0040959e+00
3.1950747e+06	5.3184090e-01	-8.7576269e+00
3.6106408e+06	5.3487665e-01	-9.4824287e+00
4.0802573e+06	5.3324687e-01	-1.0404899e+01
4.6109543e+06	5.2751745e-01	-1.1508029e+01
5.2106761e+06	5.1837412e-01	-1.2646512e+01
5.8884005e+06	5.1125050e-01	-1.3746279e+01
6.6542729e+06	5.0833607e-01	-1.4890786e+01
7.5197582e+06	5.0350803e-01	-1.6294734e+01
8.4978124e+06	4.9594619e-01	-1.7841212e+01
9.6030769e+06	4.8748986e-01	-1.9477569e+01
1.0852097e+07	4.7406439e-01	-2.1272625e+01
1.2263571e+07	4.6907423e-01	-2.3058203e+01
1.3858627e+07	4.5732986e-01	-2.5018021e+01
1.5661143e+07	4.4295758e-01	-2.7168340e+01
1.7698103e+07	4.3127128e-01	-2.9467169e+01
