21-Sep-2023 18:36:16 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.5004505e+01	2.2637137e-02	-4.2986176e+01	1.8651160e-02	-5.6257010e+01	1.4086342e-02	-6.8100010e+01	1.0752879e-02	-9.9030483e+01	6.7566080e-03	-1.1957032e+02	1.6969999e-03	-7.1557762e+01
-1.4704505e+01	2.2579491e-02	-4.3129080e+01	1.8736457e-02	-5.5767927e+01	1.4972042e-02	-7.2544268e+01	1.0573952e-02	-9.1163728e+01	7.1465021e-03	-1.2173905e+02	4.3416862e-04	-1.2571912e+02
-1.4404505e+01	2.3789814e-02	-4.2222406e+01	1.9250798e-02	-5.3596994e+01	1.6216210e-02	-7.0814863e+01	1.1400410e-02	-9.4935535e+01	7.2965098e-03	-1.1651595e+02	3.1576352e-03	-6.7330998e+01
-1.4104505e+01	2.4669600e-02	-4.0997665e+01	2.0414766e-02	-5.3732608e+01	1.5917664e-02	-6.6886674e+01	1.1740128e-02	-8.9289169e+01	8.2933258e-03	-1.1449077e+02	1.2383836e-03	-7.5463010e+01
-1.3804505e+01	2.5232611e-02	-3.9560859e+01	2.1256599e-02	-5.3089615e+01	1.7335003e-02	-6.6859198e+01	1.3335778e-02	-8.8841747e+01	8.4042018e-03	-1.1403436e+02	7.3709856e-04	-6.5698808e+01
-1.3504505e+01	2.6252779e-02	-3.9810269e+01	2.2149271e-02	-5.2379877e+01	1.7773886e-02	-6.5034910e+01	1.3074865e-02	-8.6261886e+01	1.0024681e-02	-1.1280324e+02	1.0451026e-03	-7.4221521e+01
-1.3204505e+01	2.7937061e-02	-3.8130153e+01	2.3017084e-02	-5.0692933e+01	1.8812025e-02	-6.4839965e+01	1.3887257e-02	-8.2765974e+01	9.2797078e-03	-1.1147639e+02	7.0732605e-04	-1.4043392e+02
-1.2904505e+01	2.8783085e-02	-3.8189990e+01	2.4081528e-02	-4.9310576e+01	2.0032063e-02	-6.2884183e+01	1.4680774e-02	-8.3237501e+01	1.0639833e-02	-1.0695150e+02	1.1881803e-03	2.1739908e-01
-1.2604505e+01	2.9219012e-02	-3.8333627e+01	2.4891857e-02	-4.8530625e+01	1.9846633e-02	-6.3257656e+01	1.5992305e-02	-7.9650223e+01	1.0425421e-02	-1.0891591e+02	1.1529175e-03	-1.7229368e+02
-1.2304505e+01	3.0984498e-02	-3.6223632e+01	2.6585743e-02	-4.8060899e+01	2.1574773e-02	-6.1638506e+01	1.6970523e-02	-7.6703637e+01	1.1349193e-02	-1.0301755e+02	1.2903260e-04	-1.4350602e+02
