21-Sep-2023 18:38:47 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	6.3420795e-01	-9.8230506e-01
6.3852298e+04	6.3227738e-01	-9.9849065e-01
7.2157221e+04	6.3056873e-01	-1.0599392e+00
8.1542320e+04	6.2827444e-01	-1.1410569e+00
9.2148088e+04	6.2856966e-01	-1.1651277e+00
1.0413329e+05	6.2515852e-01	-1.2514748e+00
1.1767734e+05	6.2383945e-01	-1.3081969e+00
1.3298300e+05	6.2580983e-01	-1.3466882e+00
1.5027938e+05	6.2350299e-01	-1.4852249e+00
1.6982540e+05	6.1975497e-01	-1.5758713e+00
1.9191367e+05	6.1859342e-01	-1.6786236e+00
2.1687485e+05	6.2102777e-01	-1.7409165e+00
2.4508258e+05	6.2139515e-01	-1.8895645e+00
2.7695915e+05	6.2197381e-01	-2.0170908e+00
3.1298173e+05	6.1309765e-01	-2.1588710e+00
3.5368956e+05	6.1727736e-01	-2.3015409e+00
3.9969205e+05	6.1652593e-01	-2.4443492e+00
4.5167783e+05	6.1090382e-01	-2.6502604e+00
5.1042512e+05	6.1221817e-01	-2.8162524e+00
5.7681335e+05	6.1278086e-01	-3.0560360e+00
6.5183634e+05	6.1260016e-01	-3.3218369e+00
7.3661717e+05	6.0986731e-01	-3.5603257e+00
8.3242498e+05	6.0720141e-01	-3.8562869e+00
9.4069399e+05	6.0321386e-01	-4.1970077e+00
1.0630450e+06	6.0337125e-01	-4.5510573e+00
1.2013095e+06	6.0025988e-01	-4.9255167e+00
1.3575573e+06	5.9702990e-01	-5.4013284e+00
1.5341274e+06	5.9634093e-01	-5.8037319e+00
1.7336631e+06	5.8965138e-01	-6.3569165e+00
1.9591512e+06	5.8927329e-01	-6.8712365e+00
2.2139674e+06	5.8547941e-01	-7.5184615e+00
2.5019262e+06	5.8113611e-01	-8.2016060e+00
2.8273382e+06	5.7842297e-01	-8.8786647e+00
3.1950747e+06	5.7396209e-01	-9.6572295e+00
3.6106408e+06	5.7132064e-01	-1.0529827e+01
4.0802573e+06	5.6679987e-01	-1.1392469e+01
4.6109543e+06	5.6138237e-01	-1.2492078e+01
5.2106761e+06	5.5471930e-01	-1.3733052e+01
5.8884005e+06	5.4594308e-01	-1.4906204e+01
6.6542729e+06	5.3735400e-01	-1.6164292e+01
7.5197582e+06	5.3162683e-01	-1.7656120e+01
8.4978124e+06	5.2062810e-01	-1.9232532e+01
9.6030769e+06	5.1150528e-01	-2.0912452e+01
1.0852097e+07	5.0107174e-01	-2.2699550e+01
1.2263571e+07	4.9262293e-01	-2.4638104e+01
1.3858627e+07	4.7692315e-01	-2.6587688e+01
1.5661143e+07	4.6366892e-01	-2.8588962e+01
