21-Sep-2023 18:23:16 PM	
Frequency (Hz)	R (volts rms)	Theta (degree)
5.0000000e+04	2.1429865e-02	1.7137323e+02
5.6503229e+04	2.0052154e-02	1.7858706e+02
6.3852298e+04	2.0069484e-02	1.7834444e+02
7.2157221e+04	2.0088298e-02	1.7809532e+02
8.1542320e+04	2.0102979e-02	1.7782737e+02
9.2148088e+04	2.0117958e-02	1.7756729e+02
1.0413329e+05	2.0134098e-02	1.7728664e+02
1.1767734e+05	2.0137315e-02	1.7699874e+02
1.3298300e+05	2.0134687e-02	1.7668828e+02
1.5027938e+05	2.0140145e-02	1.7634477e+02
1.6982540e+05	2.0138798e-02	1.7597533e+02
1.9191367e+05	2.0121488e-02	1.7550476e+02
2.1687485e+05	2.0103720e-02	1.7540877e+02
2.4508258e+05	2.0083957e-02	1.7492954e+02
2.7695915e+05	2.0067678e-02	1.7468476e+02
3.1298173e+05	2.0067190e-02	1.7404919e+02
3.5368956e+05	2.0022473e-02	1.7348035e+02
3.9969205e+05	1.9994759e-02	1.7281816e+02
4.5167783e+05	1.9959832e-02	1.7214050e+02
5.1042512e+05	1.9919419e-02	1.7141975e+02
5.7681335e+05	1.9863013e-02	1.7064264e+02
6.5183634e+05	1.9811078e-02	1.6987276e+02
7.3661717e+05	1.9752909e-02	1.6906345e+02
8.3242498e+05	1.9675856e-02	1.6814865e+02
9.4069399e+05	1.9579507e-02	1.6709579e+02
1.0630450e+06	1.9473181e-02	1.6599159e+02
1.2013095e+06	1.9343676e-02	1.6480743e+02
1.3575573e+06	1.9225903e-02	1.6352690e+02
1.5341274e+06	1.9127999e-02	1.6199307e+02
1.7336631e+06	1.9036072e-02	1.6006921e+02
1.9591512e+06	1.8939606e-02	1.5773988e+02
2.2139674e+06	1.8849356e-02	1.5502941e+02
2.5019262e+06	1.8761451e-02	1.5201020e+02
2.8273382e+06	1.8690875e-02	1.4866397e+02
3.1950747e+06	1.8629621e-02	1.4491717e+02
3.6106408e+06	1.8581005e-02	1.4067112e+02
4.0802573e+06	1.8515282e-02	1.3583500e+02
4.6109543e+06	1.8445949e-02	1.3019527e+02
5.2106761e+06	1.8183848e-02	1.2368949e+02
5.8884005e+06	1.7793100e-02	1.1736585e+02
6.6542729e+06	1.7742888e-02	1.1122144e+02
7.5197582e+06	1.7731522e-02	1.0388252e+02
8.4978124e+06	1.7716548e-02	9.5185189e+01
9.6030769e+06	1.7705105e-02	8.4968259e+01
1.0852097e+07	1.7602671e-02	7.3137606e+01
1.2263571e+07	1.7508805e-02	5.9304754e+01
1.3858627e+07	1.7363399e-02	4.2453480e+01
1.5661143e+07	1.7069210e-02	2.1923479e+01
1.7698103e+07	1.6624855e-02	-3.0682890e+00
     NaN	     NaN	     NaN
