21-Sep-2023 19:23:30 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.3628025e-01	-5.4533481e-01
6.3852298e+04	5.3435287e-01	-6.5564147e-01
7.2157221e+04	5.3573985e-01	-7.3011802e-01
8.1542320e+04	5.3609182e-01	-7.7010295e-01
9.2148088e+04	5.3525779e-01	-7.7239122e-01
1.0413329e+05	5.3049047e-01	-8.3648376e-01
1.1767734e+05	5.2942989e-01	-8.7868073e-01
1.3298300e+05	5.3079840e-01	-9.7673153e-01
1.5027938e+05	5.2708032e-01	-1.0635494e+00
1.6982540e+05	5.2915689e-01	-1.0813499e+00
1.9191367e+05	5.2921395e-01	-1.1724512e+00
2.1687485e+05	5.2964749e-01	-1.2511158e+00
2.4508258e+05	5.2662444e-01	-1.3547921e+00
2.7695915e+05	5.2741226e-01	-1.4487796e+00
3.1298173e+05	5.3028107e-01	-1.5111404e+00
3.5368956e+05	5.2520067e-01	-1.6857515e+00
3.9969205e+05	5.2394686e-01	-1.8319032e+00
4.5167783e+05	5.2722193e-01	-1.8963396e+00
5.1042512e+05	5.2407130e-01	-2.1505108e+00
5.7681335e+05	5.2488139e-01	-2.3105997e+00
6.5183634e+05	5.2185142e-01	-2.4759132e+00
7.3661717e+05	5.1938656e-01	-2.6904134e+00
8.3242498e+05	5.2025897e-01	-2.9558073e+00
9.4069399e+05	5.1588527e-01	-3.2234664e+00
1.0630450e+06	5.1942635e-01	-3.5033909e+00
1.2013095e+06	5.1870033e-01	-3.8202792e+00
1.3575573e+06	5.2150511e-01	-4.1511955e+00
1.5341274e+06	5.1821291e-01	-4.5530883e+00
1.7336631e+06	5.1100108e-01	-4.9698363e+00
1.9591512e+06	5.1385309e-01	-5.4623681e+00
2.2139674e+06	5.1444440e-01	-5.9813428e+00
2.5019262e+06	5.1067354e-01	-6.5306544e+00
2.8273382e+06	5.0490645e-01	-7.1954482e+00
3.1950747e+06	5.0550767e-01	-7.8698091e+00
3.6106408e+06	5.0258637e-01	-8.5735276e+00
4.0802573e+06	4.9940605e-01	-9.3547613e+00
4.6109543e+06	4.9154785e-01	-1.0452487e+01
5.2106761e+06	4.9022703e-01	-1.1679925e+01
5.8884005e+06	4.9311641e-01	-1.2719073e+01
6.6542729e+06	4.8434861e-01	-1.3793674e+01
7.5197582e+06	4.7642955e-01	-1.5229873e+01
8.4978124e+06	4.6795220e-01	-1.6758828e+01
9.6030769e+06	4.6333007e-01	-1.8391100e+01
1.0852097e+07	4.5635391e-01	-2.0112506e+01
1.2263571e+07	4.4910809e-01	-2.1952511e+01
1.3858627e+07	4.3189295e-01	-2.4053983e+01
1.5661143e+07	4.2911213e-01	-2.6086336e+01
1.7698103e+07	4.1606221e-01	-2.8442992e+01
2.0000000e+07	4.0548074e-01	-3.0880778e+01
