21-Sep-2023 19:30:15 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4992492e+01	1.8738163e-02	-3.2948048e+01	1.6332882e-02	-4.5463885e+01	1.3564363e-02	-5.7881191e+01	1.0074480e-02	-7.5314918e+01	7.2762150e-03	-1.0510416e+02	1.2028910e-03	-5.3276363e+01
-1.4692492e+01	1.9496420e-02	-3.1933767e+01	1.7319973e-02	-4.1141797e+01	1.3862644e-02	-5.7789587e+01	1.0943314e-02	-7.3963789e+01	8.7261112e-03	-9.4334685e+01	1.2667452e-03	-5.3001496e+01
-1.4392492e+01	1.9935476e-02	-3.1733294e+01	1.7499323e-02	-4.1520176e+01	1.3998402e-02	-5.5994125e+01	1.1965611e-02	-7.2497650e+01	7.4688468e-03	-9.7235557e+01	1.5300943e-03	-1.0859587e+02
-1.4092492e+01	2.0332564e-02	-3.2208538e+01	1.7791020e-02	-4.1106397e+01	1.4548717e-02	-5.5219690e+01	1.2107544e-02	-7.5151605e+01	9.0993283e-03	-9.0222364e+01	1.7134744e-03	-1.5423291e+02
-1.3792492e+01	2.1038105e-02	-3.0742427e+01	1.8759657e-02	-4.0250645e+01	1.5230631e-02	-5.2246110e+01	1.2670489e-02	-6.9440475e+01	1.0347542e-02	-9.3256079e+01	1.1694291e-03	-6.2497415e+01
-1.3492492e+01	2.1455323e-02	-3.0664377e+01	1.9529523e-02	-4.0177110e+01	1.6123296e-02	-5.5618322e+01	1.2591225e-02	-7.2247351e+01	9.6952519e-03	-9.1824920e+01	8.8594172e-04	-1.0414146e+02
-1.3192492e+01	2.2650832e-02	-3.0393594e+01	1.9925829e-02	-4.0134339e+01	1.6684284e-02	-5.0934716e+01	1.3490073e-02	-6.6566285e+01	1.0161799e-02	-8.9175939e+01	2.0052726e-03	-1.1765140e+02
-1.2892492e+01	2.3312173e-02	-2.9021326e+01	2.0804372e-02	-3.8604845e+01	1.7738496e-02	-4.8013249e+01	1.4723187e-02	-6.2375547e+01	1.1464542e-02	-8.6453728e+01	2.8335499e-03	-1.4386321e+02
-1.2592492e+01	2.4597568e-02	-2.9070685e+01	2.1730719e-02	-3.8135214e+01	1.8401572e-02	-4.9587684e+01	1.5375529e-02	-6.5555292e+01	1.1774593e-02	-8.8833651e+01	1.1725560e-04	1.8727588e+01
-1.2292492e+01	2.5303189e-02	-2.8121848e+01	2.2831085e-02	-3.6575227e+01	1.9498645e-02	-4.6050844e+01	1.5807279e-02	-6.6861119e+01	1.2378811e-02	-8.3333801e+01	1.3665919e-03	-1.2043360e+02
