21-Sep-2023 20:41:36 PM	
Frequency (Hz)	R (volts rms)	Theta (degree)
5.0000000e+04	2.1355433e-02	1.5340183e+02
5.6503229e+04	1.9984872e-02	1.7873244e+02
6.3852298e+04	2.0011211e-02	1.7855627e+02
7.2157221e+04	2.0043702e-02	1.7832405e+02
8.1542320e+04	2.0063142e-02	1.7805416e+02
9.2148088e+04	2.0083917e-02	1.7778295e+02
1.0413329e+05	2.0108087e-02	1.7750836e+02
1.1767734e+05	2.0122374e-02	1.7721523e+02
1.3298300e+05	2.0132852e-02	1.7690940e+02
1.5027938e+05	2.0146243e-02	1.7656464e+02
1.6982540e+05	2.0152027e-02	1.7617932e+02
1.9191367e+05	2.0153865e-02	1.7569166e+02
2.1687485e+05	2.0143894e-02	1.7556627e+02
2.4508258e+05	2.0129982e-02	1.7508586e+02
2.7695915e+05	2.0118107e-02	1.7480909e+02
3.1298173e+05	2.0130524e-02	1.7416395e+02
3.5368956e+05	2.0099145e-02	1.7335932e+02
3.9969205e+05	2.0068799e-02	1.7283310e+02
4.5167783e+05	2.0058247e-02	1.7214331e+02
5.1042512e+05	2.0007036e-02	1.7142371e+02
5.7681335e+05	1.9962834e-02	1.7061732e+02
6.5183634e+05	1.9909556e-02	1.6986162e+02
7.3661717e+05	1.9847942e-02	1.6903921e+02
8.3242498e+05	1.9768600e-02	1.6810409e+02
9.4069399e+05	1.9671570e-02	1.6704974e+02
1.0630450e+06	1.9563329e-02	1.6593169e+02
1.2013095e+06	1.9437220e-02	1.6474868e+02
1.3575573e+06	1.9316620e-02	1.6346641e+02
1.5341274e+06	1.9205450e-02	1.6191740e+02
1.7336631e+06	1.9110501e-02	1.6000210e+02
1.9591512e+06	1.9022127e-02	1.5767153e+02
2.2139674e+06	1.8924706e-02	1.5496239e+02
2.5019262e+06	1.8831391e-02	1.5195735e+02
2.8273382e+06	1.8754735e-02	1.4860354e+02
3.1950747e+06	1.8693413e-02	1.4487465e+02
3.6106408e+06	1.8638539e-02	1.4061159e+02
4.0802573e+06	1.8577691e-02	1.3577696e+02
4.6109543e+06	1.8498954e-02	1.3015438e+02
5.2106761e+06	1.8235966e-02	1.2365426e+02
5.8884005e+06	1.7849206e-02	1.1736042e+02
6.6542729e+06	1.7765169e-02	1.1109572e+02
7.5197582e+06	1.7775693e-02	1.0381207e+02
8.4978124e+06	1.7759093e-02	9.5123807e+01
9.6030769e+06	1.7738253e-02	8.4901228e+01
1.0852097e+07	1.7644506e-02	7.3083403e+01
1.2263571e+07	1.7540103e-02	5.9247874e+01
1.3858627e+07	1.7390602e-02	4.2398605e+01
1.5661143e+07	1.7087464e-02	2.1864403e+01
1.7698103e+07	1.6628177e-02	-3.1109851e+00
     NaN	     NaN	     NaN
