21-Sep-2023 18:35:25 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4980480e+01	2.2145723e-02	-4.3516560e+01	1.8206263e-02	-5.6391439e+01	1.4434003e-02	-7.2263679e+01	1.0175182e-02	-9.4051539e+01	6.4891081e-03	-1.2339644e+02	1.8472986e-03	-1.2585202e+02
-1.4680480e+01	2.2682984e-02	-4.2400111e+01	1.9085877e-02	-5.6408908e+01	1.4711342e-02	-7.2493859e+01	1.0907052e-02	-9.4460074e+01	7.4237750e-03	-1.1572968e+02	1.3287373e-03	-5.9242822e+00
-1.4380480e+01	2.3622515e-02	-4.2682626e+01	1.9712359e-02	-5.4277075e+01	1.5675174e-02	-6.8489337e+01	1.2054249e-02	-9.2854603e+01	7.9605703e-03	-1.2030214e+02	2.7400656e-03	-1.5737387e+02
-1.4080480e+01	2.4670625e-02	-4.1746481e+01	2.0657113e-02	-5.3292338e+01	1.6443917e-02	-7.0450452e+01	1.2215742e-02	-9.0784669e+01	8.8091723e-03	-1.1531093e+02	2.3581296e-03	-1.5280292e+02
-1.3780480e+01	2.5730454e-02	-3.9987535e+01	2.1808395e-02	-5.2455775e+01	1.7429891e-02	-6.8072596e+01	1.3268778e-02	-8.6498188e+01	8.0104380e-03	-1.1739151e+02	1.1650323e-03	-1.3189974e+02
-1.3480480e+01	2.6628582e-02	-3.9440604e+01	2.1917692e-02	-5.1710555e+01	1.7418881e-02	-6.7004594e+01	1.3532908e-02	-8.5264320e+01	8.8136741e-03	-1.0656757e+02	1.6649655e-03	-1.4905161e+02
-1.3180480e+01	2.7299788e-02	-3.8874692e+01	2.3247416e-02	-5.0599149e+01	1.8835068e-02	-6.7132423e+01	1.4883964e-02	-8.2008975e+01	1.0198471e-02	-1.1155945e+02	1.5521761e-03	-1.0669218e+02
-1.2880480e+01	2.8194991e-02	-3.8348656e+01	2.4164129e-02	-4.9932057e+01	2.0615165e-02	-6.6440291e+01	1.5466747e-02	-8.4361496e+01	1.0716121e-02	-1.0758739e+02	1.2540699e-03	-7.3937375e+01
-1.2580480e+01	2.9904815e-02	-3.7552335e+01	2.5327063e-02	-4.8042192e+01	1.9997511e-02	-6.2099193e+01	1.5586640e-02	-7.9174566e+01	1.1319730e-02	-1.0412227e+02	1.5512441e-03	-9.3879531e+00
-1.2280480e+01	3.0690338e-02	-3.6565152e+01	2.6275246e-02	-4.7771037e+01	2.1455880e-02	-6.2060252e+01	1.6095256e-02	-8.0524838e+01	1.1202508e-02	-1.0318229e+02	1.7054918e-03	-1.9440094e+01
