21-Sep-2023 20:3:15 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	8.1200751e-01	-1.5380406e+00
6.3852298e+04	8.0852565e-01	-1.5266630e+00
7.2157221e+04	8.1068125e-01	-1.6189160e+00
8.1542320e+04	8.0416741e-01	-1.7419140e+00
9.2148088e+04	8.0174973e-01	-1.8139577e+00
1.0413329e+05	7.9889638e-01	-1.9461129e+00
1.1767734e+05	7.9613500e-01	-2.0784039e+00
1.3298300e+05	7.9376116e-01	-2.1874121e+00
1.5027938e+05	7.8736084e-01	-2.3174574e+00
1.6982540e+05	7.8579124e-01	-2.4782329e+00
1.9191367e+05	7.8563444e-01	-2.6135017e+00
2.1687485e+05	7.8127786e-01	-2.7941739e+00
2.4508258e+05	7.8408939e-01	-2.9645202e+00
2.7695915e+05	7.7504049e-01	-3.1814916e+00
3.1298173e+05	7.8270846e-01	-3.3648698e+00
3.5368956e+05	7.8152535e-01	-3.6075527e+00
3.9969205e+05	7.6924995e-01	-3.8559627e+00
4.5167783e+05	7.7402170e-01	-4.1012885e+00
5.1042512e+05	7.6982348e-01	-4.3990411e+00
5.7681335e+05	7.6686722e-01	-4.7274232e+00
6.5183634e+05	7.6283034e-01	-5.1067139e+00
7.3661717e+05	7.5698095e-01	-5.4449193e+00
8.3242498e+05	7.5669704e-01	-5.8386942e+00
9.4069399e+05	7.4784840e-01	-6.2991117e+00
1.0630450e+06	7.4501900e-01	-6.7621499e+00
1.2013095e+06	7.3948030e-01	-7.2974862e+00
1.3575573e+06	7.3158988e-01	-7.8869954e+00
1.5341274e+06	7.1985481e-01	-8.5341985e+00
1.7336631e+06	7.2327257e-01	-9.0998883e+00
1.9591512e+06	7.2062573e-01	-9.7670892e+00
2.2139674e+06	7.0744007e-01	-1.0594632e+01
2.5019262e+06	7.0061319e-01	-1.1388704e+01
2.8273382e+06	7.0388836e-01	-1.2170144e+01
3.1950747e+06	6.8816034e-01	-1.3162163e+01
3.6106408e+06	6.8225662e-01	-1.4167346e+01
4.0802573e+06	6.7093508e-01	-1.5263062e+01
4.6109543e+06	6.6183373e-01	-1.6460855e+01
5.2106761e+06	6.4821737e-01	-1.7762505e+01
5.8884005e+06	6.3881219e-01	-1.9109995e+01
6.6542729e+06	6.2616278e-01	-2.0454236e+01
7.5197582e+06	6.0272833e-01	-2.2201740e+01
8.4978124e+06	5.9477954e-01	-2.3754459e+01
9.6030769e+06	5.8446872e-01	-2.5425907e+01
1.0852097e+07	5.6764696e-01	-2.7267888e+01
1.2263571e+07	5.4808097e-01	-2.9214755e+01
1.3858627e+07	5.2741738e-01	-3.1320322e+01
1.5661143e+07	5.1193573e-01	-3.3320013e+01
