21-Sep-2023 19:22:32 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.3874269e-01	-5.0593376e-01
6.3852298e+04	5.3805609e-01	-7.0752007e-01
7.2157221e+04	5.3447219e-01	-7.1221109e-01
8.1542320e+04	5.3080911e-01	-7.4076642e-01
9.2148088e+04	5.3237595e-01	-7.6452572e-01
1.0413329e+05	5.2912409e-01	-8.4501277e-01
1.1767734e+05	5.3285059e-01	-9.0992341e-01
1.3298300e+05	5.3342940e-01	-1.0051654e+00
1.5027938e+05	5.3363929e-01	-1.0440184e+00
1.6982540e+05	5.2632912e-01	-1.1186005e+00
1.9191367e+05	5.2928483e-01	-1.1655967e+00
2.1687485e+05	5.2392429e-01	-1.2576326e+00
2.4508258e+05	5.3048499e-01	-1.3217186e+00
2.7695915e+05	5.2848712e-01	-1.3577948e+00
3.1298173e+05	5.2642183e-01	-1.4527604e+00
3.5368956e+05	5.2668143e-01	-1.4679710e+00
3.9969205e+05	5.2642857e-01	-1.7438807e+00
4.5167783e+05	5.2675753e-01	-1.8827865e+00
5.1042512e+05	5.2491734e-01	-2.0792821e+00
5.7681335e+05	5.2735440e-01	-2.1844076e+00
6.5183634e+05	5.2500896e-01	-2.4172289e+00
7.3661717e+05	5.2245493e-01	-2.6465249e+00
8.3242498e+05	5.2412683e-01	-2.8616940e+00
9.4069399e+05	5.1711655e-01	-3.1295371e+00
1.0630450e+06	5.1873732e-01	-3.4617244e+00
1.2013095e+06	5.1914558e-01	-3.7724494e+00
1.3575573e+06	5.1767253e-01	-4.1157063e+00
1.5341274e+06	5.1354166e-01	-4.5769777e+00
1.7336631e+06	5.1066461e-01	-4.9596020e+00
1.9591512e+06	5.1463887e-01	-5.4374333e+00
2.2139674e+06	5.0824975e-01	-5.9756559e+00
2.5019262e+06	5.0991233e-01	-6.5432574e+00
2.8273382e+06	5.0543110e-01	-7.1942644e+00
3.1950747e+06	5.0494527e-01	-7.8553184e+00
3.6106408e+06	4.9810684e-01	-8.6409712e+00
4.0802573e+06	5.0192375e-01	-9.3978230e+00
4.6109543e+06	4.9680935e-01	-1.0425972e+01
5.2106761e+06	4.9164738e-01	-1.1608000e+01
5.8884005e+06	4.8650953e-01	-1.2756122e+01
6.6542729e+06	4.8298797e-01	-1.3822253e+01
7.5197582e+06	4.7932987e-01	-1.5150751e+01
8.4978124e+06	4.7165351e-01	-1.6635342e+01
9.6030769e+06	4.6500811e-01	-1.8197339e+01
1.0852097e+07	4.5698811e-01	-1.9886514e+01
1.2263571e+07	4.4588253e-01	-2.1792692e+01
1.3858627e+07	4.3285699e-01	-2.3893737e+01
1.5661143e+07	4.2680080e-01	-2.6008910e+01
1.7698103e+07	4.1805662e-01	-2.8247810e+01
2.0000000e+07	4.0448909e-01	-3.0648370e+01
