21-Sep-2023 20:17:37 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4971471e+01	2.5151783e-02	-6.6759062e+01	1.8476730e-02	-8.4704544e+01	1.3921852e-02	-1.1026137e+02	8.1127959e-03	-1.4554715e+02	4.0102998e-03	-1.7661018e+02	4.1484510e-04	-6.4399434e+00
-1.4671471e+01	2.5901083e-02	-6.5782977e+01	1.9744425e-02	-8.4517231e+01	1.3648135e-02	-1.1137295e+02	8.7529354e-03	-1.3735736e+02	4.7432041e-03	-1.7345313e+02	1.6707328e-03	-9.5478707e+01
-1.4371471e+01	2.7020954e-02	-6.4242536e+01	2.0457288e-02	-8.1193751e+01	1.4014535e-02	-1.0919450e+02	8.1017004e-03	-1.3888422e+02	5.2407599e-03	-1.7401144e+02	1.3131913e-03	-1.7797151e+02
-1.4071471e+01	2.8133084e-02	-6.4002507e+01	2.1228665e-02	-8.2224622e+01	1.5258586e-02	-1.0523166e+02	9.6981250e-03	-1.3636698e+02	6.3648125e-03	-1.6771818e+02	6.9984364e-04	-1.4580038e+02
-1.3771471e+01	2.9267186e-02	-6.2537161e+01	2.2700179e-02	-7.9557818e+01	1.5618158e-02	-9.9542221e+01	1.1227644e-02	-1.2815647e+02	5.5136371e-03	-1.6029620e+02	8.7232926e-04	-1.3052095e+02
-1.3471471e+01	3.0792919e-02	-6.0416275e+01	2.4045262e-02	-7.7836251e+01	1.7120392e-02	-9.8450230e+01	1.0539091e-02	-1.2649263e+02	6.1293116e-03	-1.6290344e+02	1.7085126e-03	-6.3481913e+01
-1.3171471e+01	3.2960031e-02	-5.9971485e+01	2.5347423e-02	-7.5356289e+01	1.7333293e-02	-9.8293466e+01	1.1468590e-02	-1.2058326e+02	7.1438057e-03	-1.5602304e+02	6.6098267e-04	-1.9895518e+01
-1.2871471e+01	3.4684587e-02	-5.8222156e+01	2.6735875e-02	-7.4192395e+01	1.9215075e-02	-9.3518854e+01	1.3107797e-02	-1.2067010e+02	7.3042857e-03	-1.5318388e+02	1.5806099e-03	-8.6309171e+01
-1.2571471e+01	3.5504746e-02	-5.7325319e+01	2.7570854e-02	-7.2285607e+01	2.0201869e-02	-9.4791842e+01	1.2687512e-02	-1.2146950e+02	8.0036543e-03	-1.5147383e+02	1.8993656e-03	7.7101800e+00
-1.2271471e+01	3.7658385e-02	-5.5871498e+01	2.9390007e-02	-7.1518600e+01	2.1866413e-02	-9.1717937e+01	1.4610936e-02	-1.1946588e+02	8.2216565e-03	-1.5214875e+02	2.2136690e-03	-1.2441043e+02
-1.1971471e+01	3.8038303e-02	-5.4825278e+01	3.0013435e-02	-7.0056749e+01	2.1635381e-02	-9.1468381e+01	1.5182119e-02	-1.1323392e+02	9.7640613e-03	-1.5162961e+02	9.6808055e-04	-2.0683210e+01
-1.1671471e+01	4.0783649e-02	-5.2956408e+01	3.2057646e-02	-6.7417823e+01	2.3950476e-02	-8.4880362e+01	1.5847303e-02	-1.1157230e+02	9.9871352e-03	-1.4000501e+02	5.1819974e-04	-1.3025901e+01
-1.1371471e+01	4.3272017e-02	-5.2066168e+01	3.4541250e-02	-6.5906209e+01	2.5666320e-02	-8.6491123e+01	1.7296995e-02	-1.1094480e+02	1.1498010e-02	-1.4155808e+02	1.2908131e-03	-1.5002057e+02
-1.1071471e+01	4.5202054e-02	-5.0961692e+01	3.6117268e-02	-6.5003749e+01	2.7619748e-02	-8.2970458e+01	1.8641692e-02	-1.0536712e+02	1.2392658e-02	-1.3992441e+02	2.0275462e-03	-3.9792953e+01
-1.0771471e+01	4.5893479e-02	-4.9710217e+01	3.6863261e-02	-6.4313826e+01	2.7559295e-02	-8.1866036e+01	1.9553736e-02	-1.0528685e+02	1.2076860e-02	-1.3129974e+02	1.6897108e-03	-5.6614802e+01
-1.0471471e+01	4.9255739e-02	-4.8176748e+01	3.9526936e-02	-6.1502387e+01	2.9692259e-02	-7.9505842e+01	2.0650368e-02	-1.0227101e+02	1.3726555e-02	-1.3291780e+02	6.3104911e-04	-1.4480496e+02
-1.0171471e+01	5.0717165e-02	-4.7394372e+01	4.1203720e-02	-6.0453359e+01	3.1943987e-02	-7.8673048e+01	2.2100572e-02	-1.0059659e+02	1.4920417e-02	-1.2870145e+02	1.0092251e-03	-7.3593426e+01
-9.8714715e+00	5.4028011e-02	-4.6205862e+01	4.4112490e-02	-5.9022483e+01	3.4216034e-02	-7.5260315e+01	2.4762584e-02	-9.9209686e+01	1.6320750e-02	-1.2337300e+02	1.0800833e-03	-1.7358677e+02
-9.5714715e+00	5.7240840e-02	-4.4428910e+01	4.7708741e-02	-5.7305211e+01	3.6726397e-02	-7.4222051e+01	2.7411158e-02	-9.5512407e+01	1.8513122e-02	-1.2151256e+02	1.5761495e-03	-1.5234051e+02
-9.2714715e+00	6.0077163e-02	-4.3131868e+01	4.9685100e-02	-5.5568736e+01	3.9296478e-02	-7.1477364e+01	2.8993020e-02	-9.2467097e+01	1.8955471e-02	-1.1439075e+02	1.7665618e-03	-2.6123925e+00
-8.9714715e+00	6.2700255e-02	-4.2486049e+01	5.2722997e-02	-5.4006528e+01	4.1264098e-02	-6.9880698e+01	2.9887937e-02	-8.8939561e+01	2.0491707e-02	-1.1433121e+02	1.4472416e-03	-5.8356781e+01
-8.6714715e+00	6.8467143e-02	-4.0366420e+01	5.7350410e-02	-5.1870059e+01	4.6272701e-02	-6.6384495e+01	3.4654801e-02	-8.5873665e+01	2.4059494e-02	-1.0947626e+02	1.9599558e-03	-5.0528357e+01
-8.3714715e+00	6.9983874e-02	-3.9757691e+01	5.9480730e-02	-5.0865261e+01	4.7472117e-02	-6.4991586e+01	3.5054501e-02	-8.3218177e+01	2.3808053e-02	-1.0869805e+02	3.3105514e-03	-8.1459242e+01
-8.0714715e+00	7.7051937e-02	-3.7615214e+01	6.5607811e-02	-4.8073736e+01	5.3295473e-02	-6.1889489e+01	4.0772364e-02	-7.8380255e+01	2.8925168e-02	-1.0017383e+02	2.0116614e-03	-1.0093476e+02
