21-Sep-2023 18:54:20 PM	
Frequency (Hz)	R (volts rms)	Theta (degree)
5.0000000e+04	2.1470255e-02	1.7984393e+02
5.6503229e+04	2.0085458e-02	1.7857905e+02
6.3852298e+04	2.0101090e-02	1.7832353e+02
7.2157221e+04	2.0117360e-02	1.7807383e+02
8.1542320e+04	2.0131266e-02	1.7780613e+02
9.2148088e+04	2.0143738e-02	1.7753082e+02
1.0413329e+05	2.0154395e-02	1.7726040e+02
1.1767734e+05	2.0160789e-02	1.7697651e+02
1.3298300e+05	2.0165295e-02	1.7666674e+02
1.5027938e+05	2.0167654e-02	1.7633059e+02
1.6982540e+05	2.0160078e-02	1.7596301e+02
1.9191367e+05	2.0145425e-02	1.7548784e+02
2.1687485e+05	2.0128849e-02	1.7538927e+02
2.4508258e+05	2.0099385e-02	1.7492127e+02
2.7695915e+05	2.0080585e-02	1.7474455e+02
3.1298173e+05	2.0066324e-02	1.7413751e+02
3.5368956e+05	2.0038874e-02	1.7348238e+02
3.9969205e+05	2.0012428e-02	1.7282019e+02
4.5167783e+05	1.9978286e-02	1.7213891e+02
5.1042512e+05	1.9934719e-02	1.7141013e+02
5.7681335e+05	1.9882448e-02	1.7065679e+02
6.5183634e+05	1.9822545e-02	1.6988449e+02
7.3661717e+05	1.9763493e-02	1.6906562e+02
8.3242498e+05	1.9691431e-02	1.6814776e+02
9.4069399e+05	1.9599691e-02	1.6710478e+02
1.0630450e+06	1.9488085e-02	1.6599002e+02
1.2013095e+06	1.9363468e-02	1.6481971e+02
1.3575573e+06	1.9240881e-02	1.6352415e+02
1.5341274e+06	1.9146936e-02	1.6200613e+02
1.7336631e+06	1.9055133e-02	1.6008353e+02
1.9591512e+06	1.8964495e-02	1.5775372e+02
2.2139674e+06	1.8871496e-02	1.5503945e+02
2.5019262e+06	1.8785270e-02	1.5202795e+02
2.8273382e+06	1.8708064e-02	1.4867498e+02
3.1950747e+06	1.8643179e-02	1.4493664e+02
3.6106408e+06	1.8592891e-02	1.4067989e+02
4.0802573e+06	1.8534314e-02	1.3583773e+02
4.6109543e+06	1.8468097e-02	1.3020045e+02
5.2106761e+06	1.8205064e-02	1.2368595e+02
5.8884005e+06	1.7813815e-02	1.1736714e+02
6.6542729e+06	1.7770871e-02	1.1121924e+02
7.5197582e+06	1.7763386e-02	1.0389341e+02
8.4978124e+06	1.7744918e-02	9.5185089e+01
9.6030769e+06	1.7724057e-02	8.4974948e+01
1.0852097e+07	1.7637025e-02	7.3147573e+01
1.2263571e+07	1.7526161e-02	5.9304824e+01
1.3858627e+07	1.7379254e-02	4.2458534e+01
1.5661143e+07	1.7086764e-02	2.1940474e+01
1.7698103e+07	1.6641309e-02	-3.0334485e+00
     NaN	     NaN	     NaN
