21-Sep-2023 20:42:11 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	9.1004312e-01	-1.7338241e+00
6.3852298e+04	9.1044996e-01	-1.9630873e+00
7.2157221e+04	9.0848445e-01	-2.0685765e+00
8.1542320e+04	9.0465598e-01	-2.1997863e+00
9.2148088e+04	9.0093342e-01	-2.3357950e+00
1.0413329e+05	8.9481668e-01	-2.4802394e+00
1.1767734e+05	8.9334377e-01	-2.6314792e+00
1.3298300e+05	8.9406907e-01	-2.7699051e+00
1.5027938e+05	8.9185794e-01	-2.9462253e+00
1.6982540e+05	8.8417050e-01	-3.1527837e+00
1.9191367e+05	8.8610698e-01	-3.3414131e+00
2.1687485e+05	8.8000592e-01	-3.5319289e+00
2.4508258e+05	8.7685118e-01	-3.7705745e+00
2.7695915e+05	8.6633400e-01	-3.9994991e+00
3.1298173e+05	8.6542396e-01	-4.2646488e+00
3.5368956e+05	8.7054932e-01	-4.4907602e+00
3.9969205e+05	8.6904017e-01	-4.7839834e+00
4.5167783e+05	8.4565864e-01	-5.1692203e+00
5.1042512e+05	8.4843334e-01	-5.4807528e+00
5.7681335e+05	8.3915190e-01	-5.8680571e+00
6.5183634e+05	8.4752421e-01	-6.2072286e+00
7.3661717e+05	8.4611027e-01	-6.6163145e+00
8.3242498e+05	8.3188624e-01	-7.1475514e+00
9.4069399e+05	8.2459707e-01	-7.6211563e+00
1.0630450e+06	8.2303516e-01	-8.1720219e+00
1.2013095e+06	8.1234865e-01	-8.7187387e+00
1.3575573e+06	8.0641403e-01	-9.3486982e+00
1.5341274e+06	7.9449643e-01	-1.0055043e+01
1.7336631e+06	7.9378945e-01	-1.0750323e+01
1.9591512e+06	7.8072534e-01	-1.1618962e+01
2.2139674e+06	7.7184045e-01	-1.2417846e+01
2.5019262e+06	7.5730177e-01	-1.3340475e+01
2.8273382e+06	7.5316447e-01	-1.4299523e+01
3.1950747e+06	7.4124981e-01	-1.5347221e+01
3.6106408e+06	7.3078834e-01	-1.6401497e+01
4.0802573e+06	7.2173287e-01	-1.7654592e+01
4.6109543e+06	7.0737757e-01	-1.8887125e+01
5.2106761e+06	6.9002272e-01	-2.0209788e+01
5.8884005e+06	6.8053297e-01	-2.1579783e+01
6.6542729e+06	6.6639680e-01	-2.3024298e+01
7.5197582e+06	6.4380807e-01	-2.4697878e+01
8.4978124e+06	6.2847638e-01	-2.6359229e+01
9.6030769e+06	6.0825858e-01	-2.8243524e+01
1.0852097e+07	5.8809805e-01	-3.0054019e+01
1.2263571e+07	5.7047328e-01	-3.1943556e+01
1.3858627e+07	5.4652554e-01	-3.4069781e+01
1.5661143e+07	5.2268085e-01	-3.6160682e+01
