21-Sep-2023 19:23:42 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.4808815e-01	-4.8198750e-01
6.3852298e+04	5.4471669e-01	-5.8455695e-01
7.2157221e+04	5.4084964e-01	-6.2196047e-01
8.1542320e+04	5.4324020e-01	-6.8075241e-01
9.2148088e+04	5.4159693e-01	-6.9696711e-01
1.0413329e+05	5.4344121e-01	-8.1119773e-01
1.1767734e+05	5.3977773e-01	-8.4116221e-01
1.3298300e+05	5.4317531e-01	-8.8022686e-01
1.5027938e+05	5.4231500e-01	-9.6268872e-01
1.6982540e+05	5.3761664e-01	-1.0046944e+00
1.9191367e+05	5.4335851e-01	-1.1175702e+00
2.1687485e+05	5.4246786e-01	-1.1756088e+00
2.4508258e+05	5.4048297e-01	-1.2784664e+00
2.7695915e+05	5.3980828e-01	-1.3624965e+00
3.1298173e+05	5.4277113e-01	-1.4496577e+00
3.5368956e+05	5.4211949e-01	-1.6408045e+00
3.9969205e+05	5.3948828e-01	-1.7193308e+00
4.5167783e+05	5.3973803e-01	-1.8682643e+00
5.1042512e+05	5.4114664e-01	-2.0467791e+00
5.7681335e+05	5.4272052e-01	-2.2153554e+00
6.5183634e+05	5.3568166e-01	-2.4104022e+00
7.3661717e+05	5.3616058e-01	-2.6371891e+00
8.3242498e+05	5.3514912e-01	-2.8969134e+00
9.4069399e+05	5.3655381e-01	-3.1719047e+00
1.0630450e+06	5.3108601e-01	-3.4618533e+00
1.2013095e+06	5.3164893e-01	-3.7827668e+00
1.3575573e+06	5.2940377e-01	-4.1334258e+00
1.5341274e+06	5.2459970e-01	-4.5222579e+00
1.7336631e+06	5.2468912e-01	-4.9628439e+00
1.9591512e+06	5.2431442e-01	-5.4616624e+00
2.2139674e+06	5.2133572e-01	-5.9676670e+00
2.5019262e+06	5.1567187e-01	-6.5513697e+00
2.8273382e+06	5.1294155e-01	-7.1983369e+00
3.1950747e+06	5.1355424e-01	-7.8269472e+00
3.6106408e+06	5.1480833e-01	-8.5183414e+00
4.0802573e+06	5.1156357e-01	-9.3726116e+00
4.6109543e+06	5.0872283e-01	-1.0467614e+01
5.2106761e+06	5.0316361e-01	-1.1532568e+01
5.8884005e+06	4.9894972e-01	-1.2642464e+01
6.6542729e+06	4.9207166e-01	-1.3830303e+01
7.5197582e+06	4.8799452e-01	-1.5202654e+01
8.4978124e+06	4.8200967e-01	-1.6611127e+01
9.6030769e+06	4.7546939e-01	-1.8240370e+01
1.0852097e+07	4.6727482e-01	-2.0061716e+01
1.2263571e+07	4.6036256e-01	-2.1906330e+01
1.3858627e+07	4.5310670e-01	-2.3844803e+01
1.5661143e+07	4.3949633e-01	-2.6017883e+01
1.7698103e+07	4.2948811e-01	-2.8285565e+01
2.0000000e+07	4.1313578e-01	-3.0877314e+01
