21-Sep-2023 19:12:36 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	5.3887750e-01	-5.9081316e-01
6.3852298e+04	5.3854728e-01	-6.6362848e-01
7.2157221e+04	5.3977840e-01	-7.3242541e-01
8.1542320e+04	5.3768206e-01	-7.4038404e-01
9.2148088e+04	5.4117665e-01	-7.6338806e-01
1.0413329e+05	5.3789996e-01	-8.5895414e-01
1.1767734e+05	5.3578374e-01	-9.2660644e-01
1.3298300e+05	5.3432826e-01	-9.9517976e-01
1.5027938e+05	5.3687853e-01	-1.0325179e+00
1.6982540e+05	5.3008061e-01	-1.0715180e+00
1.9191367e+05	5.2935058e-01	-1.2046132e+00
2.1687485e+05	5.3300579e-01	-1.2731402e+00
2.4508258e+05	5.2975724e-01	-1.3564715e+00
2.7695915e+05	5.2823335e-01	-1.5423717e+00
3.1298173e+05	5.2396704e-01	-1.5739748e+00
3.5368956e+05	5.2751414e-01	-1.6293600e+00
3.9969205e+05	5.2689138e-01	-1.8097220e+00
4.5167783e+05	5.2723637e-01	-1.9275038e+00
5.1042512e+05	5.2425575e-01	-2.1371011e+00
5.7681335e+05	5.2711327e-01	-2.2186995e+00
6.5183634e+05	5.2743113e-01	-2.4989341e+00
7.3661717e+05	5.2276754e-01	-2.7404557e+00
8.3242498e+05	5.2249862e-01	-2.9256309e+00
9.4069399e+05	5.2350449e-01	-3.1890423e+00
1.0630450e+06	5.1777616e-01	-3.4762258e+00
1.2013095e+06	5.1959018e-01	-3.7999706e+00
1.3575573e+06	5.1984328e-01	-4.1466498e+00
1.5341274e+06	5.1646146e-01	-4.5874165e+00
1.7336631e+06	5.1765163e-01	-5.0115426e+00
1.9591512e+06	5.1315614e-01	-5.4882700e+00
2.2139674e+06	5.0926355e-01	-6.0067244e+00
2.5019262e+06	5.0995928e-01	-6.5167293e+00
2.8273382e+06	5.0833421e-01	-7.1881858e+00
3.1950747e+06	5.0430441e-01	-7.8713377e+00
3.6106408e+06	5.0491385e-01	-8.5276872e+00
4.0802573e+06	5.0387017e-01	-9.3538987e+00
4.6109543e+06	5.0300016e-01	-1.0466203e+01
5.2106761e+06	4.9565691e-01	-1.1741838e+01
5.8884005e+06	4.8797098e-01	-1.2794277e+01
6.6542729e+06	4.7990945e-01	-1.3908019e+01
7.5197582e+06	4.7379357e-01	-1.5248159e+01
8.4978124e+06	4.6827771e-01	-1.6789207e+01
9.6030769e+06	4.6520283e-01	-1.8390365e+01
1.0852097e+07	4.5552803e-01	-2.0143230e+01
1.2263571e+07	4.5134244e-01	-2.1840831e+01
1.3858627e+07	4.3747734e-01	-2.3861789e+01
1.5661143e+07	4.2411132e-01	-2.5987663e+01
1.7698103e+07	4.1880756e-01	-2.8251469e+01
2.0000000e+07	4.0265709e-01	-3.0779247e+01
