21-Sep-2023 18:21:4 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4923423e+01	2.3924868e-02	-4.9095612e+01	1.9432336e-02	-6.3272460e+01	1.4376070e-02	-8.2142929e+01	1.0930184e-02	-1.0627986e+02	5.6725845e-03	-1.3472429e+02	5.0539841e-04	-1.4953390e+02
-1.4623423e+01	2.4556782e-02	-4.8429357e+01	2.0272770e-02	-6.2121733e+01	1.5538911e-02	-8.1810737e+01	1.0815509e-02	-1.0385129e+02	6.7140754e-03	-1.3547487e+02	1.7878529e-03	-5.6349329e+01
-1.4323423e+01	2.5766001e-02	-4.6678934e+01	2.1277400e-02	-6.1533558e+01	1.6816759e-02	-7.7309280e+01	1.0413966e-02	-1.0090821e+02	8.0225741e-03	-1.3383887e+02	2.3701619e-04	-1.4270906e+02
-1.4023423e+01	2.6754538e-02	-4.7447375e+01	2.1869617e-02	-6.0353833e+01	1.6163371e-02	-7.6193071e+01	1.2103877e-02	-1.0090071e+02	7.0781092e-03	-1.2075958e+02	3.7665302e-03	-6.4559236e+01
-1.3723423e+01	2.8085179e-02	-4.5716373e+01	2.2842113e-02	-5.9075775e+01	1.7076789e-02	-7.2779522e+01	1.2163493e-02	-9.7224572e+01	8.1446944e-03	-1.2892430e+02	1.4347216e-03	-1.0576578e+02
-1.3423423e+01	2.9010040e-02	-4.4860739e+01	2.3889676e-02	-5.8092676e+01	1.8647510e-02	-7.5294865e+01	1.2882105e-02	-9.4864528e+01	9.7437170e-03	-1.2538033e+02	1.9108505e-03	-4.0089173e+01
-1.3123423e+01	2.9959927e-02	-4.3674236e+01	2.4657073e-02	-5.6984540e+01	2.0160906e-02	-7.2252585e+01	1.4296329e-02	-9.4826517e+01	1.0302165e-02	-1.1881234e+02	3.0860395e-03	-8.7727055e+01
-1.2823423e+01	3.1046731e-02	-4.3741187e+01	2.6010483e-02	-5.5295890e+01	2.1097466e-02	-7.1116994e+01	1.4585330e-02	-9.1323833e+01	1.0858921e-02	-1.1628994e+02	2.6109064e-03	-7.2983801e+01
-1.2523423e+01	3.2013048e-02	-4.1638482e+01	2.6904892e-02	-5.4169058e+01	2.1366188e-02	-7.0370195e+01	1.5409927e-02	-9.2102647e+01	1.0112327e-02	-1.1640645e+02	9.4329191e-05	-4.9603514e+01
-1.2223423e+01	3.3431476e-02	-4.1641090e+01	2.7839976e-02	-5.3175582e+01	2.2870066e-02	-6.9817462e+01	1.6752194e-02	-8.9294492e+01	1.1927410e-02	-1.1527887e+02	1.1929493e-03	-9.4751036e+00
-1.1923423e+01	3.4958858e-02	-3.9383637e+01	2.9023141e-02	-5.2682469e+01	2.3401107e-02	-6.8614923e+01	1.8241352e-02	-8.9429298e+01	1.1050082e-02	-1.0963418e+02	2.8892987e-04	-1.6003648e+02
-1.1623423e+01	3.6405473e-02	-3.9433695e+01	3.0450049e-02	-5.0177264e+01	2.5013062e-02	-6.4121566e+01	1.8258464e-02	-8.2483722e+01	1.3429305e-02	-1.1012163e+02	3.3778718e-03	-6.8589546e+01
-1.1323423e+01	3.7727481e-02	-3.7925634e+01	3.2127329e-02	-4.8913274e+01	2.5712452e-02	-6.3783461e+01	1.9865871e-02	-8.2585687e+01	1.3641073e-02	-1.0770757e+02	3.9338565e-03	-3.4363398e+01
-1.1023423e+01	3.9308186e-02	-3.7520320e+01	3.3679684e-02	-4.7729165e+01	2.7531268e-02	-6.1651133e+01	2.0781885e-02	-8.2671040e+01	1.5179637e-02	-1.0154750e+02	2.6720300e-03	-6.7326916e+01
-1.0723423e+01	4.0916777e-02	-3.6198021e+01	3.5271130e-02	-4.7251228e+01	2.9061853e-02	-5.9331412e+01	2.2316888e-02	-8.0481431e+01	1.6123143e-02	-1.0184619e+02	9.8048131e-04	-5.8525633e+01
-1.0423423e+01	4.3335630e-02	-3.5804291e+01	3.7382541e-02	-4.5597068e+01	3.0950744e-02	-5.9536811e+01	2.3451507e-02	-7.5369059e+01	1.6692144e-02	-9.8057410e+01	1.4326195e-03	-1.4914938e+02
-1.0123423e+01	4.4728877e-02	-3.5059367e+01	3.8654138e-02	-4.5127099e+01	3.2775091e-02	-5.8501701e+01	2.5241581e-02	-7.5683626e+01	1.7795911e-02	-9.9065789e+01	1.4206720e-03	-1.4805326e+02
-9.8234234e+00	4.7287342e-02	-3.3360264e+01	4.1262516e-02	-4.3431756e+01	3.4154757e-02	-5.7329229e+01	2.6173377e-02	-7.1955843e+01	1.9908963e-02	-9.6231130e+01	3.9786850e-04	-1.2994866e+02
-9.5234234e+00	5.0270283e-02	-3.2814486e+01	4.3856456e-02	-4.1935606e+01	3.7374081e-02	-5.4145927e+01	2.8855073e-02	-7.1095542e+01	2.0518572e-02	-9.1192708e+01	1.5830452e-03	-1.4887461e+02
-9.2234234e+00	5.1507462e-02	-3.1935153e+01	4.5375588e-02	-4.1191517e+01	3.7600334e-02	-5.3625803e+01	3.0112862e-02	-7.0037119e+01	2.2219947e-02	-9.0512553e+01	1.5173855e-03	-1.0441125e+02
