21-Sep-2023 20:3:3 PM  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	8.1283519e-01	-1.4683490e+00
6.3852298e+04	8.1471862e-01	-1.5781812e+00
7.2157221e+04	8.1085317e-01	-1.6318695e+00
8.1542320e+04	8.0738496e-01	-1.7717409e+00
9.2148088e+04	8.0709033e-01	-1.8648142e+00
1.0413329e+05	8.0052397e-01	-1.9991841e+00
1.1767734e+05	8.0217909e-01	-2.1161847e+00
1.3298300e+05	7.9915390e-01	-2.2607506e+00
1.5027938e+05	8.0437476e-01	-2.3456795e+00
1.6982540e+05	8.0576588e-01	-2.4786325e+00
1.9191367e+05	8.0276004e-01	-2.6884293e+00
2.1687485e+05	7.9715506e-01	-2.8131024e+00
2.4508258e+05	7.9284592e-01	-3.0102027e+00
2.7695915e+05	7.9928980e-01	-3.0905179e+00
3.1298173e+05	7.8138047e-01	-3.3642739e+00
3.5368956e+05	7.8391217e-01	-3.4280844e+00
3.9969205e+05	7.8654349e-01	-3.7661598e+00
4.5167783e+05	7.7586727e-01	-4.0863087e+00
5.1042512e+05	7.6632871e-01	-4.3980567e+00
5.7681335e+05	7.7361754e-01	-4.6723944e+00
6.5183634e+05	7.6534780e-01	-5.0551608e+00
7.3661717e+05	7.6149913e-01	-5.4221568e+00
8.3242498e+05	7.6383966e-01	-5.7665537e+00
9.4069399e+05	7.5926297e-01	-6.2440361e+00
1.0630450e+06	7.5179262e-01	-6.6755145e+00
1.2013095e+06	7.4751253e-01	-7.2262279e+00
1.3575573e+06	7.4347424e-01	-7.7900689e+00
1.5341274e+06	7.3704740e-01	-8.4032487e+00
1.7336631e+06	7.3151432e-01	-9.0006339e+00
1.9591512e+06	7.1938130e-01	-9.7517946e+00
2.2139674e+06	7.1179222e-01	-1.0512833e+01
2.5019262e+06	7.0643024e-01	-1.1315347e+01
2.8273382e+06	7.0251993e-01	-1.2165661e+01
3.1950747e+06	6.8981920e-01	-1.3177564e+01
3.6106408e+06	6.8146242e-01	-1.4153567e+01
4.0802573e+06	6.7783201e-01	-1.5166219e+01
4.6109543e+06	6.6904316e-01	-1.6369244e+01
5.2106761e+06	6.5365181e-01	-1.7713628e+01
5.8884005e+06	6.4418343e-01	-1.9109629e+01
6.6542729e+06	6.2810332e-01	-2.0401066e+01
7.5197582e+06	6.1259328e-01	-2.2075660e+01
8.4978124e+06	6.0238332e-01	-2.3682300e+01
9.6030769e+06	5.9010945e-01	-2.5392826e+01
1.0852097e+07	5.7115979e-01	-2.7283149e+01
1.2263571e+07	5.4949729e-01	-2.9308365e+01
1.3858627e+07	5.2830090e-01	-3.1376295e+01
1.5661143e+07	5.1579791e-01	-3.3411310e+01
