21-Sep-2023 18:37:37 PM	
Frequency (Hz)	R (volts rms)	Theta (degree)
5.0000000e+04	2.1443131e-02	-1.5141628e+02
5.6503229e+04	2.0064408e-02	1.7861973e+02
6.3852298e+04	2.0088543e-02	1.7829259e+02
7.2157221e+04	2.0100324e-02	1.7803873e+02
8.1542320e+04	2.0118601e-02	1.7777274e+02
9.2148088e+04	2.0121815e-02	1.7750827e+02
1.0413329e+05	2.0133051e-02	1.7723286e+02
1.1767734e+05	2.0133826e-02	1.7694811e+02
1.3298300e+05	2.0133047e-02	1.7664328e+02
1.5027938e+05	2.0138833e-02	1.7630104e+02
1.6982540e+05	2.0129032e-02	1.7594784e+02
1.9191367e+05	2.0111741e-02	1.7546471e+02
2.1687485e+05	2.0094014e-02	1.7537825e+02
2.4508258e+05	2.0067162e-02	1.7490616e+02
2.7695915e+05	2.0051481e-02	1.7466857e+02
3.1298173e+05	2.0048332e-02	1.7404575e+02
3.5368956e+05	2.0009604e-02	1.7326287e+02
3.9969205e+05	1.9979442e-02	1.7275761e+02
4.5167783e+05	1.9952017e-02	1.7208992e+02
5.1042512e+05	1.9907452e-02	1.7139458e+02
5.7681335e+05	1.9857399e-02	1.7061938e+02
6.5183634e+05	1.9796360e-02	1.6987506e+02
7.3661717e+05	1.9740277e-02	1.6907402e+02
8.3242498e+05	1.9658176e-02	1.6815093e+02
9.4069399e+05	1.9563283e-02	1.6711319e+02
1.0630450e+06	1.9459073e-02	1.6600898e+02
1.2013095e+06	1.9335893e-02	1.6482652e+02
1.3575573e+06	1.9221217e-02	1.6354430e+02
1.5341274e+06	1.9119632e-02	1.6200981e+02
1.7336631e+06	1.9026354e-02	1.6009466e+02
1.9591512e+06	1.8932921e-02	1.5775236e+02
2.2139674e+06	1.8841763e-02	1.5504437e+02
2.5019262e+06	1.8756504e-02	1.5202739e+02
2.8273382e+06	1.8681208e-02	1.4868593e+02
3.1950747e+06	1.8621998e-02	1.4494473e+02
3.6106408e+06	1.8566243e-02	1.4069631e+02
4.0802573e+06	1.8513064e-02	1.3584992e+02
4.6109543e+06	1.8437229e-02	1.3021111e+02
5.2106761e+06	1.8179130e-02	1.2370424e+02
5.8884005e+06	1.7795344e-02	1.1741076e+02
6.6542729e+06	1.7719799e-02	1.1116160e+02
7.5197582e+06	1.7726761e-02	1.0388448e+02
8.4978124e+06	1.7717872e-02	9.5189628e+01
9.6030769e+06	1.7703917e-02	8.4961508e+01
1.0852097e+07	1.7616725e-02	7.3145239e+01
1.2263571e+07	1.7519989e-02	5.9302429e+01
1.3858627e+07	1.7366614e-02	4.2457715e+01
1.5661143e+07	1.7067820e-02	2.1919492e+01
     NaN	     NaN	     NaN
     NaN	     NaN	     NaN
