21-Sep-2023 18:0:55 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-1.4968468e+01	2.4274099e-02	-5.4167142e+01	1.9267053e-02	-6.9846231e+01	1.3598679e-02	-9.1017768e+01	9.9787119e-03	-1.1261998e+02	5.7094724e-03	-1.4182995e+02	1.4646571e-03	-7.5935256e+01
-1.4668468e+01	2.5197784e-02	-5.2976850e+01	2.0099804e-02	-6.8505201e+01	1.5194459e-02	-8.6826285e+01	9.2882522e-03	-1.1337641e+02	6.8253068e-03	-1.3570856e+02	1.2970485e-03	-2.8443553e+01
-1.4368468e+01	2.6631663e-02	-5.2317855e+01	2.1035432e-02	-6.5637754e+01	1.5760031e-02	-8.7547430e+01	1.0311028e-02	-1.0752302e+02	7.0113152e-03	-1.4289282e+02	1.0643172e-03	-5.5054847e+01
-1.4068468e+01	2.7500851e-02	-5.1385106e+01	2.2396160e-02	-6.6002807e+01	1.6306746e-02	-8.5206582e+01	1.1671519e-02	-1.0786380e+02	6.7751446e-03	-1.4361810e+02	1.1994715e-03	-3.9983403e+00
-1.3768468e+01	2.8398203e-02	-5.0203349e+01	2.2633807e-02	-6.4095778e+01	1.7040858e-02	-8.1448030e+01	1.2028125e-02	-1.0514054e+02	7.8033593e-03	-1.3818363e+02	1.1807803e-03	-3.3004569e+00
-1.3468468e+01	2.9912790e-02	-4.8682046e+01	2.4191429e-02	-6.3694418e+01	1.8170396e-02	-8.0797492e+01	1.3092859e-02	-1.0258765e+02	8.5049908e-03	-1.3311292e+02	9.1629348e-04	-2.6300679e+01
-1.3168468e+01	3.0541581e-02	-4.7550033e+01	2.5361248e-02	-6.0880850e+01	1.8146133e-02	-8.2261892e+01	1.3016490e-02	-1.0000043e+02	8.2207757e-03	-1.3267592e+02	1.0627409e-03	-1.2040109e+02
-1.2868468e+01	3.1592529e-02	-4.7073949e+01	2.6144217e-02	-6.0831091e+01	2.0210603e-02	-7.6638050e+01	1.5849217e-02	-1.0360940e+02	9.1022820e-03	-1.2476245e+02	3.3380362e-03	-5.4675749e+01
-1.2568468e+01	3.3496939e-02	-4.6006214e+01	2.7420445e-02	-5.8601695e+01	2.0888540e-02	-7.4837749e+01	1.5282610e-02	-9.7070510e+01	9.2228153e-03	-1.2652278e+02	1.2082705e-03	-2.0109106e+01
-1.2268468e+01	3.4535906e-02	-4.4509028e+01	2.8397553e-02	-5.7577561e+01	2.2394855e-02	-7.5686759e+01	1.6727197e-02	-9.6439948e+01	1.0356226e-02	-1.2899467e+02	1.2244307e-03	-1.2501631e+02
-1.1968468e+01	3.6766414e-02	-4.3139983e+01	3.0328611e-02	-5.5583307e+01	2.3444607e-02	-7.0868561e+01	1.7418048e-02	-9.2555682e+01	1.0838667e-02	-1.1834619e+02	2.2422502e-03	-8.2525495e+01
-1.1668468e+01	3.7764575e-02	-4.2985174e+01	3.1675187e-02	-5.5205492e+01	2.4713246e-02	-7.0525721e+01	1.8199184e-02	-9.2237171e+01	1.2980871e-02	-1.1590624e+02	3.2687690e-04	-1.0691662e+02
-1.1368468e+01	4.0224583e-02	-4.1675570e+01	3.3503940e-02	-5.2981601e+01	2.6580289e-02	-6.8385848e+01	1.9899246e-02	-9.0953127e+01	1.3297870e-02	-1.1478727e+02	1.3964452e-03	-4.1143821e+00
-1.1068468e+01	4.1785434e-02	-4.1104724e+01	3.5095221e-02	-5.1986385e+01	2.8339156e-02	-6.7118999e+01	2.1281626e-02	-8.6713032e+01	1.3581136e-02	-1.1482635e+02	1.2831008e-03	-3.8834091e+01
-1.0768468e+01	4.3018363e-02	-4.0271949e+01	3.6009022e-02	-5.1928101e+01	2.8816442e-02	-6.6561038e+01	2.1054930e-02	-8.6017266e+01	1.5015695e-02	-1.0913266e+02	1.4522858e-03	-1.4915913e+02
-1.0468468e+01	4.5148239e-02	-3.8960277e+01	3.7897380e-02	-5.0448641e+01	3.0434786e-02	-6.4138759e+01	2.3009680e-02	-8.4630568e+01	1.5869016e-02	-1.0950271e+02	1.7088906e-03	-6.3303428e+01
-1.0168468e+01	4.7343838e-02	-3.8537136e+01	4.0075502e-02	-4.8518738e+01	3.2659517e-02	-6.3813341e+01	2.4888781e-02	-8.0152050e+01	1.6607290e-02	-1.0429392e+02	1.9174074e-03	-1.2586421e+02
-9.8684685e+00	4.8910779e-02	-3.7046355e+01	4.1966767e-02	-4.7464863e+01	3.4564667e-02	-6.0260811e+01	2.6959770e-02	-7.8496712e+01	1.7718264e-02	-1.0215585e+02	1.5129457e-03	-1.1870118e+02
-9.5684685e+00	5.1949576e-02	-3.5702623e+01	4.4962501e-02	-4.5209837e+01	3.7550589e-02	-5.9041991e+01	2.7570021e-02	-7.8555062e+01	1.9445138e-02	-9.7848086e+01	5.5241750e-04	-9.6007640e+01
-9.2684685e+00	5.4778163e-02	-3.4587648e+01	4.7431631e-02	-4.4350177e+01	3.9005445e-02	-5.7661903e+01	2.9761896e-02	-7.3218185e+01	2.1836470e-02	-9.4312310e+01	1.0000411e-03	-4.8352091e+01
-8.9684685e+00	5.9003476e-02	-3.2837730e+01	5.1159841e-02	-4.2700072e+01	4.2502300e-02	-5.4081015e+01	3.4268437e-02	-7.2499948e+01	2.4150227e-02	-9.3359021e+01	3.5715254e-04	-7.6357409e+01
-8.6684685e+00	6.1110585e-02	-3.2078790e+01	5.2909663e-02	-4.2057743e+01	4.4960807e-02	-5.3362115e+01	3.5148728e-02	-6.9758818e+01	2.6030052e-02	-8.8744296e+01	1.9611514e-03	-9.6205781e+01
-8.3684685e+00	6.5497330e-02	-3.1031549e+01	5.7352192e-02	-4.0125798e+01	4.7798597e-02	-5.1841962e+01	3.8580965e-02	-6.6704446e+01	2.8820142e-02	-8.5783816e+01	7.7245415e-04	-1.4567778e+02
-8.0684685e+00	6.8834638e-02	-3.0029823e+01	6.0451530e-02	-3.8795905e+01	5.2216104e-02	-5.0422959e+01	4.2085695e-02	-6.5075185e+01	3.0822831e-02	-8.4092532e+01	2.9151428e-03	-1.6283257e+02
-7.7684685e+00	7.3902219e-02	-2.8882248e+01	6.5117720e-02	-3.7155380e+01	5.6048589e-02	-4.7870088e+01	4.5622584e-02	-6.1864347e+01	3.4035713e-02	-8.1032884e+01	1.2360448e-03	-5.7406126e+01
-7.4684685e+00	7.8260743e-02	-2.7737490e+01	6.9533500e-02	-3.6056800e+01	5.9828661e-02	-4.6123253e+01	4.8705282e-02	-5.9668735e+01	3.6726976e-02	-7.8029446e+01	2.1949478e-03	-6.0036538e+01
-7.1684685e+00	8.2019312e-02	-2.6916212e+01	7.3364386e-02	-3.4655462e+01	6.3850918e-02	-4.5224399e+01	5.1834857e-02	-5.7391676e+01	3.9302827e-02	-7.4880977e+01	3.2571561e-03	-1.6461341e+02
-6.8684685e+00	8.9498386e-02	-2.5172365e+01	8.0416719e-02	-3.2704268e+01	6.9420608e-02	-4.2248659e+01	5.7793112e-02	-5.4022448e+01	4.5240363e-02	-7.2296209e+01	2.4717907e-03	-1.6999978e+02
-6.5684685e+00	9.8200928e-02	-2.3736133e+01	8.9016102e-02	-3.0534254e+01	7.7632875e-02	-3.9418502e+01	6.5103048e-02	-5.0907280e+01	5.1752036e-02	-6.7191605e+01	2.4131805e-03	-1.2054534e+01
-6.2684685e+00	1.0422247e-01	-2.2317574e+01	9.4390265e-02	-2.9300735e+01	8.2916788e-02	-3.7743270e+01	7.0337102e-02	-4.9071988e+01	5.5987638e-02	-6.3976060e+01	4.3377776e-03	-1.5880199e+02
-5.9684685e+00	1.1661949e-01	-2.0984732e+01	1.0731291e-01	-2.6765560e+01	9.5047840e-02	-3.5122344e+01	8.0564238e-02	-4.4963184e+01	6.5852876e-02	-5.8335528e+01	5.5511757e-03	-1.4262482e+02
-5.6684685e+00	1.2444533e-01	-1.9928551e+01	1.1426265e-01	-2.5895824e+01	1.0226553e-01	-3.3203828e+01	8.7191805e-02	-4.3588690e+01	7.1513076e-02	-5.5678305e+01	6.4703226e-03	-1.2934113e+02
-5.3684685e+00	1.3788998e-01	-1.8539061e+01	1.2683175e-01	-2.4044432e+01	1.1483578e-01	-3.0735060e+01	9.9225804e-02	-4.0643793e+01	8.2057769e-02	-5.1624340e+01	8.8590483e-03	-1.0394654e+02
-5.0684685e+00	1.5205169e-01	-1.7378833e+01	1.4095365e-01	-2.2504075e+01	1.2744181e-01	-2.9136107e+01	1.1226530e-01	-3.7357218e+01	9.4081113e-02	-4.8125070e+01	1.2115394e-02	-1.0420478e+02
-4.7684685e+00	1.6554332e-01	-1.6165260e+01	1.5486267e-01	-2.1044671e+01	1.4074470e-01	-2.7132703e+01	1.2499620e-01	-3.5147427e+01	1.0493889e-01	-4.5457290e+01	1.6680099e-02	-9.6206149e+01
-4.4684685e+00	1.8878190e-01	-1.4659643e+01	1.7681354e-01	-1.8993476e+01	1.6329339e-01	-2.5407196e+01	1.4601621e-01	-3.1981192e+01	1.2525133e-01	-4.1071510e+01	2.1462349e-02	-8.7767567e+01
-4.1684685e+00	2.1662476e-01	-1.3244098e+01	2.0485513e-01	-1.7180678e+01	1.8965014e-01	-2.2097302e+01	1.7291490e-01	-2.8598869e+01	1.4982242e-01	-3.6601460e+01	3.5079372e-02	-8.1084115e+01
-3.8684685e+00	2.4270633e-01	-1.2051441e+01	2.3020628e-01	-1.5678521e+01	2.1461960e-01	-2.0536900e+01	1.9693301e-01	-2.6415650e+01	1.7317071e-01	-3.4127056e+01	4.6804634e-02	-7.7210429e+01
-3.5684685e+00	2.7271411e-01	-1.1026075e+01	2.6010423e-01	-1.4262992e+01	2.4358046e-01	-1.8613612e+01	2.2532235e-01	-2.4232099e+01	2.0066384e-01	-3.1337703e+01	6.0963137e-02	-7.2081741e+01
-3.2684685e+00	3.0039350e-01	-1.0231780e+01	2.8798707e-01	-1.3368084e+01	2.7228770e-01	-1.7395046e+01	2.5165339e-01	-2.2510258e+01	2.2743001e-01	-2.9574377e+01	7.5419254e-02	-6.9210053e+01
-2.9684685e+00	3.3156466e-01	-9.5527745e+00	3.1890658e-01	-1.2387260e+01	3.0202038e-01	-1.6155233e+01	2.8217101e-01	-2.1258560e+01	2.5403194e-01	-2.7493748e+01	9.0862273e-02	-6.8362310e+01
