21-Sep-2023 18:7:56 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	7.4974543e-01	-1.1826573e+00
6.3852298e+04	7.4918352e-01	-1.2910394e+00
7.2157221e+04	7.4774237e-01	-1.3614675e+00
8.1542320e+04	7.4877256e-01	-1.4507646e+00
9.2148088e+04	7.4689107e-01	-1.5064610e+00
1.0413329e+05	7.4311677e-01	-1.5973958e+00
1.1767734e+05	7.4613539e-01	-1.7101591e+00
1.3298300e+05	7.4107975e-01	-1.8253388e+00
1.5027938e+05	7.4363992e-01	-1.9498280e+00
1.6982540e+05	7.4229591e-01	-2.0500162e+00
1.9191367e+05	7.3981537e-01	-2.2020300e+00
2.1687485e+05	7.3752834e-01	-2.3274517e+00
2.4508258e+05	7.3468301e-01	-2.5474057e+00
2.7695915e+05	7.3462906e-01	-2.7119914e+00
3.1298173e+05	7.3319442e-01	-2.9248459e+00
3.5368956e+05	7.3109479e-01	-3.1763867e+00
3.9969205e+05	7.2954018e-01	-3.2437985e+00
4.5167783e+05	7.2613336e-01	-3.4693484e+00
5.1042512e+05	7.2493355e-01	-3.7479621e+00
5.7681335e+05	7.1955857e-01	-4.0232908e+00
6.5183634e+05	7.1843736e-01	-4.3157194e+00
7.3661717e+05	7.1530760e-01	-4.6774025e+00
8.3242498e+05	7.0780162e-01	-5.0216070e+00
9.4069399e+05	7.0855393e-01	-5.4229579e+00
1.0630450e+06	7.0385266e-01	-5.8497497e+00
1.2013095e+06	6.9957947e-01	-6.3426833e+00
1.3575573e+06	6.9714628e-01	-6.7939926e+00
1.5341274e+06	6.9136285e-01	-7.3542515e+00
1.7336631e+06	6.8818821e-01	-7.9240905e+00
1.9591512e+06	6.8410836e-01	-8.5643046e+00
2.2139674e+06	6.7929086e-01	-9.2675470e+00
2.5019262e+06	6.7035038e-01	-1.0064106e+01
2.8273382e+06	6.6717606e-01	-1.0837724e+01
3.1950747e+06	6.6027861e-01	-1.1701978e+01
3.6106408e+06	6.5483474e-01	-1.2658355e+01
4.0802573e+06	6.4732653e-01	-1.3658066e+01
4.6109543e+06	6.4193281e-01	-1.4827880e+01
5.2106761e+06	6.3063503e-01	-1.6142630e+01
5.8884005e+06	6.2100739e-01	-1.7389139e+01
6.6542729e+06	6.0902861e-01	-1.8739640e+01
7.5197582e+06	5.9905141e-01	-2.0252624e+01
8.4978124e+06	5.8366626e-01	-2.1866048e+01
9.6030769e+06	5.6911225e-01	-2.3633731e+01
1.0852097e+07	5.5777050e-01	-2.5483357e+01
1.2263571e+07	5.4090649e-01	-2.7376422e+01
1.3858627e+07	5.2729697e-01	-2.9363254e+01
1.5661143e+07	5.0892455e-01	-3.1438567e+01
1.7698103e+07	4.8972255e-01	-3.3698880e+01
2.0000000e+07	4.7193188e-01	-3.6281256e+01
