21-Sep-2023 18:4:45 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-7.7564565e+00	7.5218158e-02	-2.8063831e+01	6.6592735e-02	-3.6920083e+01	5.7738558e-02	-4.7000548e+01	4.6783842e-02	-6.1651268e+01	3.4740282e-02	-7.8799732e+01	1.4622674e-03	-1.5219962e+02
-7.4564565e+00	8.3815807e-02	-2.6440708e+01	7.4550245e-02	-3.4150106e+01	6.4487314e-02	-4.4177372e+01	5.3239942e-02	-5.7567405e+01	4.1194112e-02	-7.4279025e+01	1.0538796e-03	-1.0977396e+02
-7.1564565e+00	8.8289489e-02	-2.5308640e+01	7.9173464e-02	-3.2839871e+01	6.9225311e-02	-4.1576896e+01	5.6064530e-02	-5.4808673e+01	4.3634526e-02	-7.1001996e+01	3.8910953e-03	-1.4982829e+02
-6.8564565e+00	9.3444421e-02	-2.4379443e+01	8.3529689e-02	-3.1766500e+01	7.2943925e-02	-4.1591240e+01	6.1012352e-02	-5.3126241e+01	4.7823908e-02	-6.8770347e+01	2.4137477e-03	-1.3531545e+02
-6.5564565e+00	1.0263161e-01	-2.2988980e+01	9.2079313e-02	-2.9816941e+01	8.1590345e-02	-3.8608638e+01	6.8587224e-02	-4.9577166e+01	5.3845218e-02	-6.4927289e+01	3.1298361e-03	-1.2642111e+02
-6.2564565e+00	1.1123272e-01	-2.1618143e+01	1.0105759e-01	-2.8133914e+01	8.8198023e-02	-3.6474905e+01	7.6875256e-02	-4.7133284e+01	6.1181662e-02	-5.9895727e+01	2.7993521e-03	-1.3043812e+02
-5.9564565e+00	1.2225187e-01	-2.0173075e+01	1.1215855e-01	-2.6348344e+01	9.9988503e-02	-3.4619738e+01	8.5601887e-02	-4.4141125e+01	6.9475576e-02	-5.6924362e+01	4.9454733e-03	-1.1678483e+02
-5.6564565e+00	1.3403303e-01	-1.9264325e+01	1.2330707e-01	-2.4760563e+01	1.1083713e-01	-3.1789353e+01	9.5334309e-02	-4.1736628e+01	7.8497079e-02	-5.2542341e+01	7.7975249e-03	-1.0330772e+02
-5.3564565e+00	1.4557211e-01	-1.7976956e+01	1.3483641e-01	-2.3235754e+01	1.2215847e-01	-3.0433538e+01	1.0649651e-01	-3.8844050e+01	8.7307477e-02	-5.0633164e+01	1.0073241e-02	-9.8326537e+01
-5.0564565e+00	1.6722348e-01	-1.6290510e+01	1.5504395e-01	-2.1266249e+01	1.4131086e-01	-2.7396149e+01	1.2524114e-01	-3.5457751e+01	1.0519553e-01	-4.5444833e+01	1.7484114e-02	-9.5655365e+01
-4.7564565e+00	1.8333912e-01	-1.5200056e+01	1.7158783e-01	-1.9554403e+01	1.5773073e-01	-2.5503828e+01	1.4194167e-01	-3.2713049e+01	1.2016064e-01	-4.1953148e+01	2.1924315e-02	-8.8492887e+01
-4.4564565e+00	2.0151219e-01	-1.4336982e+01	1.8899633e-01	-1.8308961e+01	1.7459674e-01	-2.3652784e+01	1.5725225e-01	-3.0719749e+01	1.3527039e-01	-3.9353391e+01	2.8891942e-02	-8.1104279e+01
-4.1564565e+00	2.2800698e-01	-1.2868661e+01	2.1540730e-01	-1.6688027e+01	2.0087926e-01	-2.1541902e+01	1.8186858e-01	-2.7889255e+01	1.5916999e-01	-3.6223363e+01	4.0468962e-02	-7.8474026e+01
-3.8564565e+00	2.6098289e-01	-1.1629817e+01	2.4808387e-01	-1.5139545e+01	2.3232858e-01	-1.9648645e+01	2.1284276e-01	-2.5429713e+01	1.8901256e-01	-3.2889803e+01	5.3492454e-02	-7.2172874e+01
-3.5564565e+00	2.9383584e-01	-1.0580225e+01	2.8052609e-01	-1.3844000e+01	2.6469744e-01	-1.7961886e+01	2.4318099e-01	-2.3470822e+01	2.1769803e-01	-3.0246923e+01	6.7587088e-02	-7.0843703e+01
-3.2564565e+00	3.2788038e-01	-9.7685948e+00	3.1390230e-01	-1.2880842e+01	2.9784059e-01	-1.6780048e+01	2.7654377e-01	-2.1766057e+01	2.4903628e-01	-2.8229939e+01	8.4848760e-02	-6.8845402e+01
-2.9564565e+00	3.6604764e-01	-8.9451959e+00	3.5178249e-01	-1.1736403e+01	3.3565044e-01	-1.5391186e+01	3.1314879e-01	-1.9861332e+01	2.8508670e-01	-2.6221661e+01	1.0706799e-01	-6.5450681e+01
-2.6564565e+00	4.0276192e-01	-8.4097609e+00	3.8821903e-01	-1.0986790e+01	3.7089652e-01	-1.4385358e+01	3.4897647e-01	-1.8889764e+01	3.2008323e-01	-2.4745887e+01	1.2353439e-01	-6.3164212e+01
-2.3564565e+00	4.5019768e-01	-7.7187340e+00	4.3609497e-01	-1.0164016e+01	4.1819179e-01	-1.3505808e+01	3.9541155e-01	-1.7682218e+01	3.6445049e-01	-2.3205763e+01	1.5050805e-01	-6.1970339e+01
-2.0564565e+00	5.1232379e-01	-7.0544075e+00	4.9752334e-01	-9.2317905e+00	4.7872413e-01	-1.2244884e+01	4.5648950e-01	-1.6153556e+01	4.2477570e-01	-2.1508390e+01	1.8395822e-01	-6.0677081e+01
-1.7564565e+00	5.5847002e-01	-6.6271361e+00	5.4397447e-01	-8.7145358e+00	5.2452460e-01	-1.1647244e+01	5.0207651e-01	-1.5375369e+01	4.6843881e-01	-2.0375854e+01	2.1525945e-01	-5.8913126e+01
-1.4564565e+00	5.9235802e-01	-6.3848277e+00	5.7759430e-01	-8.4177300e+00	5.5816247e-01	-1.1231210e+01	5.3408955e-01	-1.4838195e+01	5.0045449e-01	-1.9866135e+01	2.3372549e-01	-5.8695461e+01
-1.1564565e+00	6.2847772e-01	-6.0826279e+00	6.1313313e-01	-8.0057605e+00	5.9371126e-01	-1.0649124e+01	5.7045189e-01	-1.4242118e+01	5.3589408e-01	-1.9075075e+01	2.5716096e-01	-5.7653073e+01
-8.5645646e-01	6.6182511e-01	-5.8333702e+00	6.4650292e-01	-7.7540906e+00	6.2701908e-01	-1.0335534e+01	6.0314348e-01	-1.3863125e+01	5.6900227e-01	-1.8567112e+01	2.7551849e-01	-5.7309760e+01
-5.5645646e-01	6.8274550e-01	-5.7057830e+00	6.6716160e-01	-7.6244658e+00	6.4714034e-01	-1.0126223e+01	6.2314426e-01	-1.3631636e+01	5.8840649e-01	-1.8399525e+01	2.8783559e-01	-5.6632683e+01
-2.5645646e-01	7.0102405e-01	-5.5956318e+00	6.8638809e-01	-7.4619067e+00	6.6792413e-01	-9.9203662e+00	6.4267949e-01	-1.3331127e+01	6.0782768e-01	-1.7950767e+01	3.0130363e-01	-5.6581615e+01
4.3543544e-02	7.0742675e-01	-5.5633357e+00	6.9243743e-01	-7.4149249e+00	6.7258110e-01	-9.9420053e+00	6.4882686e-01	-1.3237482e+01	6.1354743e-01	-1.7957667e+01	3.0288508e-01	-5.6642455e+01
3.4354354e-01	7.0434293e-01	-5.5461972e+00	6.8926830e-01	-7.4159545e+00	6.6968671e-01	-9.9679077e+00	6.4627084e-01	-1.3331632e+01	6.1090470e-01	-1.8037648e+01	3.0336052e-01	-5.6375700e+01
6.4354354e-01	6.7712176e-01	-5.6396411e+00	6.6189612e-01	-7.5965753e+00	6.4277130e-01	-1.0137775e+01	6.1845171e-01	-1.3552735e+01	5.8459000e-01	-1.8340388e+01	2.8550369e-01	-5.6989585e+01
9.4354354e-01	6.5637477e-01	-5.8324434e+00	6.4192965e-01	-7.7926912e+00	6.2200937e-01	-1.0405067e+01	5.9855234e-01	-1.3753284e+01	5.6497379e-01	-1.8641785e+01	2.7409053e-01	-5.7392464e+01
1.2435435e+00	6.1666637e-01	-6.0991297e+00	6.0151687e-01	-8.0464165e+00	5.8322217e-01	-1.0713571e+01	5.5870417e-01	-1.4250163e+01	5.2621948e-01	-1.9354858e+01	2.4885623e-01	-5.8080103e+01
1.5435435e+00	5.7596570e-01	-6.3941121e+00	5.6124928e-01	-8.3982044e+00	5.4280917e-01	-1.1224429e+01	5.2017207e-01	-1.4845461e+01	4.8676480e-01	-2.0031605e+01	2.2557667e-01	-5.9085453e+01
1.8435435e+00	5.4496505e-01	-6.6316325e+00	5.3041674e-01	-8.7785955e+00	5.1175308e-01	-1.1653024e+01	4.8956588e-01	-1.5343157e+01	4.5758600e-01	-2.0598115e+01	2.0602551e-01	-5.9514371e+01
2.1435435e+00	4.7211773e-01	-7.3739869e+00	4.5765301e-01	-9.7562106e+00	4.3969235e-01	-1.2863914e+01	4.1834334e-01	-1.6794761e+01	3.8782262e-01	-2.2394818e+01	1.6477933e-01	-6.1242273e+01
2.4435435e+00	4.4393581e-01	-7.6913729e+00	4.3023560e-01	-1.0206901e+01	4.1204841e-01	-1.3312834e+01	3.9054255e-01	-1.7635236e+01	3.6058843e-01	-2.3297892e+01	1.4720611e-01	-6.2473396e+01
2.7435435e+00	3.8880253e-01	-8.4578311e+00	3.7494851e-01	-1.1098381e+01	3.5785134e-01	-1.4583322e+01	3.3568222e-01	-1.9004424e+01	3.0855060e-01	-2.5076808e+01	1.1950091e-01	-6.4870283e+01
3.0435435e+00	3.6230002e-01	-8.9212901e+00	3.4870962e-01	-1.1639585e+01	3.3186369e-01	-1.5234508e+01	3.1100571e-01	-1.9977606e+01	2.8370191e-01	-2.6152959e+01	1.0403723e-01	-6.6163646e+01
3.3435435e+00	3.0667306e-01	-1.0133267e+01	2.9368040e-01	-1.3133043e+01	2.7699495e-01	-1.6973440e+01	2.5744684e-01	-2.2173979e+01	2.3170542e-01	-2.8874986e+01	7.6568959e-02	-6.9739853e+01
3.6435435e+00	2.8021368e-01	-1.0787538e+01	2.6736566e-01	-1.4041164e+01	2.5119999e-01	-1.8299228e+01	2.3246856e-01	-2.3592742e+01	2.0731355e-01	-3.0813628e+01	6.4986985e-02	-7.1065862e+01
3.9435435e+00	2.4966261e-01	-1.1770870e+01	2.3737256e-01	-1.5264735e+01	2.2188292e-01	-1.9947618e+01	2.0368591e-01	-2.5795524e+01	1.7913713e-01	-3.2901413e+01	5.0492069e-02	-7.5050527e+01
4.2435435e+00	2.2217574e-01	-1.2853870e+01	2.1017787e-01	-1.6658457e+01	1.9535210e-01	-2.1566509e+01	1.7700392e-01	-2.7840860e+01	1.5569378e-01	-3.5618995e+01	3.8628260e-02	-8.0728076e+01
4.5435435e+00	1.9173580e-01	-1.4366466e+01	1.7984042e-01	-1.8652056e+01	1.6529247e-01	-2.4028248e+01	1.4815330e-01	-3.1261942e+01	1.2880854e-01	-3.9979176e+01	2.6350853e-02	-8.2679243e+01
4.8435435e+00	1.6923819e-01	-1.5789189e+01	1.5804200e-01	-2.0546456e+01	1.4455426e-01	-2.6672237e+01	1.2768328e-01	-3.3771560e+01	1.0852638e-01	-4.3970781e+01	1.8051638e-02	-9.0720430e+01
5.1435435e+00	1.5036532e-01	-1.7387844e+01	1.3866503e-01	-2.2386047e+01	1.2596765e-01	-2.8916873e+01	1.1108440e-01	-3.7712093e+01	9.2489208e-02	-4.7967965e+01	1.0817497e-02	-1.0753611e+02
5.4435435e+00	1.4259551e-01	-1.7979056e+01	1.3205195e-01	-2.3369084e+01	1.1884535e-01	-2.9854087e+01	1.0453507e-01	-3.8557656e+01	8.6304080e-02	-5.0004456e+01	1.1524566e-02	-9.9427706e+01
5.7435435e+00	1.2471992e-01	-1.9812324e+01	1.1459436e-01	-2.5536030e+01	1.0143541e-01	-3.3353851e+01	8.8091855e-02	-4.2533713e+01	7.1873144e-02	-5.5410594e+01	7.7138214e-03	-1.1852555e+02
6.0435435e+00	1.1796775e-01	-2.0685996e+01	1.0790809e-01	-2.6612174e+01	9.6253191e-02	-3.4526497e+01	8.2250318e-02	-4.5010848e+01	6.5947521e-02	-5.7158679e+01	6.2653983e-03	-1.1783560e+02
6.3435435e+00	1.0998500e-01	-2.1638623e+01	9.9439997e-02	-2.8188645e+01	8.8297160e-02	-3.6263653e+01	7.5336869e-02	-4.7190499e+01	6.0557108e-02	-6.1258698e+01	3.7535746e-03	-1.3925250e+02
6.6435435e+00	1.0047533e-01	-2.3091083e+01	9.0181297e-02	-3.0054231e+01	7.9099009e-02	-3.9109808e+01	6.6425392e-02	-5.0720669e+01	5.2912833e-02	-6.4654303e+01	3.4529241e-03	-1.6473841e+02
6.9435435e+00	9.1722648e-02	-2.4394717e+01	8.2072045e-02	-3.1785890e+01	7.1446359e-02	-4.1208289e+01	5.9921308e-02	-5.2434597e+01	4.6345921e-02	-6.8085940e+01	5.3550294e-03	-1.4438968e+01
7.2435435e+00	8.2879465e-02	-2.6408731e+01	7.3966226e-02	-3.3945561e+01	6.4091507e-02	-4.3879391e+01	5.2415254e-02	-5.6819807e+01	4.0334469e-02	-7.3477675e+01	1.1504387e-03	-4.5537777e+01
7.5435435e+00	7.8224965e-02	-2.7590252e+01	6.9485640e-02	-3.5352850e+01	5.9051024e-02	-4.5902186e+01	4.7873255e-02	-5.9369183e+01	3.6577575e-02	-7.7476208e+01	1.2903078e-03	-1.0194987e+02
7.8435435e+00	7.3983218e-02	-2.8524024e+01	6.5917862e-02	-3.6551683e+01	5.6343463e-02	-4.7612964e+01	4.5101207e-02	-6.2206299e+01	3.4744002e-02	-7.9371134e+01	1.6256350e-03	-1.5220392e+01
8.1435435e+00	6.8167327e-02	-3.0427043e+01	6.0245836e-02	-3.8721380e+01	4.9735977e-02	-5.0185355e+01	4.0481668e-02	-6.5476615e+01	2.9920764e-02	-8.4618195e+01	1.2364125e-03	-1.6650603e+02
8.4435435e+00	6.6552083e-02	-3.0644185e+01	5.8328486e-02	-3.9362672e+01	4.9081688e-02	-5.1073451e+01	3.9333313e-02	-6.5916127e+01	2.9683924e-02	-8.3677965e+01	2.8051443e-03	-2.1841128e+01
8.7435435e+00	6.4142426e-02	-3.1162207e+01	5.5665247e-02	-4.0535715e+01	4.6978890e-02	-5.2405641e+01	3.7037332e-02	-6.6919124e+01	2.7783641e-02	-8.7455104e+01	2.5684989e-03	-9.2499145e+01
9.0435435e+00	5.8400964e-02	-3.3136890e+01	5.0837514e-02	-4.2818493e+01	4.1427665e-02	-5.5443052e+01	3.3693630e-02	-7.1079572e+01	2.3767145e-02	-9.1774971e+01	1.7258356e-03	-1.0865787e+02
9.3435435e+00	5.5269858e-02	-3.4271608e+01	4.7993033e-02	-4.3881959e+01	4.0006866e-02	-5.6141098e+01	3.1403040e-02	-7.3632415e+01	2.2317981e-02	-9.4888845e+01	1.2983119e-03	-9.1541359e+01
9.6435435e+00	5.1828099e-02	-3.6166701e+01	4.4475404e-02	-4.6307047e+01	3.5344845e-02	-5.8658157e+01	2.7581870e-02	-7.7202841e+01	1.9798439e-02	-9.6047294e+01	2.3567459e-03	-1.2935905e+02
9.9435435e+00	5.0048530e-02	-3.6065100e+01	4.2658833e-02	-4.6680026e+01	3.4839411e-02	-6.0587172e+01	2.6290530e-02	-7.8214292e+01	1.9173500e-02	-1.0026535e+02	7.1937917e-04	1.8341203e+01
1.0243544e+01	4.7486223e-02	-3.7803769e+01	4.0840891e-02	-4.8673653e+01	3.3007423e-02	-6.3125424e+01	2.5283383e-02	-7.9155497e+01	1.7692417e-02	-1.0288814e+02	9.8503366e-04	4.2205024e+00
1.0543544e+01	4.4585962e-02	-3.8375716e+01	3.7957773e-02	-5.0122927e+01	3.0386162e-02	-6.4294602e+01	2.3588340e-02	-8.3177264e+01	1.5609079e-02	-1.0552848e+02	3.3053824e-03	-9.4652673e+01
1.0843544e+01	4.2590205e-02	-3.9944430e+01	3.6148930e-02	-5.0703723e+01	2.9055142e-02	-6.6052041e+01	2.2558187e-02	-8.5494814e+01	1.4558506e-02	-1.0885341e+02	8.3910066e-04	-1.2816644e+01
1.1143544e+01	3.9858500e-02	-4.1070572e+01	3.3327386e-02	-5.2451987e+01	2.7164199e-02	-6.7618097e+01	1.9390162e-02	-8.6106121e+01	1.3150421e-02	-1.1224536e+02	1.9110291e-03	-1.5508121e+02
