17-Jul-2024 9:8:8 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	4.4274609e-01	2.9413315e+00
7.0144377e+03	4.4565853e-01	3.3867161e+00
8.3081492e+03	4.4814998e-01	3.6271187e+00
9.8404672e+03	4.5140783e-01	3.9593182e+00
1.1655399e+04	4.5200375e-01	4.2937151e+00
1.3805069e+04	4.6412773e-01	4.4375709e+00
1.6351214e+04	4.6535321e-01	4.7642839e+00
1.9366959e+04	4.7255978e-01	4.8667297e+00
2.2938914e+04	4.7930548e-01	4.9763243e+00
2.7169665e+04	4.8345420e-01	4.9989645e+00
3.2180717e+04	4.8958186e-01	4.8436282e+00
3.8115985e+04	5.0238114e-01	4.6464819e+00
4.5145927e+04	5.0620087e-01	4.3891215e+00
5.3472440e+04	5.0574067e-01	4.1201098e+00
6.3334658e+04	5.1457940e-01	3.7000504e+00
7.5015820e+04	5.2255067e-01	3.2335066e+00
8.8851402e+04	5.2130737e-01	2.7583809e+00
1.0523876e+05	5.2791397e-01	2.2604354e+00
1.2464853e+05	5.2895660e-01	1.7295254e+00
1.4763814e+05	5.3436345e-01	1.2238271e+00
1.7486786e+05	5.3255798e-01	7.6272789e-01
2.0711971e+05	5.3300420e-01	1.9171949e-01
2.4531994e+05	5.3060758e-01	-2.3004357e-01
2.9056566e+05	5.3017468e-01	-7.8047025e-01
3.4415629e+05	5.2808262e-01	-1.3057865e+00
4.0763094e+05	5.3865466e-01	-1.7753105e+00
4.8281257e+05	5.3369112e-01	-2.3392173e+00
5.7186037e+05	5.3355535e-01	-2.8662542e+00
6.7733174e+05	5.3251199e-01	-3.3953891e+00
8.0225578e+05	5.3018407e-01	-4.0193645e+00
9.5022026e+05	5.2930830e-01	-4.6517909e+00
1.1254746e+06	5.2599684e-01	-5.3734451e+00
1.3330522e+06	5.1558367e-01	-6.1733623e+00
1.5789143e+06	5.1391398e-01	-7.0031765e+00
1.8701223e+06	5.0652774e-01	-7.9216410e+00
2.2150393e+06	5.0505419e-01	-8.8816625e+00
2.6235712e+06	4.9709647e-01	-9.9602830e+00
3.1074510e+06	4.8600124e-01	-1.1209132e+01
3.6805753e+06	4.7561135e-01	-1.2480464e+01
4.3594042e+06	4.7290752e-01	-1.4028996e+01
5.1634333e+06	4.6465981e-01	-1.5502585e+01
6.1157538e+06	4.5290250e-01	-1.7333946e+01
7.2437162e+06	4.4539717e-01	-1.9319676e+01
8.5797148e+06	4.2950815e-01	-2.1634205e+01
1.0162119e+07	4.1817399e-01	-2.4003603e+01
1.2036375e+07	3.9568729e-01	-2.6684905e+01
1.4256310e+07	3.8022928e-01	-2.9507980e+01
1.6885680e+07	3.6471483e-01	-3.2388208e+01
2.0000000e+07	3.4435422e-01	-3.5743859e+01
