17-Jul-2024 9:7:23 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	4.4813186e-01	2.6690932e+00
7.0144377e+03	4.4904905e-01	3.0726543e+00
8.3081492e+03	4.5195034e-01	3.1716034e+00
9.8404672e+03	4.6126128e-01	3.5872405e+00
1.1655399e+04	4.6245954e-01	3.8553498e+00
1.3805069e+04	4.7226437e-01	4.1676720e+00
1.6351214e+04	4.7352806e-01	4.3220303e+00
1.9366959e+04	4.8196238e-01	4.4235465e+00
2.2938914e+04	4.8691797e-01	4.5016112e+00
2.7169665e+04	4.9393846e-01	4.5083338e+00
3.2180717e+04	4.9910049e-01	4.4950775e+00
3.8115985e+04	5.0304531e-01	4.4320820e+00
4.5145927e+04	5.1025286e-01	4.1870450e+00
5.3472440e+04	5.1520017e-01	3.8931807e+00
6.3334658e+04	5.2058684e-01	3.4965944e+00
7.5015820e+04	5.2714554e-01	3.0577543e+00
8.8851402e+04	5.3608625e-01	2.5623053e+00
1.0523876e+05	5.4054183e-01	2.0481200e+00
1.2464853e+05	5.4161317e-01	1.5826571e+00
1.4763814e+05	5.4363173e-01	1.1258355e+00
1.7486786e+05	5.4588339e-01	5.7321614e-01
2.0711971e+05	5.4636889e-01	1.4699018e-01
2.4531994e+05	5.4801581e-01	-3.6729587e-01
2.9056566e+05	5.4653101e-01	-8.7398941e-01
3.4415629e+05	5.4129365e-01	-1.3742113e+00
4.0763094e+05	5.4081311e-01	-1.9122066e+00
4.8281257e+05	5.3908607e-01	-2.3697223e+00
5.7186037e+05	5.4146771e-01	-2.9282044e+00
6.7733174e+05	5.3790696e-01	-3.4854867e+00
8.0225578e+05	5.3252264e-01	-4.0353031e+00
9.5022026e+05	5.2960820e-01	-4.6874348e+00
1.1254746e+06	5.3638641e-01	-5.4129592e+00
1.3330522e+06	5.2458070e-01	-6.1379581e+00
1.5789143e+06	5.2386407e-01	-7.0244977e+00
1.8701223e+06	5.1539066e-01	-7.9142237e+00
2.2150393e+06	5.0925018e-01	-8.8425871e+00
2.6235712e+06	5.0212661e-01	-1.0049612e+01
3.1074510e+06	4.9617132e-01	-1.1264270e+01
3.6805753e+06	4.8999833e-01	-1.2642835e+01
4.3594042e+06	4.9046515e-01	-1.4125113e+01
5.1634333e+06	4.7899690e-01	-1.5642336e+01
6.1157538e+06	4.5960426e-01	-1.7535570e+01
7.2437162e+06	4.5298723e-01	-1.9468961e+01
8.5797148e+06	4.4422505e-01	-2.1696658e+01
1.0162119e+07	4.2456639e-01	-2.4150678e+01
1.2036375e+07	4.1115725e-01	-2.6700282e+01
1.4256310e+07	3.9431079e-01	-2.9600410e+01
1.6885680e+07	3.7281218e-01	-3.2646694e+01
2.0000000e+07	3.5341691e-01	-3.5978721e+01
