17-Jul-2024 9:8:20 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	4.3676677e-01	2.6640499e+00
7.0144377e+03	4.3773807e-01	3.1423206e+00
8.3081492e+03	4.3923934e-01	3.5197126e+00
9.8404672e+03	4.3946912e-01	3.7934998e+00
1.1655399e+04	4.4589961e-01	4.0498715e+00
1.3805069e+04	4.5087774e-01	4.3493291e+00
1.6351214e+04	4.5864488e-01	4.5684585e+00
1.9366959e+04	4.6435867e-01	4.7796726e+00
2.2938914e+04	4.6816728e-01	4.9243382e+00
2.7169665e+04	4.7701457e-01	5.0196582e+00
3.2180717e+04	4.8572985e-01	4.8736278e+00
3.8115985e+04	4.9475564e-01	4.7958233e+00
4.5145927e+04	4.9989192e-01	4.5268840e+00
5.3472440e+04	5.0554778e-01	4.2491571e+00
6.3334658e+04	5.1450572e-01	3.8430509e+00
7.5015820e+04	5.1961882e-01	3.3799491e+00
8.8851402e+04	5.2154125e-01	2.9307059e+00
1.0523876e+05	5.2259527e-01	2.4455942e+00
1.2464853e+05	5.2380075e-01	1.9121136e+00
1.4763814e+05	5.2747414e-01	1.3922933e+00
1.7486786e+05	5.2428472e-01	8.8331616e-01
2.0711971e+05	5.2958811e-01	3.8124693e-01
2.4531994e+05	5.3192628e-01	-7.9100745e-02
2.9056566e+05	5.3027611e-01	-6.9245601e-01
3.4415629e+05	5.2876134e-01	-1.1252576e+00
4.0763094e+05	5.2876816e-01	-1.6991551e+00
4.8281257e+05	5.2789281e-01	-2.1531885e+00
5.7186037e+05	5.3361063e-01	-2.7145584e+00
6.7733174e+05	5.2218033e-01	-3.3024326e+00
8.0225578e+05	5.2083547e-01	-3.9142074e+00
9.5022026e+05	5.2007022e-01	-4.4993166e+00
1.1254746e+06	5.1733613e-01	-5.2603576e+00
1.3330522e+06	5.1270059e-01	-6.0422920e+00
1.5789143e+06	5.0539136e-01	-6.8248452e+00
1.8701223e+06	5.0131005e-01	-7.7625689e+00
2.2150393e+06	4.9502901e-01	-8.7556754e+00
2.6235712e+06	4.8881682e-01	-9.9057500e+00
3.1074510e+06	4.8603579e-01	-1.1117555e+01
3.6805753e+06	4.7605992e-01	-1.2553980e+01
4.3594042e+06	4.7104869e-01	-1.4022504e+01
5.1634333e+06	4.6455520e-01	-1.5558906e+01
6.1157538e+06	4.5466473e-01	-1.7321912e+01
7.2437162e+06	4.4162702e-01	-1.9384720e+01
8.5797148e+06	4.2943711e-01	-2.1627519e+01
1.0162119e+07	4.1372890e-01	-2.3992442e+01
1.2036375e+07	4.0022788e-01	-2.6615262e+01
1.4256310e+07	3.8442889e-01	-2.9461014e+01
1.6885680e+07	3.6550328e-01	-3.2412695e+01
2.0000000e+07	3.4629588e-01	-3.5732781e+01
