17-Jul-2024 9:7:34 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	4.5522702e-01	2.8004906e+00
7.0144377e+03	4.5854867e-01	3.1200491e+00
8.3081492e+03	4.6401379e-01	3.6789584e+00
9.8404672e+03	4.7074061e-01	3.5988669e+00
1.1655399e+04	4.7317247e-01	3.8880932e+00
1.3805069e+04	4.8057439e-01	4.0853253e+00
1.6351214e+04	4.8419975e-01	4.3544311e+00
1.9366959e+04	4.9027677e-01	4.4339486e+00
2.2938914e+04	4.8840809e-01	4.6291089e+00
2.7169665e+04	4.8987941e-01	4.7247880e+00
3.2180717e+04	4.9678310e-01	4.6561084e+00
3.8115985e+04	5.0883537e-01	4.5267828e+00
4.5145927e+04	5.1512391e-01	4.2412060e+00
5.3472440e+04	5.2379100e-01	3.9315125e+00
6.3334658e+04	5.2440709e-01	3.5768943e+00
7.5015820e+04	5.3070123e-01	3.2101525e+00
8.8851402e+04	5.3372107e-01	2.6821291e+00
1.0523876e+05	5.4513117e-01	2.1635991e+00
1.2464853e+05	5.4116376e-01	1.6379428e+00
1.4763814e+05	5.4685045e-01	1.1383075e+00
1.7486786e+05	5.4751404e-01	6.0783395e-01
2.0711971e+05	5.4948837e-01	1.7271616e-01
2.4531994e+05	5.5122283e-01	-3.3540234e-01
2.9056566e+05	5.5435840e-01	-7.8764558e-01
3.4415629e+05	5.4781211e-01	-1.5801756e+00
4.0763094e+05	5.4316556e-01	-1.8527772e+00
4.8281257e+05	5.4013310e-01	-2.3221065e+00
5.7186037e+05	5.4061219e-01	-2.9078310e+00
6.7733174e+05	5.3885370e-01	-3.4609224e+00
8.0225578e+05	5.2997971e-01	-4.0429684e+00
9.5022026e+05	5.3407950e-01	-4.6697548e+00
1.1254746e+06	5.3399392e-01	-5.3692133e+00
1.3330522e+06	5.2854886e-01	-6.1314433e+00
1.5789143e+06	5.3107532e-01	-6.9972822e+00
1.8701223e+06	5.2200571e-01	-7.9314634e+00
2.2150393e+06	5.1628825e-01	-8.8620909e+00
2.6235712e+06	5.1055857e-01	-1.0035684e+01
3.1074510e+06	5.0283289e-01	-1.1286964e+01
3.6805753e+06	4.9324817e-01	-1.2668007e+01
4.3594042e+06	4.8096631e-01	-1.4215866e+01
5.1634333e+06	4.7533070e-01	-1.5762083e+01
6.1157538e+06	4.6286052e-01	-1.7749589e+01
7.2437162e+06	4.5084202e-01	-1.9778793e+01
8.5797148e+06	4.3585309e-01	-2.2001606e+01
1.0162119e+07	4.2624057e-01	-2.4464635e+01
1.2036375e+07	4.1267742e-01	-2.6967538e+01
1.4256310e+07	3.9723144e-01	-2.9856407e+01
1.6885680e+07	3.7799771e-01	-3.2958911e+01
2.0000000e+07	3.5777393e-01	-3.6368157e+01
