17-Jul-2024 9:7:57 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.9221777e+03	3.8415670e-01	4.4600203e+00
7.0144377e+03	3.8070191e-01	5.1932189e+00
8.3081492e+03	3.8676202e-01	5.6113561e+00
9.8404672e+03	3.9319474e-01	6.1679679e+00
1.1655399e+04	3.9687082e-01	6.8508560e+00
1.3805069e+04	4.0716405e-01	6.8663713e+00
1.6351214e+04	4.1281373e-01	7.1711682e+00
1.9366959e+04	4.1880266e-01	7.3827665e+00
2.2938914e+04	4.2811523e-01	7.4483051e+00
2.7169665e+04	4.3789625e-01	7.4118781e+00
3.2180717e+04	4.4234876e-01	7.1854624e+00
3.8115985e+04	4.5726752e-01	6.9212967e+00
4.5145927e+04	4.6344143e-01	6.4994995e+00
5.3472440e+04	4.7303645e-01	6.0226071e+00
6.3334658e+04	4.7318210e-01	5.4762679e+00
7.5015820e+04	4.8299155e-01	4.8317289e+00
8.8851402e+04	4.9672934e-01	4.1722939e+00
1.0523876e+05	4.9450936e-01	3.4730463e+00
1.2464853e+05	5.0386907e-01	2.7300970e+00
1.4763814e+05	5.0417888e-01	2.1132538e+00
1.7486786e+05	5.0293871e-01	1.4918577e+00
2.0711971e+05	4.9822208e-01	8.8962164e-01
2.4531994e+05	4.9768978e-01	3.3004217e-01
2.9056566e+05	4.9761489e-01	-2.7277924e-01
3.4415629e+05	4.9901929e-01	-1.1388003e+00
4.0763094e+05	4.9854414e-01	-1.5070601e+00
4.8281257e+05	4.9447988e-01	-2.1222018e+00
5.7186037e+05	4.9096467e-01	-2.6590605e+00
6.7733174e+05	4.9378105e-01	-3.2467621e+00
8.0225578e+05	4.8887173e-01	-3.8927658e+00
9.5022026e+05	4.8478794e-01	-4.5996159e+00
1.1254746e+06	4.8448079e-01	-5.3316795e+00
1.3330522e+06	4.8515330e-01	-6.1836570e+00
1.5789143e+06	4.7645207e-01	-7.0507752e+00
1.8701223e+06	4.7362592e-01	-8.0013849e+00
2.2150393e+06	4.7404453e-01	-9.0645768e+00
2.6235712e+06	4.6497490e-01	-1.0188276e+01
3.1074510e+06	4.5827968e-01	-1.1466194e+01
3.6805753e+06	4.5169418e-01	-1.3081720e+01
4.3594042e+06	4.4278249e-01	-1.4514233e+01
5.1634333e+06	4.2970681e-01	-1.5636714e+01
6.1157538e+06	4.2003758e-01	-1.7586807e+01
7.2437162e+06	4.0906671e-01	-1.9657212e+01
8.5797148e+06	3.9968731e-01	-2.1757159e+01
1.0162119e+07	3.9317430e-01	-2.4138669e+01
1.2036375e+07	3.7523668e-01	-2.6799069e+01
1.4256310e+07	3.5950024e-01	-2.9624615e+01
1.6885680e+07	3.4033393e-01	-3.2495175e+01
2.0000000e+07	3.2769832e-01	-3.5938915e+01
