frequency_Hz,S_2,TBC_1,d_0
50000,-0.0210399635636,0.0104493542621,-0.124487622818
53939.5690803,-0.0182084453699,0.0107655996989,-0.124825923265
58189.5422514,-0.015504941304,0.0110912178808,-0.125047067406
62774.3766805,-0.0129326120563,0.0114263732019,-0.125073901907
67720.4565486,-0.010525270855,0.011769561969,-0.124971274992
73056.2448831,-0.00827498310945,0.0121211372726,-0.124654507453
78812.4473525,-0.00614686960794,0.0124838328213,-0.124226264151
85022.1889672,-0.00418242112732,0.0128536553874,-0.12358674586
91721.2047031,-0.00234574737902,0.0132350130096,-0.122830183293
98948.0451443,-0.000690757125662,0.0136230325705,-0.121847604963
106744.298328,0.000802609400498,0.0140217964159,-0.120739577622
115154.829072,0.00215676775698,0.0144278132692,-0.119441701638
124228.037154,0.00337343380534,0.0148447146283,-0.117975930732
134016.135835,0.00444060689505,0.0152711349352,-0.116339159669
144575.452335,0.00532987038968,0.0157037904913,-0.114527363755
155966.751971,0.00607617209873,0.0161460652409,-0.112547218796
168255.587844,0.0066778904331,0.0165978559838,-0.110397790417
181512.678073,0.00713361555754,0.017059024783,-0.108077030067
195814.312757,0.00742971548739,0.0175271185951,-0.105583376231
211242.792998,0.00755814135432,0.0180001253689,-0.10292575196
227886.904513,0.00754484049529,0.0184812809229,-0.100100991109
245842.428569,0.0073893766484,0.0189704317587,-0.0971081802086
265212.693174,0.0070915803552,0.0194672116676,-0.0939470079885
286109.167689,0.00664014339661,0.0199674153331,-0.0906288710013
308652.104301,0.00604635516003,0.0204722368486,-0.08715306957
332971.230035,0.00531735251388,0.0209829310702,-0.0835154606507
359206.493284,0.00445235634155,0.0214979606224,-0.079720468874
387508.869172,0.00345348410367,0.0220164915176,-0.0757701422562
418041.228359,0.0023189382717,0.0225328242257,-0.0716908074326
450979.27431,0.00106111034379,0.0230531534356,-0.0674601313414
486512.554409,-0.000317724137217,0.0235716557152,-0.0630880843447
524845.55074,-0.00181568722817,0.0240943133594,-0.0585637524133
566198.856813,-0.00342826669667,0.024611975004,-0.0539139311436
610810.447005,-0.00514967294811,0.0251265328782,-0.0491464065426
658937.046024,-0.00697231851581,0.0256313711378,-0.0442767450548
710855.606272,-0.0088965242984,0.0261360324386,-0.0392730020888
766864.901613,-0.0109163844448,0.0266313105938,-0.0341534181757
827287.246717,-0.0130226414106,0.027117376383,-0.0289415154567
892470.351872,-0.0152069730096,0.0275906977531,-0.0236482631612
962789.323938,-0.0174707972263,0.0280535828773,-0.0182546166666
1038648.82497,-0.0198095394107,0.0285042619553,-0.0127664500852
1120485.40089,-0.0222168602943,0.0289397791379,-0.00719418147406
1208769.9937,-0.0246646585939,0.029352074318,-0.00160559294455
1304010.65155,-0.0271618559818,0.029743758684,0.00403779102693
1406755.45241,-0.0297076686302,0.0301154207444,0.00974181575043
1517595.65809,-0.0322962594868,0.0304649352916,0.0154984046075
1637169.11671,-0.0349196669073,0.0307888644981,0.0212946898616
1766163.93334,-0.0375428904743,0.031079247684,0.0270560589659
1905322.42979,-0.0401864927072,0.0313390063226,0.0328394254848
2055445.41644,-0.0428377881388,0.0315671838603,0.038621607755
2217396.80062,-0.0454907348579,0.0317613680553,0.0443949912782
2392108.55811,-0.0481298289549,0.0319159515724,0.0501313226358
2580586.09635,-0.0507340310146,0.0320270149507,0.0557915409731
2783914.04024,-0.0533199842011,0.0320959341515,0.0614174281627
3003262.47374,-0.0558832517848,0.0321243343226,0.0670015832321
3239893.67338,-0.0584067293204,0.0321019143584,0.0725193919205
3495169.37216,-0.0608689720491,0.0320312132103,0.0779212753071
3770558.59594,-0.0632475572631,0.031902647174,0.0831745777747
4067646.11715,-0.0655827222807,0.0317277046689,0.088358017248
4388141.5746,-0.0678250028233,0.0314911795593,0.0933818724365
4733889.31195,-0.0700060830136,0.031202467781,0.0983082811179
5106878.99121,-0.0720664193154,0.0308480984996,0.103020110543
5509257.04263,-0.0740325356079,0.0304364505409,0.107574975341
5943339.01664,-0.0759016216449,0.0299605021876,0.111969719702
6411622.90912,-0.0776624646471,0.0294253614943,0.116183691944
6916803.53647,-0.0792951920075,0.0288227907086,0.120177981207
7461788.04341,-0.0807753447756,0.0281575342038,0.123903186849
8049712.63261,-0.0821322806164,0.0274258987444,0.127421380306
8683960.61247,-0.0833597037463,0.026631414233,0.130720680771
9368181.86694,-0.0844515419841,0.0257707649111,0.133789366726
10106313.8594,-0.0853855944958,0.0248458641772,0.13658056571
10902604.2913,-0.0861556016539,0.0238589331627,0.139079624464
11761635.5465,-0.0867719900558,0.0228109951798,0.141307894127
12688351.0612,-0.0872343269895,0.02170313455,0.143263481218
13688083.7716,-0.0875429036461,0.0205363311777,0.144945938747
14766586.8035,-0.0876746294552,0.0193176280403,0.146299684813
15930066.5794,-0.0876446973738,0.0180482185324,0.147354983718
17185218.5343,-0.0874602182557,0.0167288250627,0.148125340358
18539265.6458,-0.0871203914016,0.0153622031176,0.148605507212
20000000,-0.0866250628843,0.0139514807483,0.148791052952
