21-Sep-2023 18:8:8 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	7.5323161e-01	-1.1728651e+00
6.3852298e+04	7.5276238e-01	-1.2304081e+00
7.2157221e+04	7.5161135e-01	-1.3289353e+00
8.1542320e+04	7.5079227e-01	-1.4100632e+00
9.2148088e+04	7.4685685e-01	-1.5005413e+00
1.0413329e+05	7.4688480e-01	-1.6027291e+00
1.1767734e+05	7.4773854e-01	-1.6823597e+00
1.3298300e+05	7.4630412e-01	-1.7780072e+00
1.5027938e+05	7.4398164e-01	-1.8984802e+00
1.6982540e+05	7.4317280e-01	-2.0173558e+00
1.9191367e+05	7.4316625e-01	-2.1478798e+00
2.1687485e+05	7.3872562e-01	-2.3178481e+00
2.4508258e+05	7.3735109e-01	-2.5314331e+00
2.7695915e+05	7.3264014e-01	-2.7041586e+00
3.1298173e+05	7.3206923e-01	-2.8974908e+00
3.5368956e+05	7.3106168e-01	-3.1625379e+00
3.9969205e+05	7.2648048e-01	-3.2146040e+00
4.5167783e+05	7.2480906e-01	-3.4339771e+00
5.1042512e+05	7.2104489e-01	-3.7352602e+00
5.7681335e+05	7.1732976e-01	-4.0152062e+00
6.5183634e+05	7.1927087e-01	-4.3077177e+00
7.3661717e+05	7.1563294e-01	-4.6361750e+00
8.3242498e+05	7.1451890e-01	-4.9852149e+00
9.4069399e+05	7.0956651e-01	-5.3823324e+00
1.0630450e+06	7.0533419e-01	-5.8088140e+00
1.2013095e+06	7.0226261e-01	-6.2539746e+00
1.3575573e+06	6.9738816e-01	-6.7453533e+00
1.5341274e+06	6.9383772e-01	-7.3260555e+00
1.7336631e+06	6.8957012e-01	-7.8938145e+00
1.9591512e+06	6.8510340e-01	-8.5525547e+00
2.2139674e+06	6.7736836e-01	-9.2516682e+00
2.5019262e+06	6.7246673e-01	-9.9998782e+00
2.8273382e+06	6.6521291e-01	-1.0818110e+01
3.1950747e+06	6.6074401e-01	-1.1691711e+01
3.6106408e+06	6.5554530e-01	-1.2647490e+01
4.0802573e+06	6.4551925e-01	-1.3717463e+01
4.6109543e+06	6.3648481e-01	-1.4843175e+01
5.2106761e+06	6.2603468e-01	-1.6048073e+01
5.8884005e+06	6.1915875e-01	-1.7341970e+01
6.6542729e+06	6.0837755e-01	-1.8720460e+01
7.5197582e+06	5.9675743e-01	-2.0296080e+01
8.4978124e+06	5.8299467e-01	-2.1893244e+01
9.6030769e+06	5.7033592e-01	-2.3627738e+01
1.0852097e+07	5.5587169e-01	-2.5507824e+01
1.2263571e+07	5.4183312e-01	-2.7451566e+01
1.3858627e+07	5.2577286e-01	-2.9498484e+01
1.5661143e+07	5.0815991e-01	-3.1592832e+01
1.7698103e+07	4.9216973e-01	-3.3837577e+01
2.0000000e+07	4.7202730e-01	-3.6371827e+01
