21-Sep-2023 18:8:20 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	7.3873334e-01	-1.3033078e+00
6.3852298e+04	7.4043822e-01	-1.3580031e+00
7.2157221e+04	7.3988216e-01	-1.4507820e+00
8.1542320e+04	7.3865853e-01	-1.5191369e+00
9.2148088e+04	7.3807572e-01	-1.6013639e+00
1.0413329e+05	7.3433895e-01	-1.6980944e+00
1.1767734e+05	7.3278328e-01	-1.7773757e+00
1.3298300e+05	7.2850965e-01	-1.8939827e+00
1.5027938e+05	7.2982434e-01	-2.0118222e+00
1.6982540e+05	7.2557149e-01	-2.1247186e+00
1.9191367e+05	7.2509142e-01	-2.2218139e+00
2.1687485e+05	7.2490775e-01	-2.3764879e+00
2.4508258e+05	7.2087207e-01	-2.5888347e+00
2.7695915e+05	7.1846859e-01	-2.6770486e+00
3.1298173e+05	7.1829464e-01	-2.8647586e+00
3.5368956e+05	7.1361262e-01	-3.0440077e+00
3.9969205e+05	7.1196590e-01	-3.2577742e+00
4.5167783e+05	7.1151365e-01	-3.5022622e+00
5.1042512e+05	7.0969617e-01	-3.7345498e+00
5.7681335e+05	7.0746012e-01	-3.9909504e+00
6.5183634e+05	7.0546876e-01	-4.2936410e+00
7.3661717e+05	7.0256100e-01	-4.6097208e+00
8.3242498e+05	7.0121960e-01	-4.9754949e+00
9.4069399e+05	6.9837046e-01	-5.3537426e+00
1.0630450e+06	6.9280706e-01	-5.7814545e+00
1.2013095e+06	6.9034574e-01	-6.2458104e+00
1.3575573e+06	6.8602193e-01	-6.7518347e+00
1.5341274e+06	6.8130041e-01	-7.2984385e+00
1.7336631e+06	6.7722381e-01	-7.8640898e+00
1.9591512e+06	6.7304008e-01	-8.5557584e+00
2.2139674e+06	6.6815533e-01	-9.2073796e+00
2.5019262e+06	6.6363439e-01	-9.9536360e+00
2.8273382e+06	6.5779278e-01	-1.0736274e+01
3.1950747e+06	6.5202941e-01	-1.1639386e+01
3.6106408e+06	6.4383390e-01	-1.2535481e+01
4.0802573e+06	6.3599836e-01	-1.3594134e+01
4.6109543e+06	6.2702591e-01	-1.4800412e+01
5.2106761e+06	6.1795675e-01	-1.6000454e+01
5.8884005e+06	6.0849593e-01	-1.7248199e+01
6.6542729e+06	5.9766349e-01	-1.8545739e+01
7.5197582e+06	5.8581181e-01	-2.0098481e+01
8.4978124e+06	5.7257766e-01	-2.1672885e+01
9.6030769e+06	5.6140927e-01	-2.3361746e+01
1.0852097e+07	5.4709141e-01	-2.5172829e+01
1.2263571e+07	5.3184393e-01	-2.7055320e+01
1.3858627e+07	5.1535731e-01	-2.8971134e+01
1.5661143e+07	5.0221777e-01	-3.1033907e+01
1.7698103e+07	4.8435643e-01	-3.3234107e+01
2.0000000e+07	4.6611270e-01	-3.5675617e+01
