21-Sep-2023 18:8:44 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	7.3467545e-01	-1.3077830e+00
6.3852298e+04	7.3454915e-01	-1.3345788e+00
7.2157221e+04	7.3362464e-01	-1.3799627e+00
8.1542320e+04	7.3351072e-01	-1.4493609e+00
9.2148088e+04	7.3444754e-01	-1.5639614e+00
1.0413329e+05	7.3212194e-01	-1.6437879e+00
1.1767734e+05	7.2856389e-01	-1.7305112e+00
1.3298300e+05	7.3115657e-01	-1.8702624e+00
1.5027938e+05	7.2709035e-01	-1.9686818e+00
1.6982540e+05	7.2746641e-01	-2.0862928e+00
1.9191367e+05	7.2671075e-01	-2.2286669e+00
2.1687485e+05	7.2605145e-01	-2.3839550e+00
2.4508258e+05	7.2389613e-01	-2.5532694e+00
2.7695915e+05	7.2145436e-01	-2.6728298e+00
3.1298173e+05	7.2080273e-01	-2.8784312e+00
3.5368956e+05	7.1747348e-01	-3.0734693e+00
3.9969205e+05	7.1392049e-01	-3.2633921e+00
4.5167783e+05	7.1237721e-01	-3.5124838e+00
5.1042512e+05	7.1133119e-01	-3.7622548e+00
5.7681335e+05	7.0786931e-01	-4.0545655e+00
6.5183634e+05	7.0481089e-01	-4.3203460e+00
7.3661717e+05	7.0059981e-01	-4.6820895e+00
8.3242498e+05	6.9677389e-01	-5.0140187e+00
9.4069399e+05	6.9544132e-01	-5.3963380e+00
1.0630450e+06	6.9000120e-01	-5.8374206e+00
1.2013095e+06	6.8725723e-01	-6.2868256e+00
1.3575573e+06	6.8414264e-01	-6.7910886e+00
1.5341274e+06	6.7979194e-01	-7.3265506e+00
1.7336631e+06	6.7431500e-01	-7.9131057e+00
1.9591512e+06	6.6770761e-01	-8.5660809e+00
2.2139674e+06	6.6280671e-01	-9.2324143e+00
2.5019262e+06	6.5494969e-01	-9.9770171e+00
2.8273382e+06	6.5003870e-01	-1.0831676e+01
3.1950747e+06	6.4218917e-01	-1.1659525e+01
3.6106408e+06	6.3442730e-01	-1.2603721e+01
4.0802573e+06	6.2984543e-01	-1.3644706e+01
4.6109543e+06	6.2384005e-01	-1.4851912e+01
5.2106761e+06	6.1315371e-01	-1.6081069e+01
5.8884005e+06	6.0629111e-01	-1.7375915e+01
6.6542729e+06	5.9771306e-01	-1.8648545e+01
7.5197582e+06	5.8442818e-01	-2.0148317e+01
8.4978124e+06	5.7304213e-01	-2.1751222e+01
9.6030769e+06	5.5939341e-01	-2.3397949e+01
1.0852097e+07	5.4634391e-01	-2.5301360e+01
1.2263571e+07	5.3013526e-01	-2.7121855e+01
1.3858627e+07	5.1259078e-01	-2.9098708e+01
1.5661143e+07	4.9741772e-01	-3.1079374e+01
1.7698103e+07	4.8118987e-01	-3.3269741e+01
2.0000000e+07	4.6116551e-01	-3.5711496e+01
