21-Sep-2023 18:7:7 PM  Sample temp: 296 K  Probe rad: 1.9 um  Pump rad: 3 um
Frequency (Hz)	R (volts rms)	Theta (degree)
5.6503229e+04	7.5300759e-01	-1.3530490e+00
6.3852298e+04	7.5088309e-01	-1.3615294e+00
7.2157221e+04	7.4789117e-01	-1.4133414e+00
8.1542320e+04	7.4541402e-01	-1.5376673e+00
9.2148088e+04	7.4482545e-01	-1.6021600e+00
1.0413329e+05	7.4620448e-01	-1.6843747e+00
1.1767734e+05	7.4479446e-01	-1.7632221e+00
1.3298300e+05	7.4191670e-01	-1.8702609e+00
1.5027938e+05	7.3770999e-01	-2.0008500e+00
1.6982540e+05	7.3738142e-01	-2.1004467e+00
1.9191367e+05	7.3783757e-01	-2.2296379e+00
2.1687485e+05	7.3261546e-01	-2.3510070e+00
2.4508258e+05	7.3243902e-01	-2.5554186e+00
2.7695915e+05	7.3167238e-01	-2.6720144e+00
3.1298173e+05	7.2980677e-01	-2.8639875e+00
3.5368956e+05	7.2679743e-01	-3.0470283e+00
3.9969205e+05	7.2447442e-01	-3.2449439e+00
4.5167783e+05	7.1780274e-01	-3.5060718e+00
5.1042512e+05	7.1800006e-01	-3.7634044e+00
5.7681335e+05	7.1574710e-01	-4.0060235e+00
6.5183634e+05	7.1393636e-01	-4.2926318e+00
7.3661717e+05	7.1044039e-01	-4.6291019e+00
8.3242498e+05	7.0453249e-01	-4.9655171e+00
9.4069399e+05	7.0445656e-01	-5.3312615e+00
1.0630450e+06	6.9895588e-01	-5.7729197e+00
1.2013095e+06	6.9270439e-01	-6.2144829e+00
1.3575573e+06	6.9014676e-01	-6.7275579e+00
1.5341274e+06	6.8692068e-01	-7.2668913e+00
1.7336631e+06	6.7870507e-01	-7.8799672e+00
1.9591512e+06	6.7681568e-01	-8.4888314e+00
2.2139674e+06	6.7365320e-01	-9.1543345e+00
2.5019262e+06	6.6766045e-01	-9.9242433e+00
2.8273382e+06	6.6339877e-01	-1.0755730e+01
3.1950747e+06	6.5648409e-01	-1.1633812e+01
3.6106408e+06	6.4893172e-01	-1.2646244e+01
4.0802573e+06	6.4175854e-01	-1.3669196e+01
4.6109543e+06	6.3702582e-01	-1.4772252e+01
5.2106761e+06	6.2733593e-01	-1.6011636e+01
5.8884005e+06	6.1770039e-01	-1.7306828e+01
6.6542729e+06	6.0875133e-01	-1.8640838e+01
7.5197582e+06	5.9615997e-01	-2.0154908e+01
8.4978124e+06	5.8525857e-01	-2.1784640e+01
9.6030769e+06	5.7088772e-01	-2.3514717e+01
1.0852097e+07	5.5561645e-01	-2.5347645e+01
1.2263571e+07	5.3779466e-01	-2.7333247e+01
1.3858627e+07	5.2442609e-01	-2.9361866e+01
1.5661143e+07	5.0505678e-01	-3.1558219e+01
1.7698103e+07	4.8960872e-01	-3.3811741e+01
2.0000000e+07	4.7140102e-01	-3.6287252e+01
